structure,status,March_upper_violation_rate,March_max_remaining_E_UP,March_P99_remaining_E_UP,March_lower_violation_rate,March_max_remaining_E_LOW,mean_correction_magnitude,P95_correction_magnitude,max_correction_magnitude
M0,NOT_RUN_MATCHED_AUTHORITY_MISSING,,,,,,,,
M1,NOT_RUN_MATCHED_AUTHORITY_MISSING,,,,,,,,
M2,NOT_RUN_MATCHED_AUTHORITY_MISSING,,,,,,,,
M3,NOT_RUN_MATCHED_AUTHORITY_MISSING,,,,,,,,
