rung,scenario,planning_delta_vs_B2,rho_AC_delta_vs_B2,all_converged,B2_rho_AC,B3_rho_AC,epsilon_NR,epsilon_AC_NR
Q_RELEASE,S_NOM,-0.002148719700408863,-0.002006279451666315,True,0.5321669261096348,0.5301606466579685,0.0001,0.0001
Q_ANCHOR,S_NOM,-0.0010365765256372672,-0.0014966349050734573,True,0.5321669261096348,0.5306702912045613,0.0001,0.0001
FULL_MESS_ANCHOR,S_NOM,1.1102230246251565e-16,0.00047026480286005423,True,0.5321669261096348,0.5326371909124948,0.0001,0.0001
B2_FALLBACK,S_NOM,0.0,0.0,True,0.5321669261096348,0.5321669261096348,0.0001,0.0001
Q_RELEASE,S_LOW,-0.002148696347170076,-0.0022530573552445032,True,0.5321669261096348,0.5299138687543903,0.0001,0.0001
Q_ANCHOR,S_LOW,-0.0010365409887087562,-0.0009203526613499324,True,0.5321669261096348,0.5312465734482849,0.0001,0.0001
FULL_MESS_ANCHOR,S_LOW,1.1102230246251565e-16,0.0003665950546178909,True,0.5321669261096348,0.5325335211642527,0.0001,0.0001
B2_FALLBACK,S_LOW,0.0,0.0,True,0.5321669261096348,0.5321669261096348,0.0001,0.0001
Q_RELEASE,S_ZERO_CARRY,-0.002148696347170076,-0.0022530573552445032,True,0.5321669261096348,0.5299138687543903,0.0001,0.0001
Q_ANCHOR,S_ZERO_CARRY,-0.0010365409887087562,-0.0009203526613499324,True,0.5321669261096348,0.5312465734482849,0.0001,0.0001
FULL_MESS_ANCHOR,S_ZERO_CARRY,1.1102230246251565e-16,0.0003665950546178909,True,0.5321669261096348,0.5325335211642527,0.0001,0.0001
B2_FALLBACK,S_ZERO_CARRY,0.0,0.0,True,0.5321669261096348,0.5321669261096348,0.0001,0.0001
