dimension,group,job_day_count,evaluation_day_count,H_REQ,H_NOM,H_LOW,H_REALIZED,lower_bound_coverage,nominal_bias_nodeh,nominal_MAE_nodeh,April_rows_used
requested_wallclock,GT_12H,231,19,19395.333333333336,1397.73385739056,262.801836963159,1996.272222222222,0.8421052631578947,-31.50201920166643,93.60274955993181,0
requested_wallclock,GT_1_LE_4H,5,4,44.0,3.4551448616538663,0.8491734436154945,10.190555555555555,0.75,-1.6838526734754224,1.7577380186710125,0
requested_wallclock,GT_4_LE_12H,92,4,1130.0,96.6073806895111,0.2166859682328601,529.7041666666667,0.75,-108.2741964942889,111.52946431226374,0
requested_wallclock,LE_1H,13,4,13.583333333333332,0.38984980785355217,0.004845559450443262,2.3666666666666667,0.75,-0.49420421470327863,0.5334516313398863,0
QoS,normal,320,19,19550.916666666664,1420.7301790501956,263.8725419344578,2186.4744444444445,0.8421052631578947,-40.30232975759204,102.69325728945556,0
QoS,standby,21,4,1032.0,77.45605369938276,0.0,352.05916666666667,1.0,-68.65077824182097,71.24378024477443,0
node_class,N01,315,17,15190.416666666668,1040.0691069616591,134.6452672890307,2304.4069444444444,0.8823529411764706,-74.37281396957562,121.80639477414934,0
node_class,N02,2,2,0.8333333333333333,0.019955430076639927,0.0,0.0,1.0,0.009977715038319963,0.009977715038319963,0
node_class,N04,17,6,4897.666666666667,450.6070719693805,128.3784254234083,227.5,0.8333333333333334,37.184511994896745,55.557276934044125,0
node_class,N08,6,4,492.6666666666667,7.418811206447412,0.8488492220188153,6.413333333333333,1.0,0.2513694682785199,1.7073923761893846,0
node_class,N16,1,1,1.3333333333333333,0.07128718201469027,0.0,0.21333333333333335,1.0,-0.14204615131864307,0.14204615131864307,0
queue_age,GT_24_LE_72H,68,4,6388.333333333334,392.6219706579256,35.59466975157418,631.1233333333333,1.0,-59.62534066885193,59.62534066885193,0
queue_age,GT_6_LE_24H,52,9,3335.0,230.80639267789547,5.478573738867938,374.90222222222224,0.8888888888888888,-16.01064772714742,36.089309359471926,0
queue_age,GT_72H,13,2,984.0,24.85977131852287,0.0,197.81027777777777,1.0,-86.47525322962744,86.47525322962744,0
queue_age,LE_6H,208,12,9875.583333333332,849.8980980952344,222.7992984440157,1334.697777777778,0.75,-40.399973306878614,124.9909463424036,0
