day,case,planned_workload_nodeh,executed_workload_nodeh,missed_workload_nodeh,source_availability_miss_nodeh,rack_capacity_miss_nodeh,terminal_backlog_nodeh,decomposition_identity_error_nodeh,decomposition_order,actual_optimizer_calls
2025-04-04,B0,179.80406907977607,77.071957408349,102.73211167142708,52.25935101355627,50.47276065787081,55.145542591650866,0.0,source availability counterfactual first; incremental rack-capacity loss second,0
2025-04-04,B1,179.80406907977613,42.57812950291288,137.22593957686325,51.945830738209395,85.28010883865386,89.63937049708716,0.0,source availability counterfactual first; incremental rack-capacity loss second,0
2025-04-04,B2,179.80406907977607,77.071957408349,102.73211167142708,52.25935101355627,50.47276065787081,55.145542591650866,0.0,source availability counterfactual first; incremental rack-capacity loss second,0
2025-04-04,B3,179.80406907977607,40.365577219926706,139.43849185984936,51.86380900393722,87.57468285591214,91.85192278007314,0.0,source availability counterfactual first; incremental rack-capacity loss second,0
