day,rho_AIDC,status,Fresh_independent_execution,OpenDSS_solve_count,voltage_error_mean_pu,voltage_error_p95_pu,voltage_error_max_pu,current_error_mean_pu,current_error_p95_pu,current_error_max_pu,error_tolerances_pass,all_slots_converged,finite_arrays,slot_line_phase_mapping_identity,P_Q_sign_consistency,hidden_large_error_planning_safe_AC_violation_count,absolute_physical_feasibility_used_for_status,April_rows_used
2025-01-01,0.1,PASS,True,96,1.5490281420054222e-08,2.5043402740454468e-08,3.470870957311689e-08,1.6222507554575386e-07,9.523138065410653e-07,4.246870792340429e-06,True,True,True,True,True,0,False,0
2025-01-01,0.25,PASS,True,96,9.677362506485463e-08,1.5640504760772167e-07,2.155511417134548e-07,1.014603478084419e-06,5.994392665362081e-06,2.720280338920633e-05,True,True,True,True,True,0,False,0
2025-01-01,0.5,PASS,True,96,3.8704478197764875e-07,6.249724349427499e-07,8.627575642794483e-07,4.071026877176535e-06,2.407041959187478e-05,0.00011347638908426605,True,True,True,True,True,0,False,0
2025-01-01,1.0,PASS,True,96,1.563261618714143e-06,2.5354958134715666e-06,4.85411790873691e-06,1.6523400121279975e-05,9.686513771687825e-05,0.0004958637239924624,True,True,True,True,True,0,False,0
2025-01-02,0.1,PASS,True,96,3.7395573051495804e-08,2.5725193558701065e-08,5.4695179607655575e-06,1.8792084255049372e-07,8.770096169827237e-07,4.348812859206186e-05,True,True,True,True,True,0,False,0
2025-01-02,0.25,PASS,True,96,1.187137428612643e-07,1.6089428256371718e-07,5.511829346271924e-06,9.517601450665973e-07,5.330235558656525e-06,4.549869103737114e-05,True,True,True,True,True,0,False,0
2025-01-02,0.5,PASS,True,96,4.0927662491295266e-07,6.423569929026041e-07,5.731753413007468e-06,3.6897431831726508e-06,2.1061982131097935e-05,9.260499351647355e-05,True,True,True,True,True,0,False,0
2025-01-02,1.0,PASS,True,96,1.5737716349674608e-06,2.551185674493084e-06,6.7315325331662734e-06,1.4806641611902187e-05,8.458988514193955e-05,0.0003994502648393128,True,True,True,True,True,0,False,0
2025-01-03,0.1,PASS,True,96,1.5689207136863583e-08,2.539540219781422e-08,3.5158162603465826e-08,1.253497582644779e-07,7.30743547467868e-07,3.1169746960019173e-06,True,True,True,True,True,0,False,0
2025-01-03,0.25,PASS,True,96,9.808442293888633e-08,1.586031595224302e-07,2.1898941415798845e-07,7.840268922572819e-07,4.575099691952327e-06,1.9839380542799323e-05,True,True,True,True,True,0,False,0
