day,case,planning_objective,schedule_sha256,rho_AIDC,rho_MESS
2025-04-04,B0,0.5887508621211441,dfa3f5d07192f4fde4d4a783d502b48b43c4eee15e72034fad911a894bd6eb2c,1.0,0.1
2025-04-04,B1,0.5873955172145338,3e04fb2ffcfe18ce871531df71fca8bb4fad8891f14c9ea4848c27120d48f371,1.0,0.1
2025-04-04,B2,0.5249616170577897,8b9a08c41bcec8906e0a0ff16dcd30da96e31edd2f8f9366b1ee38858ed9e845,1.0,0.1
2025-04-04,B3,0.5228128973573808,cb3d6d9fe37a2fffa9cc41a7c7650e09adac39e2c124d2751b9ff56d9d169069,1.0,0.1
