day,slot,timestamp,violation_type,asset,phase,value,limit,Vmax_pu,Vmin_pu,rho_AC,current_A,rating_A,gV_high,gV_low,gI
2025-01-03,75,2025-01-03T19:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0503377284905595,1.05,1.0503377284905595,0.9787456749426086,0.61341474373417,,,0.0003377284905594635,0.0,0.0
2025-01-03,75,2025-01-03T19:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0503376982933508,1.05,1.0503377284905595,0.9787456749426086,0.61341474373417,,,0.00033769829335073,0.0,0.0
2025-01-05,71,2025-01-05T18:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0506121732400164,1.05,1.0506121732400164,0.9744364489404927,0.86204244471104,,,0.0006121732400163893,0.0,0.0
2025-01-05,71,2025-01-05T18:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0506121430349173,1.05,1.0506121732400164,0.9744364489404927,0.86204244471104,,,0.0006121430349173007,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,82.2,B,1.050277622997716,1.05,1.051420756536834,0.9756439423737086,0.8516311005643111,,,0.0002776229977159428,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,83.2,B,1.051420756536834,1.05,1.051420756536834,0.9756439423737086,0.8516311005643111,,,0.0014207565368340447,0.0,0.0
2025-01-05,72,2025-01-05T18:15:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0514207263084883,1.05,1.051420756536834,0.9756439423737086,0.8516311005643111,,,0.0014207263084882182,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,82.2,B,1.0501964928051246,1.05,1.051337805365015,0.9830712177774484,0.7961110858798891,,,0.00019649280512457068,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,83.2,B,1.051337805365015,1.05,1.051337805365015,0.9830712177774484,0.7961110858798891,,,0.0013378053650150434,0.0,0.0
2025-01-05,76,2025-01-05T19:15:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.051337775139054,1.05,1.051337805365015,0.9830712177774484,0.7961110858798891,,,0.001337775139053976,0.0,0.0
2025-01-08,73,2025-01-08T18:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0510239914232866,1.05,1.0510239914232866,0.9780863479075175,0.6730697374602684,,,0.0010239914232865743,0.0,0.0
2025-01-08,73,2025-01-08T18:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.051023961206348,1.05,1.0510239914232866,0.9780863479075175,0.6730697374602684,,,0.0010239612063478454,0.0,0.0
2025-01-08,77,2025-01-08T19:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0500038055766754,1.05,1.0500038055766754,0.9820002617913804,0.6575686512911044,,,3.8055766753419817e-06,0.0,0.0
2025-01-08,77,2025-01-08T19:30:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0500037753890668,1.05,1.0500038055766754,0.9820002617913804,0.6575686512911044,,,3.7753890667069356e-06,0.0,0.0
2025-01-10,78,2025-01-10T19:45:00+10:00,VOLTAGE_HIGH,83.2,B,1.050433770572936,1.05,1.050433770572936,0.9889980043896397,0.6488106743396871,,,0.00043377057293603194,0.0,0.0
2025-01-10,78,2025-01-10T19:45:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.050433740372966,1.05,1.050433770572936,0.9889980043896397,0.6488106743396871,,,0.0004337403729659517,0.0,0.0
2025-01-14,75,2025-01-14T19:00:00+10:00,VOLTAGE_HIGH,83.2,B,1.0507321633325382,1.05,1.0507321633325382,0.9819092241651695,0.7141240193298319,,,0.000732163332538116,0.0,0.0
2025-01-14,75,2025-01-14T19:00:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.0507321331239896,1.05,1.0507321633325382,0.9819092241651695,0.7141240193298319,,,0.0007321331239895645,0.0,0.0
2025-01-20,74,2025-01-20T18:45:00+10:00,VOLTAGE_HIGH,83.2,B,1.050945280385,1.05,1.050945280385,0.9804939427516106,0.7827792925344687,,,0.0009452803849998581,0.0,0.0
2025-01-20,74,2025-01-20T18:45:00+10:00,VOLTAGE_HIGH,mess_sta12_pcc.2,B,1.050945250170324,1.05,1.050945280385,0.9804939427516106,0.7827792925344687,,,0.0009452501703239857,0.0,0.0
2025-01-20,77,2025-01-20T19:30:00+10:00,VOLTAGE_HIGH,83.2,B,1.0507286069215893,1.05,1.0507286069215893,0.9853441468688741,0.7547124360813504,,,0.0007286069215892699,0.0,0.0
