day,cohort_id,aggregation_level,cutoff_utc,job_count,H_REQ,H_NOM,H_LOW,H_REALIZED,nominal_error_H_NOM_minus_realized,normalized_overprediction_score,absolute_nominal_error,lower_bound_covered,conformal_overprediction_fraction_quantile,prior_positive_cohort_calibration_count,evaluation_row,April_rows_used
2025-01-15,N01_R02,D_DAY_X_COHORT,2025-01-14 08:00:00+00:00,454,1816.0,45.688220363614874,0.0,0.9099999999999999,44.77822036361488,0.02465761033238705,44.77822036361488,True,,0,False,0
2025-01-15,N04_R02,D_DAY_X_COHORT,2025-01-14 08:00:00+00:00,1,24.0,0.6038090796953508,0.0,18.493333333333332,-17.88952425363798,-0.7453968439015825,17.88952425363798,True,,0,False,0
2025-01-17,N01_R02,D_DAY_X_COHORT,2025-01-16 08:00:00+00:00,35,6.166666666666667,0.02418786352112182,0.0,0.9947222222222222,-0.9705343587011004,-0.1573839500596379,0.9705343587011004,True,,2,False,0
2025-01-18,N01_R02,D_DAY_X_COHORT,2025-01-17 08:00:00+00:00,6,0.9999999999999999,0.003045576685941506,0.0,0.0,0.003045576685941506,0.0030455766859415066,0.003045576685941506,True,,2,False,0
2025-01-19,N01_R02,D_DAY_X_COHORT,2025-01-18 08:00:00+00:00,6,0.9999999999999999,0.07117557859895654,0.0,0.0,0.07117557859895654,0.07117557859895655,0.07117557859895654,True,,3,False,0
2025-01-20,N01_R02,D_DAY_X_COHORT,2025-01-19 08:00:00+00:00,6,0.9999999999999999,0.006983287930793656,0.0,0.0,0.006983287930793656,0.006983287930793657,0.006983287930793656,True,,4,False,0
2025-01-21,N01_R02,D_DAY_X_COHORT,2025-01-20 08:00:00+00:00,12,1441.0000000000002,25.782535290926113,0.0,144.0,-118.21746470907388,-0.08203849042961406,118.21746470907388,True,,5,False,0
2025-01-21,N04_R02,D_DAY_X_COHORT,2025-01-20 08:00:00+00:00,2,44.0,0.36200614637618833,0.0,20.856666666666666,-20.494660520290477,-0.46578773909751087,20.494660520290477,True,,5,False,0
2025-01-22,N01_R02,D_DAY_X_COHORT,2025-01-21 08:00:00+00:00,6,0.9999999999999999,0.001773338628886004,0.0,0.1386111111111111,-0.1368377724822251,-0.13683777248222512,0.1368377724822251,True,,6,False,0
2025-01-22,N04_R02,D_DAY_X_COHORT,2025-01-21 08:00:00+00:00,1,36.0,0.05787243599929547,0.0,10.2,-10.142127564000704,-0.2817257656666862,10.142127564000704,True,,6,False,0
2025-01-23,N01_R02,D_DAY_X_COHORT,2025-01-22 08:00:00+00:00,2,0.3333333333333333,0.0001651954892835729,0.0,0.06944444444444445,-0.06927924895516087,-0.20783774686548262,0.06927924895516087,True,,8,False,0
2025-01-24,N01_R02,D_DAY_X_COHORT,2025-01-23 08:00:00+00:00,55,110.0,16.558624586478317,0.0,0.0,16.558624586478317,0.15053295078616652,16.558624586478317,True,,10,False,0
2025-01-24,N02_R02,D_DAY_X_COHORT,2025-01-23 08:00:00+00:00,23,92.0,13.849031472327315,0.0,0.0,13.849031472327315,0.15053295078616646,13.849031472327315,True,,10,False,0
2025-01-24,N04_R02,D_DAY_X_COHORT,2025-01-23 08:00:00+00:00,1,36.0,3.3260168945248814,0.0,26.714444444444446,-23.388427549919566,-0.6496785430533213,23.388427549919566,True,,10,False,0
2025-01-31,N01_R02,D_DAY_X_COHORT,2025-01-30 08:00:00+00:00,680,2755.166666666667,26.344503487508028,0.0,0.0,26.344503487508028,0.009561854753193887,26.344503487508028,True,,14,False,0
2025-02-01,N01_R02,D_DAY_X_COHORT,2025-01-31 08:00:00+00:00,1,8.0,1.9374496612262706,0.0,0.0,1.9374496612262706,0.24218120765328383,1.9374496612262706,True,,14,False,0
2025-02-01,N04_R02,D_DAY_X_COHORT,2025-01-31 08:00:00+00:00,1,36.0,8.518190839993231,0.0,25.60111111111111,-17.082920271117878,-0.4745255630866077,17.082920271117878,True,,14,False,0
2025-02-02,N01_R02,D_DAY_X_COHORT,2025-02-01 08:00:00+00:00,16,257.1666666666667,0.5666254451737782,0.0,70.93694444444444,-70.37031899927065,-0.2736370149031911,70.37031899927065,True,,15,False,0
2025-02-02,N04_R02,D_DAY_X_COHORT,2025-02-01 08:00:00+00:00,5,40.0,0.03457777046416878,0.0,0.29555555555555557,-0.2609777850913868,-0.00652444462728467,0.2609777850913868,True,,15,False,0
2025-02-02,N08_R02,D_DAY_X_COHORT,2025-02-01 08:00:00+00:00,1,8.0,0.004152936024260129,0.0,0.23777777777777778,-0.23362484175351766,-0.029203105219189708,0.23362484175351766,True,,15,False,0
2025-02-02,N16_R02,D_DAY_X_COHORT,2025-02-01 08:00:00+00:00,5,80.0,0.04152936024260129,0.0,1.9155555555555557,-1.8740261953129544,-0.02342532744141193,1.8740261953129544,True,,15,False,0
2025-02-05,N01_R02,D_DAY_X_COHORT,2025-02-04 08:00:00+00:00,17,292.0,12.592035277510597,0.0,25.154444444444444,-12.562409166933847,-0.043021949201828245,12.562409166933847,True,,21,False,0
2025-02-06,N01_R02,D_DAY_X_COHORT,2025-02-05 08:00:00+00:00,96,492.0,15.944738508229712,0.0,0.0,15.944738508229712,0.03240800509802787,15.944738508229712,True,,21,False,0
2025-02-06,N02_R02,D_DAY_X_COHORT,2025-02-05 08:00:00+00:00,1,1.0,0.004890785616023193,0.0,0.0,0.004890785616023193,0.004890785616023193,0.004890785616023193,True,,21,False,0
2025-02-07,N01_R02,D_DAY_X_COHORT,2025-02-06 08:00:00+00:00,98,500.0,15.45065897509063,0.0,0.0,15.45065897509063,0.030901317950181258,15.45065897509063,True,,22,False,0
2025-02-08,N01_R02,D_DAY_X_COHORT,2025-02-07 08:00:00+00:00,1,168.0,6.673310035114472,0.0,22.428055555555556,-15.754745520441084,-0.09377824714548263,15.754745520441084,True,,24,False,0
2025-02-09,N01_R02,D_DAY_X_COHORT,2025-02-08 08:00:00+00:00,3,144.0,7.82199925431896,0.0,0.0,7.82199925431896,0.054319439266103886,7.82199925431896,True,,25,False,0
2025-02-10,N01_R02,D_DAY_X_COHORT,2025-02-09 08:00:00+00:00,3,144.0,16.04178664299438,0.0,26.49111111111111,-10.449324468116728,-0.07256475325081062,10.449324468116728,True,,26,False,0
2025-02-20,N01_R02,D_DAY_X_COHORT,2025-02-19 08:00:00+00:00,9,680.0,20.001629214189457,0.0,56.966388888888886,-36.96475967469943,-0.054359940698087396,36.96475967469943,True,,28,False,0
