source,day,case,B0_to_B1_absolute_relief,B0_to_B1_relative_pct,B0_to_B2_absolute_relief,B0_to_B2_relative_pct,B0_to_B3_absolute_relief,B0_to_B3_relative_pct,B2_to_B3_absolute_relief,B2_to_B3_relative_pct,J_B0,J_B1,J_B2,J_B3,Vmax_pu,Vmin_pu,clean_engine_count,convergence_count,critical_line,critical_phase,critical_row_rho_max,critical_slot,critical_timestamp_fixed_aest,dominance_pass,losses_kwh,namespace,p95_loading,p99_loading,physical_violation_observed,rho_max_AC
DA,2025-04-04,,0.002375125219842622,0.4034267158289044,0.06379342618510075,10.835627613366052,0.06616415936078102,11.23830831886363,0.002370733175680262,0.4516161497234306,0.5887377128613184,0.5863625876414758,0.5249442866762176,0.5225735535005374,,,,,,,,,,True,,,,,,
OPENDSS,2025-04-04,B0,,,,,,,,,,,,,1.0502648153586382,0.9768647665134366,1,96,line.sw2,A,0.6172071708202275,27,2025-04-04T06:45:00+10:00,,940.6555719293631,ACT,0.4293146718016341,0.5186484194046425,True,0.6172071708202275
OPENDSS,2025-04-04,B1,,,,,,,,,,,,,1.050213873961421,0.9769407269052677,1,96,line.sw2,A,0.6160793428388971,27,2025-04-04T06:45:00+10:00,,939.3847379999892,ACT,0.42916294070816885,0.5185588904189266,True,0.6160793428388971
OPENDSS,2025-04-04,B2,,,,,,,,,,,,,1.047377030077589,0.9724796056383483,1,96,line.sw2,A,0.5605160725345667,63,2025-04-04T15:45:00+10:00,,957.7191858309096,ACT,0.4299542515192187,0.5059149986233316,False,0.5605160725345667
OPENDSS,2025-04-04,B3,,,,,,,,,,,,,1.0455184509166633,0.9698174444456686,1,96,line.l10,A,0.564225250566106,34,2025-04-04T08:30:00+10:00,,968.0670230197244,ACT,0.42972165702105464,0.5076192524456843,False,0.564225250566106
OPENDSS,2025-04-04,R0,,,,,,,,,,,,,1.0502681768755169,0.9770774896584546,1,96,line.sw2,A,0.6147195004620514,27,2025-04-04T06:45:00+10:00,,933.8010479902492,ACT,0.42802345318061313,0.5179477387178586,True,0.6147195004620514
OPENDSS,2025-04-04,B0,,,,,,,,,,,,,1.0487749086652518,0.9782349362121326,1,96,line.sw2,A,0.588742276047441,29,2025-04-04T07:15:00+10:00,,917.6160313245989,DA,0.42339100714101763,0.5094201580966633,False,0.588742276047441
OPENDSS,2025-04-04,B1,,,,,,,,,,,,,1.0486728083877397,0.9784110908138166,1,96,line.sw2,A,0.5863506883285913,27,2025-04-04T06:45:00+10:00,,917.6775122589943,DA,0.4235504263736273,0.5106583479957413,False,0.5863506883285913
OPENDSS,2025-04-04,B2,,,,,,,,,,,,,1.0474158761669712,0.974057860782635,1,96,line.sw2,A,0.5321489669855278,93,2025-04-04T23:15:00+10:00,,935.7958931952217,DA,0.4252537382439333,0.5056754960031516,False,0.5321489669855278
OPENDSS,2025-04-04,B3,,,,,,,,,,,,,1.0477438836025512,0.9719013799677831,1,96,line.sw2,A,0.530033691367559,91,2025-04-04T22:45:00+10:00,,946.2753391771159,DA,0.4265160100030596,0.5054211374972196,False,0.530033691367559
OPENDSS,2025-04-04,B3,,,,,,,,,,,,,1.0499429133408384,0.9740163736030043,1,96,line.sw2,A,0.5523460172656359,85,2025-04-04T21:15:00+10:00,,967.4687362605288,PI,0.43463621560412324,0.5182738430388591,False,0.5523460172656359
