day,label,case,source_ready,Stage1_solved,schedule_frozen,planning_voltage_complete,Fresh_complete,Fresh_convergence_count,exact_matched,status,reason
2025-01-24,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-25,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-26,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-27,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-28,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-29,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-30,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-01-31,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-01,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-02,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-03,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-04,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-05,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-06,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-07,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-08,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-09,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-10,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-11,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-12,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-13,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-14,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-15,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-16,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
