MESS,station,bus_connection,phases,primary_kV,P_peak_kw,charging_peak_kw,Q_min_kvar,Q_max_kvar,S_peak_kVA,S_peak_slot,P_slot75,Q_slot75
MESS01,STA01,sx3101194c.1,1,0.12008885599144216,6.724891376813728,1.9355821160030215,-3.6024862647524643,1.677555488154558,7.628809957127598,75,6.724891376813728,-3.6020240604451192
MESS02,STA12,sx2767340c.2,1,0.12008885599144216,6.105126135051915,1.5340310209477543,-3.70368823389267,1.1760226768894024,7.139870308825604,75,6.105126135051915,-3.7020511749509213
MESS03,STA08,sx3027670b.1,1,0.12008885599144216,5.7617458085801685,1.3012389122467014,0,5.5,7.96540738209234,75,5.7617458085801685,5.5
MESS04,STA06,sx3141411c.1,1,0.12008885599144216,5.5,1.2188365650969528,-5.24173371848545,0.16651998476905402,7.597747848902812,72,5.5,-5.1878294810522
MESS05,STA03,m1009763.1.2.3,3,12.47,261.161439641535,66.42168955321885,0,110.0,283.38189348587383,75,261.161439641535,110.0
MESS06,STA10,n1144668.1.2.3,3,12.47,110.0,33.871435270475466,0,110.0,155.56349186104046,72,110.0,110.0
