day,label,status,P_complete,G_complete,W_complete,forecast_bundle_complete,reason
2025-01-21,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-22,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-23,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-24,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-25,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-26,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-27,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-28,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-29,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-30,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-01-31,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-01,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-02,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-03,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-04,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-05,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-06,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-07,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-08,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-09,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-10,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-11,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-12,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-13,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-14,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-15,CALIBRATION_CANDIDATE,BLOCKED_SMOKE_W_LABEL_FEATURE,False,False,False,False,V33XR3R2_NONFINITE_TARGET_FEATURE:W_FULLNODE_DAILY
2025-02-16,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-17,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-18,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-19,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-20,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-21,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-22,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-23,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-24,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-25,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-26,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-27,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-02-28,CALIBRATION_CANDIDATE,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-01,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-02,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-03,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-04,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-05,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-06,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-07,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-08,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-09,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-10,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-11,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-12,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-13,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-14,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-15,PROSPECTIVE_VALIDATION,BLOCKED_SMOKE_W_LABEL_FEATURE,False,False,False,False,V33XR3R2_NONFINITE_TARGET_FEATURE:P_REF
2025-03-16,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-17,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-18,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-19,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-20,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-21,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-22,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-23,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-24,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-25,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-26,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-27,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-28,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-29,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-30,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
2025-03-31,PROSPECTIVE_VALIDATION,NOT_RUN_AFTER_PHASE_A_FAST_GATE,False,False,False,False,mandatory smoke gate failed
