day,case,Stage1_solved,schedule_frozen,Planning_complete,Fresh_complete,Fresh_convergence_count,exact_matched,status
2025-02-26,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-02-27,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-02-28,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-01,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-02,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-03,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-04,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-05,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-06,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-07,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-08,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-09,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-10,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-11,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-12,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-13,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-14,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-15,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-16,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-17,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-18,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-19,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-20,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-21,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-22,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-23,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-24,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-25,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-26,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-27,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-28,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-29,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-30,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
2025-03-31,B1,False,False,False,False,0,False,NOT_RUN_PHASE_A_GATE
