day,planning_model_sha256,planning_voltage_sha256,Fresh_voltage_sha256,axis_sha256,status
2025-01-01,,,,,NOT_MATERIALIZED
2025-01-02,,,,,NOT_MATERIALIZED
2025-01-03,,,,,NOT_MATERIALIZED
2025-01-04,,,,,NOT_MATERIALIZED
2025-01-05,,,,,NOT_MATERIALIZED
2025-01-06,,,,,NOT_MATERIALIZED
2025-01-07,,,,,NOT_MATERIALIZED
2025-01-08,,,,,NOT_MATERIALIZED
2025-01-09,,,,,NOT_MATERIALIZED
2025-01-10,,,,,NOT_MATERIALIZED
2025-01-11,,,,,NOT_MATERIALIZED
2025-01-12,,,,,NOT_MATERIALIZED
2025-01-13,,,,,NOT_MATERIALIZED
2025-01-14,,,,,NOT_MATERIALIZED
2025-01-15,,,,,NOT_MATERIALIZED
2025-01-16,,,,,NOT_MATERIALIZED
2025-01-17,,,,,NOT_MATERIALIZED
2025-01-18,,,,,NOT_MATERIALIZED
2025-01-19,,,,,NOT_MATERIALIZED
2025-01-20,,,,,NOT_MATERIALIZED
2025-01-21,,,,,NOT_MATERIALIZED
2025-01-22,,,,,NOT_MATERIALIZED
2025-01-23,,,,,NOT_MATERIALIZED
2025-01-24,,,,,NOT_MATERIALIZED
2025-01-25,,,,,NOT_MATERIALIZED
2025-01-26,,,,,NOT_MATERIALIZED
2025-01-27,,,,,NOT_MATERIALIZED
2025-01-28,,,,,NOT_MATERIALIZED
2025-01-29,,,,,NOT_MATERIALIZED
2025-01-30,,,,,NOT_MATERIALIZED
2025-01-31,,,,,NOT_MATERIALIZED
2025-02-01,,,,,NOT_MATERIALIZED
2025-02-02,,,,,NOT_MATERIALIZED
2025-02-03,,,,,NOT_MATERIALIZED
2025-02-04,,,,,NOT_MATERIALIZED
2025-02-05,,,,,NOT_MATERIALIZED
2025-02-06,,,,,NOT_MATERIALIZED
2025-02-07,,,,,NOT_MATERIALIZED
2025-02-08,,,,,NOT_MATERIALIZED
2025-02-09,,,,,NOT_MATERIALIZED
2025-02-10,,,,,NOT_MATERIALIZED
2025-02-11,,,,,NOT_MATERIALIZED
2025-02-12,,,,,NOT_MATERIALIZED
2025-02-13,,,,,NOT_MATERIALIZED
2025-02-14,,,,,NOT_MATERIALIZED
2025-02-15,,,,,NOT_MATERIALIZED
2025-02-16,,,,,NOT_MATERIALIZED
2025-02-17,,,,,NOT_MATERIALIZED
2025-02-18,,,,,NOT_MATERIALIZED
2025-02-19,,,,,NOT_MATERIALIZED
2025-02-20,,,,,NOT_MATERIALIZED
2025-02-21,,,,,NOT_MATERIALIZED
2025-02-22,,,,,NOT_MATERIALIZED
2025-02-23,,,,,NOT_MATERIALIZED
2025-02-24,,,,,NOT_MATERIALIZED
2025-02-25,,,,,NOT_MATERIALIZED
2025-02-26,,,,,NOT_MATERIALIZED
2025-02-27,,,,,NOT_MATERIALIZED
2025-02-28,,,,,NOT_MATERIALIZED
2025-03-01,,,,,NOT_MATERIALIZED
2025-03-02,,,,,NOT_MATERIALIZED
2025-03-03,,,,,NOT_MATERIALIZED
2025-03-04,,,,,NOT_MATERIALIZED
2025-03-05,,,,,NOT_MATERIALIZED
2025-03-06,,,,,NOT_MATERIALIZED
2025-03-07,,,,,NOT_MATERIALIZED
2025-03-08,,,,,NOT_MATERIALIZED
2025-03-09,,,,,NOT_MATERIALIZED
2025-03-10,,,,,NOT_MATERIALIZED
2025-03-11,,,,,NOT_MATERIALIZED
2025-03-12,,,,,NOT_MATERIALIZED
2025-03-13,,,,,NOT_MATERIALIZED
2025-03-14,,,,,NOT_MATERIALIZED
2025-03-15,,,,,NOT_MATERIALIZED
2025-03-16,,,,,NOT_MATERIALIZED
2025-03-17,,,,,NOT_MATERIALIZED
2025-03-18,,,,,NOT_MATERIALIZED
2025-03-19,,,,,NOT_MATERIALIZED
2025-03-20,,,,,NOT_MATERIALIZED
2025-03-21,,,,,NOT_MATERIALIZED
2025-03-22,,,,,NOT_MATERIALIZED
2025-03-23,,,,,NOT_MATERIALIZED
2025-03-24,,,,,NOT_MATERIALIZED
2025-03-25,,,,,NOT_MATERIALIZED
2025-03-26,,,,,NOT_MATERIALIZED
2025-03-27,,,,,NOT_MATERIALIZED
2025-03-28,,,,,NOT_MATERIALIZED
2025-03-29,,,,,NOT_MATERIALIZED
2025-03-30,,,,,NOT_MATERIALIZED
2025-03-31,,,,,NOT_MATERIALIZED
