mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC01,92,94,4.2498444764642125,FEASIBLE
MESS01,STA01,IDC01,93,95,4.248694731057833,FEASIBLE
MESS01,STA01,IDC01,94,96,4.269584305749258,FEASIBLE
MESS01,STA01,IDC01,95,97,4.276757092242303,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC02,0,4,67.35568780078812,FEASIBLE
MESS01,STA01,IDC02,1,5,64.41718105748153,FEASIBLE
MESS01,STA01,IDC02,2,6,57.88113910267819,FEASIBLE
MESS01,STA01,IDC02,3,7,67.45485410952338,FEASIBLE
MESS01,STA01,IDC02,4,8,67.7368621959192,FEASIBLE
MESS01,STA01,IDC02,5,9,67.73811418340486,FEASIBLE
MESS01,STA01,IDC02,6,10,67.70098713803206,FEASIBLE
MESS01,STA01,IDC02,7,11,67.60295573298646,FEASIBLE
MESS01,STA01,IDC02,8,12,67.93936558381324,FEASIBLE
MESS01,STA01,IDC02,9,13,67.64535444873361,FEASIBLE
MESS01,STA01,IDC02,10,14,67.81835952134381,FEASIBLE
MESS01,STA01,IDC02,11,15,67.74776604159185,FEASIBLE
MESS01,STA01,IDC02,12,16,67.63798391748868,FEASIBLE
MESS01,STA01,IDC02,13,17,67.259275046529,FEASIBLE
MESS01,STA01,IDC02,14,18,67.4770379744669,FEASIBLE
MESS01,STA01,IDC02,15,19,73.33969166276019,FEASIBLE
MESS01,STA01,IDC02,16,20,64.20357267964667,FEASIBLE
MESS01,STA01,IDC02,17,21,67.16593408229552,FEASIBLE
MESS01,STA01,IDC02,18,22,72.9312145872544,FEASIBLE
MESS01,STA01,IDC02,19,23,66.76310053069906,FEASIBLE
MESS01,STA01,IDC02,20,25,61.23003429596301,FEASIBLE
MESS01,STA01,IDC02,21,25,64.70610348291558,FEASIBLE
MESS01,STA01,IDC02,22,26,64.12897711437557,FEASIBLE
MESS01,STA01,IDC02,23,27,64.42221763203136,FEASIBLE
