window,receiving_slot,rebound_nodeh
W1,16,0.047877364493849495
W1,20,0.2934158549134781
W1,21,0.25448458636628735
W1,23,0.0788867223321339
W1,25,0.02778369869140418
W1,28,0.10221562708228304
W1,29,0.0917373650121881
W1,34,0.167372180123891
W1,39,0.3831898347203553
W1,70,0.006487461632668556
W1,73,0.1637451091860509
W1,75,0.2505031589106945
W1,77,0.48825037425321466
W1,78,0.40538157087366616
W1,79,0.3157941320096648
W1,80,0.5052495661647043
W1,81,0.05621835936243273
W1,82,0.1970659719552579
W1,84,0.07289322796370257
W1,85,0.3462058672149843
W1,86,0.09946515387863963
W1,87,0.5993686961664455
W1,88,0.43563786836770335
W1,90,1.2621001262330336
W1,91,0.5750395989154999
W1,92,1.87228571460173
W1,93,0.532460925249826
W1,94,0.8891074742710963
W1,95,0.48343919106657485
W3,16,0.047877364493849495
W3,20,0.2939681978878613
W3,23,0.0802384171841457
W3,28,0.04539269381165789
W3,34,0.14534868960968894
W3,58,0.11163600893291858
W3,63,0.0975226709165633
W3,65,0.02019944309893104
W3,70,0.010590315091935143
W3,77,0.7631143680342225
W3,78,0.4054614070360669
W3,79,0.3157941320096648
W3,80,0.5029310893592343
W3,81,0.055365054102351666
W3,82,0.19704332005781827
W3,84,0.635278164201589
W3,85,0.26140920296287873
W3,86,0.12830132434460684
W3,87,0.6895768242553163
W3,88,0.4357440328168205
W3,90,1.2873105607308064
W3,91,0.5362145020445495
W3,92,1.8736873448676596
W3,93,0.9028032577151652
W3,94,0.886341948980006
W3,95,0.38457446686276286
W5,23,0.07774703703140795
W5,25,0.02902772981183449
W5,55,0.2009576015364214
W5,63,0.09438098552484697
W5,70,0.010590315091935143
W5,77,0.7631143680342225
W5,78,0.40543903896463473
W5,79,0.3157941320096648
W5,80,0.5022453386724788
W5,81,0.1494212953538368
W5,82,0.19704332005781827
W5,83,0.5343864920156346
W5,84,0.4011919465440337
W5,85,0.3459453660434503
W5,86,0.10027793076696137
W5,87,0.509095669082213
W5,88,0.47562757203774686
W5,90,1.2325565528030302
W5,91,0.5039150054623085
W5,92,1.6917668164595703
W5,93,0.7047662567212738
W5,94,1.3761042143663966
W5,95,0.5203587175907088
