day,case,mess_id,origin,destination,departure_slot,safe_ETA_seconds,connection_ready_slot,safe_travel_energy_kWh,energy_after_travel_kWh,remaining_connected_slots,route_feasible_at_departure_0,STAY_objective,post_move_Planning_objective,NET_MOBILITY_VALUE,post_arrival_P_sum_abs_kW_slots,post_arrival_Q_sum_abs_kvar_slots,beneficial_move,status
2025-04-01,B2,MESS01,STA01,IDC01,0,601.0647506713868,2,4.3893490907591435,755.6106509092408,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC02,0,2513.2842178344727,4,67.35568780078812,692.6443121992119,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC03,0,2638.375160217285,4,67.80006435318145,692.1999356468185,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC04,0,1567.6022567749023,3,28.953268708191665,731.0467312918083,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC05,0,776.3315353393556,2,15.16982310847837,744.8301768915217,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC06,0,1117.652961730957,2,11.893730923675976,748.106269076324,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC07,0,2134.3240127563477,4,52.20889656068495,707.7911034393151,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC08,0,1547.901252746582,3,37.45593635643964,722.5440636435603,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC09,0,1209.2792129516602,3,29.27297056336542,730.7270294366346,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC10,0,1182.5999221801758,2,18.052110801296,741.947889198704,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC11,0,2364.7894287109375,4,60.12769185894281,699.8723081410571,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,IDC12,0,703.0477676391603,2,5.138681099991183,754.8613189000088,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA01,0,0.0,0,0.0,760.0,96,True,0.5666022075877167,0.5666022075877167,0.0,2241.8221060335604,41693.83583760662,False,STAY_REFERENCE_SOLVED
2025-04-01,B2,MESS01,STA01,STA02,0,473.38056182861334,2,3.4996216620219265,756.5003783379781,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA03,0,978.2857894897462,2,7.972165245201513,752.0278347547985,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA04,0,593.3341445922853,2,15.985852744401871,744.0141472555981,94,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA05,0,1202.2722244262695,3,15.213379116863782,744.7866208831363,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA06,0,1397.0674514770508,3,34.77015060801923,725.2298493919808,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA07,0,2396.715187072754,4,57.86630579641215,702.1336942035879,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA08,0,2492.569709777832,4,60.778169827030915,699.2218301729691,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA09,0,2635.163917541504,4,59.834645361999506,700.1653546380005,92,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
2025-04-01,B2,MESS01,STA01,STA10,0,1824.6477432250977,3,41.4277892111006,718.5722107888994,93,True,0.5666022075877167,,,,,NOT_DETERMINED,DEFERRED_NO_DESTINATION_MIP_SOLVE_USER_APR01_ONLY_CAP
