Fresh_effect_direction,Fresh_rho_delta,Planning_effect_direction,Planning_rho_delta,active_cell_count,active_sign_match_rate,cell_count,comparison,day,effect_MAE,effect_RMSE,fresh_max_abs_effect,fresh_mean_abs_effect,planning_max_abs_effect,planning_mean_abs_effect
1.0,0.027719660002389457,-1.0,-0.02368282473597949,25150,0.9256858846918489,25248,B2-B0,2025-04-01,0.006779387108531354,0.025016623839313655,0.2413031889184263,0.013700527300090387,0.2329686868583087,0.009145897096387471
1.0,0.02759717360516345,-1.0,-0.023176092578013896,25150,0.9278330019880716,25248,B3-B1,2025-04-01,0.006789461377931874,0.025082255831906906,0.2415502287798994,0.013699830541660787,0.23243874480987398,0.009123947155553685
1.0,0.029788911243666227,-1.0,-0.034266183802872385,25152,0.93360368956743,25248,B2-B0,2025-04-02,0.006976838601272334,0.02586161668932025,0.2425610078741785,0.014726837800237619,0.2387309859107486,0.010308641182873576
-1.0,-0.015581615674629679,-1.0,-0.0437038443109109,25137,0.9404463539801886,25248,B3-B1,2025-04-02,0.004870582329125052,0.0203785050692155,0.24557768849176895,0.010672389990201495,0.22376925517963647,0.006709655325362789
1.0,0.023688925180603282,-1.0,-0.05606187010530761,25150,0.9357455268389662,25248,B2-B0,2025-04-03,0.008650784461111874,0.032656508858774844,0.2522349231911397,0.016657017519198056,0.23750654711754934,0.012074050341134386
1.0,0.023603817026476737,-1.0,-0.0560834889930335,25151,0.9325672935469763,25248,B3-B1,2025-04-03,0.008458759108576342,0.03176343288426712,0.2513311509951519,0.016318318853739317,0.23741273986804423,0.011793912639075095
-1.0,-0.0019482826996696234,-1.0,-0.01843585757588362,25151,0.9279949107391356,25248,B2-B0,2025-04-04,0.006279537185666564,0.024429346865631547,0.24867538870824799,0.012846995148528545,0.23050487046479795,0.008477977658945186
1.0,0.02619168990336096,-1.0,-0.01822915188732288,25152,0.9316952926208651,25248,B3-B1,2025-04-04,0.0064090864649436015,0.025483922717227093,0.24442158426351263,0.012852567754182065,0.23712309487665023,0.00851059567475916
1.0,0.004749778749362443,-1.0,-0.04600880427982057,25152,0.9455709287531806,25248,B2-B0,2025-04-05,0.006987145514297053,0.02729801470945993,0.24497147520738097,0.013559043557649857,0.25406475768419057,0.009288477757696905
1.0,0.01053478405202668,-1.0,-0.0459881604277691,25152,0.9436227735368957,25248,B3-B1,2025-04-05,0.006938113547073257,0.02795219144979875,0.24511835513727828,0.013604734341055394,0.25849236121779334,0.009431959453117528
-1.0,-0.021762501964810776,-1.0,-0.047454003069978934,25144,0.9448775055679287,25248,B2-B0,2025-04-06,0.004864401432805174,0.020378050440288727,0.24020552352434715,0.009670882954627294,0.22907230557125258,0.005770098059381856
1.0,0.004703701498290247,-1.0,-0.04173709920506641,25152,0.945729961832061,25248,B3-B1,2025-04-06,0.004912281905765386,0.020307294775070994,0.27014855998536225,0.009513498328448822,0.29035079931504704,0.005565009817604395
-1.0,-0.0015248819495993216,-1.0,-0.0707495976949375,25138,0.9037314026573315,25248,B2-B0,2025-04-07,0.007402309816685129,0.02786592169363302,0.25467657715479775,0.013999777824395262,0.2361784546215615,0.00987635391933865
1.0,0.019298688087044824,-1.0,-0.08750763615386348,25145,0.9236826406840326,25248,B3-B1,2025-04-07,0.006859019979919032,0.024734318546894576,0.25250378163429615,0.015402764615572155,0.2405033539646298,0.01110226955754808
-1.0,-0.013119887802402364,-1.0,-0.08470564389472612,25148,0.9409893430889136,25248,B2-B0,2025-04-08,0.007679358064572776,0.027310213334037412,0.25231467907464683,0.01778818142578497,0.23677371024580024,0.01295985742026009
-1.0,-0.013123857745667489,-1.0,-0.08456361317159233,25150,0.940675944333996,25248,B3-B1,2025-04-08,0.007602524694775494,0.027233462291124555,0.2523070996774762,0.017467738364213094,0.2363174637282615,0.012554128150180107
1.0,0.003371583601262218,-1.0,-0.08300533406488819,25146,0.9409051141334606,25248,B2-B0,2025-04-09,0.007039935870227499,0.026137381821884346,0.2522303427963665,0.015516400937917615,0.2364835858963752,0.01097952098453556
