Fresh_critical_line,Fresh_critical_loading,Fresh_critical_phase,Fresh_critical_slot,Planning_critical_line,Planning_critical_loading,Planning_critical_phase,Planning_critical_slot,case,day,identity,schedule_SHA256
line.sw2,0.5670020672576839,A,74,line.sw2,0.5670071217020519,A,74,B0,2025-04-01,EXACT_LINE_PHASE_SLOT,3c1d0fa371c7dfe7ca4681333d0dc866e1dc3fb7ca35641c9f02f1d588fcb9a3
line.sw2,0.5670001813302211,A,74,line.sw2,0.5670036511595943,A,74,B1,2025-04-01,EXACT_LINE_PHASE_SLOT,e2933424b8a1a347fad827686900eccaa14c3007e396400c598dd29216f447f7
line.sw2,0.5947217272600733,A,74,line.sw2,0.5433242969660724,A,82,B2,2025-04-01,SAME_LINE_PHASE_DIFFERENT_SLOT,02fa66cb9cc9a31077f9fdafe678573c44979411f2ecb08cf2a3c7254c5b3fff
line.sw2,0.5945973549353846,A,74,line.sw2,0.5438275585815804,A,95,B3,2025-04-01,SAME_LINE_PHASE_DIFFERENT_SLOT,bb9654c15b958b4e210e5c7cce0827bfb7c3f76c741e5585f21c5f47fdfd0073
line.sw2,0.5886030272080948,A,74,line.sw2,0.5886085324690455,A,74,B0,2025-04-02,EXACT_LINE_PHASE_SLOT,9b5470df45ba47af76d95067b0a037500f38f2ad8c93ed8b9aaead3f863b24a7
line.sw2,0.5885862692436019,A,74,line.sw2,0.5885884794593548,A,74,B1,2025-04-02,EXACT_LINE_PHASE_SLOT,06390c5176453c089f22fddcfd318a8332599df3b1157612c748e2bd40f1167c
line.sw2,0.618391938451761,A,74,line.sw2,0.5543423486661732,A,81,B2,2025-04-02,SAME_LINE_PHASE_DIFFERENT_SLOT,f616444d18b617cab07285a6f8cf51fe8930b9b7eb7d779d70423c11223c3314
line.sw2,0.5730046535689722,A,74,line.sw2,0.5448846351484439,A,87,B3,2025-04-02,SAME_LINE_PHASE_DIFFERENT_SLOT,46df8626d313b461bde13e4ac7723f9076a51c7c1188843729d8425de5064773
line.sw2,0.578012691275339,A,27,line.sw2,0.5780131222992347,A,27,B0,2025-04-03,EXACT_LINE_PHASE_SLOT,1453dc84fc5592a6143e232533b2a6428259d24ae018ebeb1e97694c7b24b583
line.sw2,0.5777953219677238,A,27,line.sw2,0.5777976818881205,A,27,B1,2025-04-03,EXACT_LINE_PHASE_SLOT,879136aba78bcf76e95631d10fb219e81da3905626708b9f93d9a5101d17be71
