day,case,classification,before_SHA256,after_SHA256,DA_decision_SHA256,loader,certificate,temporal_repair_calls,migration_optimization_calls,common_initial_state_SHA256,temporal_schedule_SHA256
2025-05-01,B0,REUSED_EQUIVALENT,dce9b906f02f35730faed1e1e8733b2d3e1ea14aac39f004b445fb44b5030a91,dce9b906f02f35730faed1e1e8733b2d3e1ea14aac39f004b445fb44b5030a91,f57bc66f4846fdacd85e15adedd7efa6c375859399a177dd6f72f6ce330a4874,PASS,PASS,0,0,d79234833133ab4275e555abd7570d02cf704f7832854d6a2cabba6764f3c380,db4c52c244aadc8ceb9911ee16d1b115e9ad822d581451d7adac262e160b4aa0
2025-05-01,B1,REUSED_EQUIVALENT,ab00b648d08bea4f1c391dcd9aaa89f257ccc2b0ca97b70b32ef4bbea1de3326,ab00b648d08bea4f1c391dcd9aaa89f257ccc2b0ca97b70b32ef4bbea1de3326,3a75ea893c25b8f3e0df12ce85cbe684cf63c88b0d44b6c6e74d5de96ec004ac,PASS,PASS,0,0,d79234833133ab4275e555abd7570d02cf704f7832854d6a2cabba6764f3c380,ee502c2072730338678cca523e28229a2734033c1163e76288e8b9b2534c8a0a
2025-05-01,B2,REUSED_EQUIVALENT,488eb141ae9ac71a5ecce65920d87d629449568ca5d075d692dd6059c4e6e21f,488eb141ae9ac71a5ecce65920d87d629449568ca5d075d692dd6059c4e6e21f,a332b868affdef01cc5624950d8bd75d53c8c77f48fc7b9ca6f3aa21962f6911,PASS,PASS,0,0,d79234833133ab4275e555abd7570d02cf704f7832854d6a2cabba6764f3c380,db4c52c244aadc8ceb9911ee16d1b115e9ad822d581451d7adac262e160b4aa0
2025-05-01,B3,REUSED_EQUIVALENT,ef11e5e9c830a53c8b5d0071658e92654125b6721e6191d9501e5089abfac001,ef11e5e9c830a53c8b5d0071658e92654125b6721e6191d9501e5089abfac001,9ea78ae9117e05cecc85ae7284d112ae33556af8fc3eb074af0495b60ef108a8,PASS,PASS,0,0,d79234833133ab4275e555abd7570d02cf704f7832854d6a2cabba6764f3c380,ee502c2072730338678cca523e28229a2734033c1163e76288e8b9b2534c8a0a
2025-05-02,B0,REUSED_EQUIVALENT,438ec4e401da83757536ad5e5c39533b818472efbac882ee540527eb1a61c989,438ec4e401da83757536ad5e5c39533b818472efbac882ee540527eb1a61c989,ec885e2ddcf20e72df18b8327df382d539bfe8159c64b4fd3d77c9fd8428d178,PASS,PASS,0,0,e973341ecf8a3af02679994325d8098a9554d5cecf420a652a7b898362e38df7,cd8a12e8cf62f3d57b13044d090aefe8917cf3201c5216edbad90a055ba5b5e7
2025-05-02,B1,REUSED_EQUIVALENT,87306f3abe549575f08f268c9013d642ad67b78856ccd09fa93c327439977b41,87306f3abe549575f08f268c9013d642ad67b78856ccd09fa93c327439977b41,c89b09002565df8f42e328a6a0e60b62cab1eb840bf22195b4ac3b7a96e36616,PASS,PASS,0,0,e973341ecf8a3af02679994325d8098a9554d5cecf420a652a7b898362e38df7,82c6c69db1842c0436a5a2ae786d5e6e675ac7625ecef009d56f99304fbba208
2025-05-02,B2,REUSED_EQUIVALENT,8a57ecb0796a1e8b8f4dd7e976c03693323e0aa1694a5c05f2644ba7b4be0d2a,8a57ecb0796a1e8b8f4dd7e976c03693323e0aa1694a5c05f2644ba7b4be0d2a,f299483f8a79a9bab755e9a8dd92ab618ffe66f53cb5a35c2d99e1b8904cca47,PASS,PASS,0,0,e973341ecf8a3af02679994325d8098a9554d5cecf420a652a7b898362e38df7,cd8a12e8cf62f3d57b13044d090aefe8917cf3201c5216edbad90a055ba5b5e7
2025-05-02,B3,REUSED_EQUIVALENT,437ebb8efc188c2c42f44dd2ab9e3dc19f99ffe487bb42dbb45b237511e3d3bf,437ebb8efc188c2c42f44dd2ab9e3dc19f99ffe487bb42dbb45b237511e3d3bf,5d85e888e27e9e11d5df1e822ba0e88deb886be538efda616cbbed7c95a346ff,PASS,PASS,0,0,e973341ecf8a3af02679994325d8098a9554d5cecf420a652a7b898362e38df7,82c6c69db1842c0436a5a2ae786d5e6e675ac7625ecef009d56f99304fbba208
2025-05-03,B0,REUSED_EQUIVALENT,3593b6e06416c93f28466601864d472239669538fb5e9a2354f898fff9114ae8,3593b6e06416c93f28466601864d472239669538fb5e9a2354f898fff9114ae8,788a10c430713be5612c76e938e5259c69be34afcd517d09e960bf93b04d5b53,PASS,PASS,0,0,e00cd079e1324e79271c0ed6ec792d728efbde387746d2e44bce1817cded3307,5db9b5e306ceb0943d77862679459a2820bb6ab6ff95d034303ec1e045c7e799
2025-05-03,B1,REUSED_EQUIVALENT,9db540d83a2b694ab5558b41242682b0768a1be18a92e4a5abe1bf8e6b748c5d,9db540d83a2b694ab5558b41242682b0768a1be18a92e4a5abe1bf8e6b748c5d,879cdd0c5e5b3fc6281520aaf41be308cc6143555628aceed135ae7143d63966,PASS,PASS,0,0,e00cd079e1324e79271c0ed6ec792d728efbde387746d2e44bce1817cded3307,4f14a0abfb5a394bc5758ae6cdca70add6c70316afb348d76847eae5a2e1b30d
2025-05-03,B2,REUSED_EQUIVALENT,238b81a7cd782c17b5b6e75ab602e965e4322602275e9a81c19ffd3ac66eb2d0,238b81a7cd782c17b5b6e75ab602e965e4322602275e9a81c19ffd3ac66eb2d0,849b5923a54ba67ee97f7929f02a0424c14a832ebe9e9b7d2699a8f982b60cc3,PASS,PASS,0,0,e00cd079e1324e79271c0ed6ec792d728efbde387746d2e44bce1817cded3307,5db9b5e306ceb0943d77862679459a2820bb6ab6ff95d034303ec1e045c7e799
2025-05-03,B3,REUSED_EQUIVALENT,e5645a0980136453a9a21e49ae9de0925bfe93cb086dbf3063d88fc6fd7987e1,e5645a0980136453a9a21e49ae9de0925bfe93cb086dbf3063d88fc6fd7987e1,845d494996f4a12b64a0438e98639fcad1eb02b0cae29c3641ff22715bfbf4d7,PASS,PASS,0,0,e00cd079e1324e79271c0ed6ec792d728efbde387746d2e44bce1817cded3307,4f14a0abfb5a394bc5758ae6cdca70add6c70316afb348d76847eae5a2e1b30d
2025-05-04,B0,REUSED_EQUIVALENT,7578954e68479be48e22d5ce14ca3150c5dc76cec7689f18e1bd190c05f2fcbb,7578954e68479be48e22d5ce14ca3150c5dc76cec7689f18e1bd190c05f2fcbb,827e1c74e61fa1269b564dab70de7843dd0e1135d1fbd6ba2d2b089a931db9f2,PASS,PASS,0,0,37005e60d422c164e8d8f4b594139bfc0d3b4cf90e6576e42aa52081f54d26c0,4457fc308766184b3f67a7d5df7b4de9bec3cfc4d8e371466c2bcbd56fd04455
2025-05-04,B1,REUSED_EQUIVALENT,d5befdfb6e89057e36d37bd5d8bb6f3cc38c92323bba9fda4767ee08e29f194e,d5befdfb6e89057e36d37bd5d8bb6f3cc38c92323bba9fda4767ee08e29f194e,55223d6bafc09b961f1e520c388a2177bf849afca964c8232f2a34e7eb6b3285,PASS,PASS,0,0,37005e60d422c164e8d8f4b594139bfc0d3b4cf90e6576e42aa52081f54d26c0,da586cfb2d32e4599fffd675711e75fe435fb0f57ab416076cb0ebe0ba8a33cc
2025-05-04,B2,REUSED_EQUIVALENT,1f430b63b566356cae9bf1a522da80447f1ec235bf16d3077d3000437b551203,1f430b63b566356cae9bf1a522da80447f1ec235bf16d3077d3000437b551203,cd0bbae7691284ca9385befb1f6f9e4aabdf7ab9580c2ddcad2e8005693f3bcf,PASS,PASS,0,0,37005e60d422c164e8d8f4b594139bfc0d3b4cf90e6576e42aa52081f54d26c0,4457fc308766184b3f67a7d5df7b4de9bec3cfc4d8e371466c2bcbd56fd04455
2025-05-04,B3,REUSED_EQUIVALENT,dd393efdea3c270217987fd388fef9733e480ec91f45f1aeda934304dab85edb,dd393efdea3c270217987fd388fef9733e480ec91f45f1aeda934304dab85edb,6d2842f4c8e336272faaf853171186862e1cc08ea80dcba0317d7fc7d16f392d,PASS,PASS,0,0,37005e60d422c164e8d8f4b594139bfc0d3b4cf90e6576e42aa52081f54d26c0,da586cfb2d32e4599fffd675711e75fe435fb0f57ab416076cb0ebe0ba8a33cc
2025-05-05,B0,REUSED_EQUIVALENT,a2314c7f5c07d52ebb0fcce2d40dadd1fc60b70c4946e6b2691ee34c922b481f,a2314c7f5c07d52ebb0fcce2d40dadd1fc60b70c4946e6b2691ee34c922b481f,372189fab1a2b25f93a364f2a043cba2afa65a79cfa38dd65f09f8fe0b599c43,PASS,PASS,0,0,35d699d61f69265c2a4790139a7907b5947d2c53ae7f0da4a857b17fbd913231,a392c59d536f25f6ddd8868e12a9870bb4578d5081bfdf9ad438b48541e55e63
2025-05-05,B1,REUSED_EQUIVALENT,5d5863c1ac24f1c80ab390989ec15719ef7aaa52636c1692f2f98069c7cf9919,5d5863c1ac24f1c80ab390989ec15719ef7aaa52636c1692f2f98069c7cf9919,2672ac407d87865342220afe20da23a2de80730140dab707d6245d1545d2cdd7,PASS,PASS,0,0,35d699d61f69265c2a4790139a7907b5947d2c53ae7f0da4a857b17fbd913231,fedf50e0b4b4a32a27e0b8e0c2bc685a534ec47cbec1b8e1ba302ddf1b1564a4
2025-05-05,B2,REUSED_EQUIVALENT,dd4a85e8bcc1939d9540c4489122ead8e998d00236ec5751a953a0166d3b64d3,dd4a85e8bcc1939d9540c4489122ead8e998d00236ec5751a953a0166d3b64d3,577fc91707a05ed2888d564fabfa25332f49d6aade1bc1e632054b5cad85022b,PASS,PASS,0,0,35d699d61f69265c2a4790139a7907b5947d2c53ae7f0da4a857b17fbd913231,a392c59d536f25f6ddd8868e12a9870bb4578d5081bfdf9ad438b48541e55e63
2025-05-05,B3,REUSED_EQUIVALENT,9e5e978c1da1d949d1623f26e8256e45f367fdd6dee4eb7ca5760fb3dd31bae9,9e5e978c1da1d949d1623f26e8256e45f367fdd6dee4eb7ca5760fb3dd31bae9,3ff8220ceadd41e0187425b417dd44a89b2c4f91c00ecde5c76a70f88220548d,PASS,PASS,0,0,35d699d61f69265c2a4790139a7907b5947d2c53ae7f0da4a857b17fbd913231,fedf50e0b4b4a32a27e0b8e0c2bc685a534ec47cbec1b8e1ba302ddf1b1564a4
2025-05-06,B0,REUSED_EQUIVALENT,b4299ada98bb9a3da948b46b5433d68654ee1f199991839fe788febc05b8805b,b4299ada98bb9a3da948b46b5433d68654ee1f199991839fe788febc05b8805b,4acfa12ea09e5608a3363a6a59fe8d77411d1c0833b01e7bb1389ecdb57f4f61,PASS,PASS,0,0,361b07cae4ce755d065d45c4291469ec55d676447c9fe5b041e4036a587999fb,09552603dd042b9e6b72f26f89bcda49127b336e17b99db3e4f1ff4a2f2c4653
2025-05-06,B1,REUSED_EQUIVALENT,8f248a9d39fe0376d3bc16a63a5bdbbba52465bced0870795916ef7f1c1f9a2d,8f248a9d39fe0376d3bc16a63a5bdbbba52465bced0870795916ef7f1c1f9a2d,35acef8609e47373c9c25589dc1e59b9a145b8480e27ffa6b90217537c73e4f5,PASS,PASS,0,0,361b07cae4ce755d065d45c4291469ec55d676447c9fe5b041e4036a587999fb,e279530e47c76f8a1e4e5257e03683222fa29c9dfa8765b81ecd61195cc6949c
2025-05-06,B2,REUSED_EQUIVALENT,cffb508114f7d6f9ed982a11b7f890354f8d8be07e39c640b52bb16a3fa034af,cffb508114f7d6f9ed982a11b7f890354f8d8be07e39c640b52bb16a3fa034af,73af12a28c380e62efbe12110fef557ace6eff687ba69b652e4e91064e40e96d,PASS,PASS,0,0,361b07cae4ce755d065d45c4291469ec55d676447c9fe5b041e4036a587999fb,09552603dd042b9e6b72f26f89bcda49127b336e17b99db3e4f1ff4a2f2c4653
2025-05-06,B3,REUSED_EQUIVALENT,2eb9d0c02d087fc275fdf4aceba79c6e99a4e55a7332ef4dc97ff1d30bdba581,2eb9d0c02d087fc275fdf4aceba79c6e99a4e55a7332ef4dc97ff1d30bdba581,a1ccf89dd0e0ddd0e41e1d2c204f57692e6da5f0eff9491fbde266510b0f3587,PASS,PASS,0,0,361b07cae4ce755d065d45c4291469ec55d676447c9fe5b041e4036a587999fb,e279530e47c76f8a1e4e5257e03683222fa29c9dfa8765b81ecd61195cc6949c
2025-05-07,B0,REUSED_EQUIVALENT,de9b48234b1570ea50f3803886447aee428a4e996e6decdd01ff8a7d41b7df66,de9b48234b1570ea50f3803886447aee428a4e996e6decdd01ff8a7d41b7df66,fe9428750010ff0dcde32cd79fff858582e05ad8069863a8dba220ab2c0e8e76,PASS,PASS,0,0,467adb58b774c83f4f9052587cd1446c6d56716c4c372da1121221e4bf5c4644,70a4422dc9012e71d0502e4cde7071eb9f61943b3ad9719cf8d69757e2373f49
2025-05-07,B1,REUSED_EQUIVALENT,785422973556af85ad0c7f1fd3eb483da97e657c7b5aa85b2b3d3a7b4f09d9d2,785422973556af85ad0c7f1fd3eb483da97e657c7b5aa85b2b3d3a7b4f09d9d2,a1ea19ce82db188dce6b0c052d8ba8195f1905626f3237f43aa9cea6e1ca68ba,PASS,PASS,0,0,467adb58b774c83f4f9052587cd1446c6d56716c4c372da1121221e4bf5c4644,eba6c3efb74adfa12a1380e87677d7cfcf1c684d461f981b7c8684c78432044d
2025-05-07,B2,REUSED_EQUIVALENT,a327403d1c444a5b71b7e3e86f63be757221cc86b0e8be527eead106898c35f2,a327403d1c444a5b71b7e3e86f63be757221cc86b0e8be527eead106898c35f2,fe1b7ba26252d85286cb020e7ad2cb2ebe6895ae5af52a51a394b755972d811f,PASS,PASS,0,0,467adb58b774c83f4f9052587cd1446c6d56716c4c372da1121221e4bf5c4644,70a4422dc9012e71d0502e4cde7071eb9f61943b3ad9719cf8d69757e2373f49
