workload_class,job_count,known_requested_GPUs,known_requested_GPU_hours,subset_of_temporal,authority_note
FIXED_PROTECTED,664,882.0,40403.13333333333,True,"Running, high/urgent, standby/special-policy, or incomplete request authority."
TEMPORAL_QUEUE_CONTROLLED,0,0.0,0.0,True,"Normal QoS, complete submission request, non-standby partition."
SPATIO_TEMPORAL_CANDIDATE,0,0.0,0.0,True,None: submission-time exclusivity and exact AIDC binding are absent.
PREEMPTIVE_NOT_AUTHORIZED,0,0.0,0.0,True,Not authorized.
