qos,compared_start_count,start_order_spearman,start_MAE_hours,start_median_AE_hours,start_P95_AE_hours,actual_wait_mean_hours,actual_wait_P50_hours,actual_wait_P95_hours,actual_wait_max_hours,replay_wait_mean_hours,replay_wait_P50_hours,replay_wait_P95_hours,replay_wait_max_hours
ALL,22331,0.45960769738330454,75.35254259151453,20.19,355.445,4.3586474581921495,0.0008333333333333334,31.15416666666667,93.16583333333334,79.39226772448863,20.20138888888889,372.0336111111111,442.6822222222222
normal,17883,0.9880387467320968,18.980457728320502,18.705833333333334,25.6975,0.45506433794975987,0.0005555555555555556,1.4367222222222173,53.145,19.03986014029463,18.7225,25.902666666666665,442.6822222222222
standby,4444,0.98369230001546,302.2607351360136,321.485,406.9720416666666,20.063247512251223,8.929444444444444,75.717375,93.16583333333334,322.3239826482648,344.3538888888889,417.43888888888887,438.93444444444447
high,4,1.0,5.849027777777778,5.849027777777778,11.558055555555555,8.492222222222223,8.491527777777778,16.983819444444446,16.984444444444446,2.7831944444444443,2.7825,5.425763888888889,5.426388888888889
