node_id,start_UTC,end_UTC,requested_GPU_on_node,node_capacity_GPU,active_job_ids,classification
x3106c0s17b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:44:27+00:00,8.0,4,6342542|6342543,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
x3108c0s25b0n0,2024-12-15T20:41:22+00:00,2024-12-15T20:44:27+00:00,8.0,4,6342550|6342551,RAW_SOURCE_INFEASIBLE_INTERVAL_GLOBAL_CONFLICT_SET_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:43:10+00:00,2025-01-08T15:43:33+00:00,,4,6527291|6527292|6527293,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:43:33+00:00,2025-01-08T15:44:38+00:00,,4,6527291|6527292|6527293,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:44:49+00:00,2025-01-08T15:44:54+00:00,,4,6527297|6527298|6527300,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:44:57+00:00,2025-01-08T15:46:23+00:00,,4,6527301|6527302|6527303,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:46:29+00:00,2025-01-08T15:46:31+00:00,,4,6527304|6527305,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:46:31+00:00,2025-01-08T15:46:36+00:00,,4,6527304|6527305|6527306,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:46:37+00:00,2025-01-08T15:46:44+00:00,,4,6527306|6527307|6527309,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
MULTI_NODE_BIPARTITE_FLOW,2025-01-08T15:46:48+00:00,2025-01-08T15:46:55+00:00,,4,6527306|6527310|6527311,RAW_AMBIGUOUS_SOURCE_INFEASIBLE_INTERVAL_ALL_AMBIGUOUS_ROWS_QUARANTINED
