policy,actual_runtime_s,actual_runtime_min,time_limit_s,time_limit_min,termination_status,time_limit_reached,optimality_claim_supported,final_incumbent_available,final_incumbent_feasible,mip_gap,best_bound,objective_at_termination,solver_name,threads,hardware_if_recorded,source_file,runtime_scope,time_limit_scope,runtime_includes_exact_AC,incremental_runtime_s,coefficient_generation_wall_seconds,candidate_generation_seconds,candidate_generation_reason,candidate_ranking_seconds,ranking_refresh_count,candidate_domain_exposures,candidate_domain_exposures_per_second,candidate_evaluations_per_second,candidate_evaluation_unit,neighborhood_LP_MILP_solve_count,solve_median_seconds,solve_P95_seconds,exact_AC_validation_count,AC_median_seconds,AC_P95_seconds,incumbent_updates,time_to_best_P1_seconds,peak_RAM_bytes,A1_runtime_s,M1_runtime_s,A2_runtime_s,M2_runtime_s,A1_time_limit_s,M1_time_limit_s,A2_time_limit_s,M2_time_limit_s,stage_mapping,reuse_runtime_included
B0,NA,NA,NA,NA,NOT_OPTIMIZED_REFERENCE,NA,false,false,true,NA,NA,0.8487691403696187,NONE,NA,NA,IEEE8500_v41r4_production_20260911_r2/B0/FINAL.json,DA algorithm total including recorded preparation/search/exact AC/export; excludes Actual replay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1,15052.335976699978,250.87226627833297,14400,240,SEARCH_LOOP_WALL_CLOCK_LIMIT,true,false,true,true,NA,NA,0.8473104038318897,Gurobi (bounded fix-and-optimize),4,"CPU model: 13th Gen Intel(R) Core(TM) i7-13620H, instruction set [SSE2|AVX|AVX2]; host_physical_RAM_bytes=34049220608",IEEE8500_v41r4_production_20260911_r2/B1/FINAL_AUTHORITY.json;IEEE8500_v41r4_production_20260911_r2/B1/BOUNDED_SOLVER_REPORT.json;IEEE8500_v41r4_production_20260911_r2/B1/F_AND_O_LIVE.json;IEEE8500_v41r4_production_20260911_r2/B1/MODEL_BUILD_MEMORY.json;IEEE8500_v41r4_production_20260911_r2/B1/SOLVER.log;IEEE8500_v41r4_production_20260911_r2/B1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py,DA algorithm total including recorded preparation/search/exact AC/export; excludes Actual replay,B1 AIDC continuous search loop,true,NA,268.8508002999879,0,Immutable full stream consumed without regeneration,2641.6076662997366,33,17177312,1192.868888888889,0.06840277777777778,Complete-domain neighborhood proposal solve; raw candidate exposure rate reported separately,985,2.090426100010518,7.156926239992027,29,12.595860400004312,13.580614680005237,24,12283.622323899996,2744569856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2,NA,NA,NA,NA,RESTORED_ACCEPTANCE_NO_SINGLE_END_TO_END_TERMINATION_RECORD,NA,false,true,true,NA,NA,0.8284125998911473,Gurobi; frozen beam search + fixed-discrete physical restoration,NA,NA,IEEE8500_B2_physical_closure_20260912_r2/B2_RESTORED_ACCEPTANCE.json,DA algorithm total including recorded preparation/search/exact AC/export; excludes Actual replay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3,38208.3665755,636.8061095916667,14400,240,SEARCH_LOOP_WALL_CLOCK_LIMIT,true,false,true,true,NA,NA,0.82573859707742,Gurobi (bounded fix-and-optimize),4,"CPU model: 13th Gen Intel(R) Core(TM) i7-13620H, instruction set [SSE2|AVX|AVX2]; host_physical_RAM_bytes=34049220608",IEEE8500_B3_production_20260912/B3/FINAL_AUTHORITY.json;IEEE8500_B3_production_20260912/B3_A1/BOUNDED_SOLVER_REPORT.json;IEEE8500_B3_production_20260912/B3_A1/F_AND_O_LIVE.json;IEEE8500_B3_production_20260912/B3_A1/MODEL_BUILD_MEMORY.json;IEEE8500_B3_production_20260912/B3_A1/SOLVER.log;IEEE8500_B3_production_20260912/B3_A1/SCALABILITY_METRICS.json;IEEE8500_v41r4_production_20260911_r2/aidc_runtime.py;IEEE8500_B3_production_20260912/campaign.py,DA algorithm total including recorded preparation/search/exact AC/export; excludes Actual replay,B3 A1 AIDC reoptimization continuous search loop; not whole B3,true,23156.030071099987,268.8508002999879,0,Immutable full stream consumed without regeneration,1488.3547955004033,19,27082997,1880.7636805555555,0.08763888888888889,Complete-domain neighborhood proposal solve; raw candidate exposure rate reported separately,1262,2.1404318000131752,5.1749876750007395,11,13.27825090000988,13.615707000004477,6,11028.238416999986,7897325568,15052.335976699978,7795.217872400011,14723.112871599995,371.91958509999677,14400,NA,14400,NA,paper A1=raw A0 final B1 reuse; paper A2=raw A1; paper M2=raw MF,true
