policy,metric_scope,critical_line,critical_phase,critical_time,line_loading,sending_bus,receiving_bus,sending_voltage_pu,receiving_voltage_pu,abs_line_voltage_difference_pu,source_file,slot_zero_based,endpoint_definition,phase_definition
B0,DAY_AHEAD_AC,Line.tpx21459660c0,node1,07:45,0.8487691403696187,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_v41r4_production_20260911_r2/B0/exact/AC_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json,31,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B0,REALIZED_AC,Line.tpx21459660c0,node1,07:30,0.9187894369215509,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_actual_20260912_r3/B0/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B0/FINAL_ACTUAL/SLOT_EXTREMA.json;IEEE8500_scalability_20260910/audit/lines.json,30,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B0,PLANNING,line.tpx21459660c0::t2_node1,t2_node1,07:45,0.8487691403696187,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_numerical_preflight_20260911/P1_EXACT_B0_WITNESS_BINDING.json;IEEE8500_scalability_20260910/audit/lines.json,31,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B1,DAY_AHEAD_AC,Line.tpx21459660c0,node1,18:00,0.8488178297477951,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_v41r4_production_20260911_r2/B1/final_exact/AC_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json,72,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B1,REALIZED_AC,Line.tpx21459660c0,node1,07:30,0.9249467613822655,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_actual_20260912_r3/B1/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B1/FINAL_ACTUAL/SLOT_EXTREMA.json;IEEE8500_scalability_20260910/audit/lines.json,30,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B1,PLANNING,line.tpx21459660c0::t2_node1,t2_node1,07:45,0.8473104038318897,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_v41r4_production_20260911_r2/B1/ACCEPTED_AIDC.json;IEEE8500_scalability_20260910/audit/lines.json,31,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B2,DAY_AHEAD_AC,Line.tpx21459660c0,node1,18:00,0.8355810352862253,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_B2_physical_closure_20260912_r2/accepted_clean_exact/AC_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json,72,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B2,REALIZED_AC,Line.tpx21459660c0,node1,07:15,0.9076065509538066,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_B2_actual_availability_gating_20260912_r3/B2/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_B2_actual_availability_gating_20260912_r3/B2/FINAL_ACTUAL/SLOT_EXTREMA.json;IEEE8500_scalability_20260910/audit/lines.json,29,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B2,PLANNING,line.tpx21459660c0::t2_node1,t2_node1,07:45,0.8284125998911473,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_B2_physical_closure_20260912_r2/B2_RESTORED_ACCEPTANCE.json;IEEE8500_scalability_20260910/audit/lines.json,31,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B3,DAY_AHEAD_AC,Line.tpx21459660c0,node1,18:00,0.8366269795479181,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_B3_production_20260912/B3/final_exact/AC_VALIDATION.json;IEEE8500_scalability_20260910/audit/lines.json,72,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B3,REALIZED_AC,Line.tpx21459660c0,node1,07:30,0.9029293071261447,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/AC_SUMMARY.json;IEEE8500_actual_20260912_r3/B3/FINAL_ACTUAL/SLOT_EXTREMA.json;IEEE8500_scalability_20260910/audit/lines.json,30,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
B3,PLANNING,line.tpx21459660c0::t2_node1,t2_node1,07:30,0.82573859707742,x3101194c.1.2,sx3101194c.1.2,NA,NA,NA,IEEE8500_B3_production_20260912/B3_A1/ACCEPTED_AIDC.json;IEEE8500_scalability_20260910/audit/lines.json,30,bus1/bus2 topology terminal order; not inferred power-flow direction,terminal/conductor label; secondary node1 is not automatically primary phase A
