day,case,anchor_case,slot,DA_authorized_nodeh,source_available_nodeh,rack_feasible_nodeh,S_PLAN_nodeh,S_RESOURCE_nodeh,nominal_current_blocked_nodeh,candidate_destination_sites_racks,planning_current_leverage,preApril_electrical_sensitivity,anchor_planning_loading_pu,candidate_planning_loading_pu,critical_branch_phase,frontier_eligible,analysis_status,April_rows_used
2025-01-01,B1,B0,35,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,36,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,37,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,38,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,39,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,40,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,41,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,42,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,43,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,44,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,45,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,46,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,47,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,48,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,49,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,50,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,51,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,52,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,53,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,54,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,55,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,56,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,57,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,58,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,59,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,60,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,61,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,62,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,63,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,64,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,65,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,66,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
