fold_id,date,predicted_mass_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,aggregate_unmapped_boundary_score,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio,normalized_boundary_score
1,2024-11-01,37.903568012543225,22.54375210007286,29.231576952547282,26.777777692189332,False,True,680.3422969486552,38.3111111111111,0.0,1.5573267131481434
1,2024-11-02,37.903568012543225,1799.9912800252748,2307.8257615964067,0.9882714527281309,False,True,680.3422969486552,49002.89611111114,0.0,0.057475327148755945
1,2024-11-03,3082.44482976893,4779.084448554291,6363.725529415456,0.7209890152829647,False,True,55327.70938631722,212800.19777777785,0.0,0.04193086768787553
1,2024-11-04,2763.3690383272433,5559.8408805959,7409.73208212699,0.7695134583667831,False,True,49600.524104490716,230164.04888888975,0.0,0.04475292455621339
1,2024-11-05,1913.8486542992791,2777.3036754728305,3297.8963884247983,0.6930275054701563,False,True,34352.23272508742,86337.78111111111,0.0,0.040304698157603354
1,2024-11-06,3337.338681719553,3783.8988159655273,5010.183163258459,0.6528039851718754,False,True,59902.87414803014,182599.14555555524,0.0,0.037965401619353245
1,2024-11-07,3184.8557005120106,3961.266290880527,5307.686366079267,0.6753250654232489,False,True,57165.91224391631,191863.37611111085,0.0,0.0392751697520033
1,2024-11-08,3184.8557005120106,3117.6309401139783,4112.644954042254,0.6186262109315906,False,True,57165.91224391631,158019.2005555558,0.0,0.03597771013008275
1,2024-11-09,3184.8557005120106,1772.6415109728132,2327.1894505700257,0.47617700023897924,False,True,57165.91224391631,110675.16444444458,0.0,0.027693230229303714
1,2024-11-10,2915.852019534785,1173.8853377070338,1542.8501929635543,0.3995993094467353,False,True,52337.48600860451,92539.8266666666,0.0,0.023239668590514493
1,2024-11-11,2915.852019534785,1551.0153666422084,2053.6044811579845,0.4691472685666779,False,True,52337.48600860451,105673.9511111107,0.0,0.027284399106520446
1,2024-11-12,2915.852019534785,2214.458008424628,3132.333228264483,0.5672677853702776,False,True,52337.48600860451,145541.4172222222,0.0,0.03299083612615102
1,2024-11-13,3337.338681719553,2292.1076759192406,3007.4171215918045,0.5312552415013345,False,True,59902.87414803014,133661.66444444438,0.0,0.030896439151906107
1,2024-11-14,3337.338681719553,374.8745018662118,490.3032140563403,0.2239196521702302,False,True,59902.87414803014,48821.71777777781,0.0,0.01302259134167266
1,2024-11-15,3337.338681719553,1069.2144845051007,1342.1750948433773,1.0404798200287066,False,True,59902.87414803014,33698.65555555558,0.0,0.06051163157930443
1,2024-11-16,3485.516406863915,122.23385139906095,202.01222243999254,0.06637975380221525,False,True,62562.5597440664,66251.38333333319,0.0,0.0038604758392082605
1,2024-11-17,2915.852019534785,2544.0407833088834,3386.381101528367,0.5924476617695135,False,True,52337.48600860451,138204.7166666665,0.0,0.0344552330078137
1,2024-11-18,2915.852019534785,716.4461607684589,927.1972039589269,0.2850806314360004,False,True,52337.48600860451,73513.07833333331,0.0,0.01657955666970531
1,2024-11-19,2521.500369834781,1502.4011602273895,1977.8698067631994,0.4966585199243671,False,True,45259.152193866896,95303.94277777782,0.0,0.028884382762518885
