model,residual_MAE,residual_R2,sign_accuracy,lower_correction_MAE,upper_correction_MAE,raw_boundary_score,relative_improvement_vs_R0,fold_wins_vs_R0,nonempty_rate_before_projection,monotonicity_violations,L_above_U_slots,ablation_scope
R0_ZERO_CORRECTION,1365.0659853504878,-0.1732895695369765,0.0104166666666666,1185.9283103427074,1544.2036603582678,15.243233180615931,0.0,0,1.0,0,0,PHASE1_ONLY
R1_ELASTICNET_RESIDUAL,2349.5474146724937,-14.017382402064117,0.6366686667946748,2145.205055310476,2553.8897740345114,14.99393159579788,0.016354901999077,3,0.3245033112582781,3096,4859,PHASE1_ONLY
R2_BASE_ONLY_LGBM_RESIDUAL,1496.9072595585394,-0.4119641014045671,0.4612237583205325,1290.1602721487257,1703.6542469683532,19.121146303382567,-0.254402269965796,1,0.390728476821192,2358,3846,PHASE1_ONLY
R3_STATE_LGBM_RESIDUAL,1432.1555744330522,-0.3003096243633613,0.4647547043010752,1267.1557345852714,1597.1554142808325,19.70396067883136,-0.2926365716092249,3,0.4966887417218543,2004,3496,PHASE1_ONLY
R4_STATE_RUNNING_LGBM_RESIDUAL,1424.5948710976584,-0.2657097465125566,0.4742968349974398,1235.9124991537956,1613.2772430415212,19.462447113445744,-0.2767925861158627,1,0.4172185430463576,2336,4267,PHASE1_ONLY
R5_SMALL_MLP_RESIDUAL,1584.2577005861112,-2.2514237076670027,0.6312263984895032,1503.116354958889,1665.3990462133338,14.355195325530506,0.0582578410080809,1,0.4701986754966887,2756,3453,PHASE1_ONLY
