horizon,candidate,N,positive_N,zero_fraction,positive_fraction,positive_coverage,overall_coverage_DIAGNOSTIC,positive_pinball,positive_normalized_pinball,overall_pinball,positive_MAE,positive_WAPE,overall_MAE,overall_WAPE,under_GPUh,over_GPUh,positive_under_GPUh,positive_over_GPUh,mean_supported_day_coverage,supported_days,TRAIN_Q95_anchor_over_GPUh,gate_PASS,failure_reasons
H1,U0,1023,878,0.14173998044965788,0.8582600195503421,0.7300683371298405,0.7683284457478006,223.6671600006328,0.6153105245183104,194.78042674866956,404.893237060238,1.1138652186076254,375.6621338926903,1.2041224652208635,201037.67533333343,183264.6876388888,201037.6753333334,154458.5868055555,0.7248866421215139,11,428928.77833333344,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month
H1,U1,1023,878,0.14173998044965788,0.8582600195503421,0.6913439635535308,0.7350928641251222,230.0906629244794,0.6329816433061815,199.11087868779833,358.042523816247,0.9849784524854309,323.62620176922076,1.037329942856935,213229.33557078303,117840.26883912977,213229.33557078306,101132.00033988182,0.688187723199658,11,428928.77833333344,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month|development_skill
H1,U2,1023,878,0.14173998044965788,0.8582600195503421,0.8473804100227791,0.8690127077223851,196.36619728371616,0.5402053115350843,172.19549382838323,523.9361386482952,1.4413533944136843,486.2958156857634,1.5587403242973645,158009.91030222806,339470.7091443079,158009.91030222806,302006.0194309752,0.8474740539650285,11,428928.77833333344,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|development_skill
H4,U0,891,885,0.006734006734006734,0.9932659932659933,0.7728813559322034,0.7744107744107744,536.6319822473323,0.44288994764168954,533.408358361392,1227.7487989956055,1.013278409212842,1223.3817252774659,1.01651945047194,457829.4194722225,632203.6977499997,457829.4194722225,628728.2676388886,0.773063973063973,11,1627466.3002777703,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month
H4,U1,891,885,0.006734006734006734,0.9932659932659933,0.7028248587570621,0.7048260381593715,613.8889319315518,0.5066511984290688,610.036483802494,1025.4186272236293,0.8462924632631583,1021.3282920077432,0.8486313410539869,565677.6953126653,344325.8128662339,565677.6953126653,341817.78978024644,0.704287317620651,11,1627466.3002777703,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month|development_skill
H4,U2,891,885,0.006734006734006734,0.9932659932659933,0.8666666666666667,0.867564534231201,515.8228509672387,0.42571587794775534,512.9033356080008,1570.9265139953895,1.2965078201613627,1565.8882761988157,1.3011113842337798,396845.2832717678,998361.1708213767,396845.2832717678,993424.6816141519,0.867564534231201,11,1627466.3002777703,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|development_skill
H8,U0,715,715,0.0,1.0,0.7944055944055944,0.7944055944055944,888.1379214024868,0.3729186039263093,888.1379214024868,2188.9791555944053,0.9191264454050045,2188.9791555944053,0.9191264454050045,598133.2552222225,966986.8410277774,598133.2552222225,966986.8410277774,0.7944055944055944,11,2145850.5361111104,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month
H8,U1,715,715,0.0,1.0,0.6741258741258741,0.6741258741258741,1139.7689134513869,0.4785754799566512,1139.7689134513869,1740.0744132312507,0.7306366559434616,1740.0744132312507,0.7306366559434616,863149.315714634,381003.8897457101,863149.315714634,381003.8897457101,0.6741258741258741,11,2145850.5361111104,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month|development_skill
H8,U2,715,715,0.0,1.0,0.9062937062937063,0.9062937062937063,862.2906126549979,0.36206562483253896,862.2906126549979,4788.738426138854,2.0107346003466944,4788.738426138854,2.0107346003466944,342678.73822424427,3081269.2364650364,342678.73822424427,3081269.2364650364,0.9062937062937063,11,2145850.5361111104,False,over_GPUh_below_TRAIN_Q95_anchor|development_skill
H24,U0,11,11,0.0,1.0,0.7272727272727273,0.7272727272727273,2090.2572565656583,0.28496761945959037,2090.2572565656583,3650.6373535353555,0.4976963638707748,3650.6373535353555,0.4976963638707748,23721.410916666682,16435.59997222222,23721.410916666682,16435.59997222222,0.7272727272727273,11,47197.654222222176,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month
H24,U1,11,11,0.0,1.0,0.5454545454545454,0.5454545454545454,2226.0707672219505,0.30348326039355006,2226.0707672219505,4218.68684160524,0.5751393244642855,4218.68684160524,0.5751393244642855,24807.778642094618,21597.776615563027,24807.778642094618,21597.776615563027,0.5454545454545454,11,47197.654222222176,False,positive_coverage_lower|mean_day_coverage|supported_month_day_coverage|no_catastrophic_month|development_skill
H24,U2,11,11,0.0,1.0,1.0,1.0,1470.7587839884693,0.20051054871642823,1470.7587839884693,14707.5878398847,2.005105487164283,14707.5878398847,2.005105487164283,0.0,161783.4662387317,0.0,161783.4662387317,1.0,11,47197.654222222176,False,positive_coverage_upper|over_GPUh_below_TRAIN_Q95_anchor|development_skill
