phase,horizon,family,N,MAE,RMSE,WAPE,bias,error_sum_GPUh,positive_N,positive_MAE,positive_RMSE,positive_WAPE,positive_bias,positive_error_sum_GPUh,H24_daily_total_error
DEVELOPMENT,H1,B0,5394,382.3693450541754,1065.548967203258,1.5896646191673216,-21.86299211057555,-117928.97944444453,3626,461.6415942728442,1201.9775532402416,1.2901619549220673,-139.69023878470313,-506516.8058333335,False
DEVELOPMENT,H1,B1,5394,235.9025464507889,856.515477579619,0.9807426680900965,-214.50855142545217,-1157059.126388889,3626,343.7459980005516,1044.4507880984759,0.9606760185368257,-326.2808806382913,-1183094.4731944443,False
DEVELOPMENT,H1,B2,5394,233.63820102656823,858.5102147924738,0.9713288647791981,-221.89392356797032,-1196895.823725632,3626,344.7565829153979,1047.0610430388153,0.9635003268866975,-332.8848880369173,-1207040.6040218621,False
DEVELOPMENT,H4,B0,4698,1302.0963355565016,2350.411378507349,1.2955995989848597,-110.85546107090498,-520798.9561111116,3950,1332.3753189873416,2393.5992107539605,1.114649564315471,-348.1430457102674,-1375165.0305555563,False
DEVELOPMENT,H4,B1,4698,910.4296393855541,1966.6883231786912,0.9058871018078141,-786.3980740031219,-3694498.151666667,3950,1047.2736741209562,2141.831724917148,0.8761368722029568,-970.8773632208158,-3834965.5847222223,False
DEVELOPMENT,H4,B2,4698,887.5419717263502,1971.3651038179783,0.8831136308815712,-796.5206326317378,-3742053.9321039044,3950,1042.5912872921147,2149.2697758633167,0.872219642302082,-960.3773494861886,-3793490.530470445,False
DEVELOPMENT,H8,B0,3770,2055.644602269378,3186.5055033942654,1.033962133180649,-327.77165428824077,-1235699.1366666676,3281,1999.2026393545325,3161.849726872259,0.8751415390103573,-739.4378017372755,-2426095.427500001,False
DEVELOPMENT,H8,B1,3770,1648.5796647141174,2870.493422475665,0.8292138363626904,-1369.4149193560272,-5162694.245972223,3281,1805.2996336652104,3064.9707874550413,0.7902614115649099,-1662.4966424531815,-5454651.483888889,False
DEVELOPMENT,H8,B2,3770,1672.66638615311,2942.2440848466526,0.8413291396854996,-1360.4934168996942,-5129060.181711847,3281,1854.617126835312,3147.9870038653007,0.8118499119117033,-1630.6045913936034,-5350013.664362413,False
DEVELOPMENT,H24,B0,58,5274.02341954023,6670.486725817675,0.9297245095901299,-1898.4668582375477,-110111.07777777777,52,5449.1051282051285,6824.819472819787,0.861217334932318,-2550.980181623932,-132650.96944444446,True
DEVELOPMENT,H24,B1,58,3942.4560488505754,5297.7180838960185,0.6949908494941379,-3149.7263505747137,-182684.12833333338,52,4097.823036858976,5519.185204065147,0.6476506053371729,-3812.688100961539,-198259.78125000003,True
DEVELOPMENT,H24,B2,58,3758.729822693648,5176.084700652203,0.6626029054285643,-2946.8959832381424,-170919.96702781226,52,4005.8970652019125,5434.959717327764,0.633121937150579,-3473.4547952604694,-180619.6493535444,True
CAL_FIT,H1,B0,1395,634.7945384309041,3574.117902844933,1.3279373134184038,-217.68994942254062,-303677.4794444442,1101,791.1295612574429,4022.489926435574,1.306186276837738,-288.9938361590472,-318182.2136111109,False
CAL_FIT,H1,B1,1395,465.1643704699323,3408.3765403100338,0.9730851275857993,-450.2884122859418,-628152.3351388888,1101,588.1852869865779,3836.5468985543644,0.9711172325283992,-571.7208274043799,-629464.6309722222,False
CAL_FIT,H1,B2,1395,466.7596969154694,3408.6528561079062,0.9764224176629138,-458.43187320596724,-639512.4631223243,1101,590.5255590539255,3836.861041241989,0.9749811145119992,-581.7198908274589,-640473.5998010323,False
CAL_FIT,H4,B0,1215,2277.0957151348885,7760.568909171459,1.1164308327593646,-994.8356497485133,-1208725.3144444437,1207,2291.7839754211545,7786.243244095088,1.1162338964833032,-1001.83376139188,-1209213.3499999992,False
CAL_FIT,H4,B1,1215,1875.556753200731,7720.019074689574,0.9195614281586333,-1810.3066251714679,-2199522.5495833335,1207,1887.3530313909596,7745.556647147106,0.9192521855738858,-1822.9402616680472,-2200288.895833333,False
CAL_FIT,H4,B2,1215,1849.30880692629,7708.537887156651,0.9066923966451023,-1792.061103681261,-2177354.240972732,1207,1861.06429125701,7734.038998582384,0.906448019409855,-1804.4406311855532,-2177959.841840963,False
CAL_FIT,H8,B0,975,3689.8311965811954,10863.168404987306,0.9283047460270102,-2154.0025014244993,-2100152.438888887,975,3689.8311965811954,10863.168404987306,0.9283047460270102,-2154.0025014244993,-2100152.438888887,False
CAL_FIT,H8,B1,975,3500.7513606837592,11226.395840215473,0.8807351690761108,-3334.4982857549844,-3251135.82861111,975,3500.7513606837592,11226.395840215473,0.8807351690761108,-3334.4982857549844,-3251135.82861111,False
CAL_FIT,H8,B2,975,3421.85502087533,11132.474034258921,0.8608860641207988,-3252.379259751444,-3171069.778257658,975,3421.85502087533,11132.474034258921,0.8608860641207988,-3252.379259751444,-3171069.778257658,False
CAL_FIT,H24,B0,15,8914.123518518516,17491.677544132162,0.7964280611366528,-5222.709851851849,-78340.64777777773,15,8914.123518518516,17491.677544132162,0.7964280611366528,-5222.709851851849,-78340.64777777773,True
CAL_FIT,H24,B1,15,8794.286324074073,18671.66190934828,0.7857212648683298,-8621.55899074074,-129323.3848611111,15,8794.286324074073,18671.66190934828,0.7857212648683298,-8621.55899074074,-129323.3848611111,True
CAL_FIT,H24,B2,15,8859.169065260046,18657.029690304058,0.7915181820477504,-7678.524402840586,-115177.86604260879,15,8859.169065260046,18657.029690304058,0.7915181820477504,-7678.524402840586,-115177.86604260879,True
CAL_SELECT,H1,B0,1023,342.8509541653091,1161.0705680847982,1.098951687930265,-171.2348734658413,-175173.27555555565,878,387.61815173373833,1251.495149470521,1.0663412914771653,-211.36795494811452,-185581.06444444455,False
CAL_SELECT,H1,B1,1023,298.57696779624206,1164.72158519321,0.957038791201886,-288.6367709351581,-295275.41666666674,878,347.16977996076946,1257.21918459251,0.9550674287810651,-337.02117074791204,-295904.58791666676,False
CAL_SELECT,H1,B2,1023,302.6437414844185,1169.166093528106,0.970074157604562,-297.0797758934031,-303912.61073895136,878,351.98726638813685,1262.019004704235,0.9683203806246654,-346.7762318186182,-304469.53153674677,False
CAL_SELECT,H4,B0,891,1408.7935518767933,3751.9706931470546,1.1705798914540877,-279.3264300411521,-248879.84916666654,885,1417.5402664783437,3764.654948051435,1.1699159855724406,-282.0245966729439,-249591.76805555538,False
CAL_SELECT,H4,B1,891,1033.184496664173,2531.32872776623,0.8584827736796486,-1004.0920353223597,-894646.0034722225,885,1040.1213268989331,2539.894861540426,0.8584268087826276,-1010.9672493722538,-894706.0156944446,False
CAL_SELECT,H4,B2,891,1015.8730033662487,2504.120097146566,0.8440984901069449,-970.3781957414986,-864606.9724056753,885,1022.6378185736351,2512.5938420863104,0.8439974226428811,-977.0794903585717,-864715.3489673359,False
CAL_SELECT,H8,B0,715,2790.6239254079273,6250.570883701846,1.1717499650314644,-160.54120357420214,-114786.96055555454,715,2790.6239254079273,6250.570883701846,1.1717499650314644,-160.54120357420214,-114786.96055555454,False
CAL_SELECT,H8,B1,715,1878.016331973582,3841.311883869162,0.7885568353668042,-1804.6960662393167,-1290357.6873611114,715,1878.016331973582,3841.311883869162,0.7885568353668042,-1804.6960662393167,-1290357.6873611114,False
CAL_SELECT,H8,B2,715,1759.0681007455441,3738.60214302143,0.7386118805798083,-1639.7589107309816,-1172427.6211726519,715,1759.0681007455441,3738.60214302143,0.7386118805798083,-1639.7589107309816,-1172427.6211726519,False
CAL_SELECT,H24,B0,11,5971.249898989909,9444.864135796095,0.8140686336902204,2567.4722727272806,28242.195000000087,11,5971.249898989909,9444.864135796095,0.8140686336902204,2567.4722727272806,28242.195000000087,True
CAL_SELECT,H24,B1,11,4906.393699494951,7129.598722513528,0.6688953373011245,-4906.393699494951,-53970.33069444446,11,4906.393699494951,7129.598722513528,0.6688953373011245,-4906.393699494951,-53970.33069444446,True
CAL_SELECT,H24,B2,11,4406.218688537925,6815.739105383323,0.6007057966415291,-4079.0403667534047,-44869.44403428745,11,4406.218688537925,6815.739105383323,0.6007057966415291,-4079.0403667534047,-44869.44403428745,True
EXPOSED_EVALUATION,H1,B0,8184,500.55242940154267,1823.8673936900193,1.556263507903242,-25.849005579993438,-211548.2616666663,6343,593.3579175206268,2022.6691230720985,1.4298134989305011,-85.82690730814366,-544400.0730555552,False
EXPOSED_EVALUATION,H1,B1,8184,311.20771907583924,1405.68611053398,0.9675734011611604,-295.53591368999145,-2418665.91763889,6343,397.08082601993465,1596.6158623863907,0.9568449471141331,-385.7648133550548,-2446906.2111111125,False
EXPOSED_EVALUATION,H1,B2,8184,308.9504295965704,1406.2396460067246,0.9605552807066057,-300.02660313915834,-2455417.7200908717,6343,397.0332515619974,1597.31795781035,0.9567303070290272,-388.693477280418,-2465482.7263896912,False
EXPOSED_EVALUATION,H4,B0,7128,1686.6139427063856,3851.78210310414,1.275786957518858,-190.5301832756582,-1358099.1463888916,6403,1781.098476018187,4009.7111555570787,1.2102252636688193,-308.59125223419613,-1975909.7880555578,False
EXPOSED_EVALUATION,H4,B1,7128,1186.35330354081,3158.136643682734,0.8973802678508155,-1103.417455320957,-7865159.621527782,6403,1296.5699357506037,3330.8039325727414,0.8809965947906497,-1252.4673856872653,-8019548.67055556,False
EXPOSED_EVALUATION,H4,B2,7128,1121.3828740199285,3103.3894060322536,0.8482353956851473,-1005.0283553314903,-7163842.116802863,6403,1237.9905585282283,3273.8790011902447,0.841192932500738,-1129.1903321194231,-7230205.696560666,False
EXPOSED_EVALUATION,H8,B0,5720,3098.9900080128227,5610.250632846589,1.1366600190034326,-409.0458665015549,-2339742.356388894,5235,3219.7866970179375,5792.070529478226,1.080831932874637,-613.2534562241334,-3210381.8433333384,False
EXPOSED_EVALUATION,H8,B1,5720,2297.1387162733117,4754.858797238659,0.8425537772440406,-2107.8780177010503,-12057062.261250008,5235,2452.2059355300876,4965.355371399112,0.8231671009636687,-2360.9164557465792,-12359397.645833343,False
EXPOSED_EVALUATION,H8,B2,5720,2143.37569542196,4538.237964486642,0.7861559580348734,-1704.9467634889788,-9752295.48715696,5235,2296.0989611803398,4739.82029934382,0.7707644362225797,-1908.7538497022908,-9992326.403191492,False
EXPOSED_EVALUATION,H24,B0,88,6668.743352272734,9402.771508659349,0.8729098512738481,-1795.3286489898992,-157988.92111111112,83,6659.091934404291,9427.763072061778,0.8221211515676765,-2314.8639223560913,-192133.70555555559,True
EXPOSED_EVALUATION,H24,B1,88,5662.520879103539,8689.193893805252,0.7411996529644195,-5114.542874053034,-450079.772916667,83,5851.543833668008,8923.418285507896,0.7224225168193646,-5574.740627510044,-462703.47208333365,True
EXPOSED_EVALUATION,H24,B2,88,4988.862540301675,7983.954749213484,0.6530206709178971,-4193.693741260748,-369045.0492309458,83,5201.034092482438,8212.955739599121,0.6421115941293756,-4534.688230137963,-376379.1231014509,True
