phase,horizon,candidate,N,positive_N,zero_fraction,positive_fraction,positive_coverage,overall_coverage_DIAGNOSTIC,positive_pinball,positive_normalized_pinball,overall_pinball,positive_MAE,positive_WAPE,overall_MAE,overall_WAPE,under_GPUh,over_GPUh,positive_under_GPUh,positive_over_GPUh,mean_supported_day_coverage,supported_days,safe_actual_ratio_median,safe_actual_ratio_P90,safe_actual_ratio_P95,safe_actual_ratio_P99
DEVELOPMENT,H1,U0,5394,3626,0.3277715980719318,0.6722284019280682,0.7413127413127413,0.8261030774935113,237.12842429827785,0.6627090696672346,167.01332165368927,461.5618020316234,1.2899389574383089,386.3635519301281,1.6062701589012591,865581.6963611111,1218463.3027499996,865581.6963611112,808041.3978055553,0.7518193335440165,52,4.160257288778832,266.3743332340907,941.0952325006176,57357.777083333334
DEVELOPMENT,H1,U1,5394,3626,0.3277715980719318,0.6722284019280682,0.697738554881412,0.7968112717834631,246.26524138125353,0.6882439736615446,170.1273220998829,415.5541969561888,1.1613602885276317,325.1556580916892,1.351804092237547,927847.266790139,826042.3529564325,927847.266790139,578952.2513730016,0.7077559459481167,52,3.305656138306847,193.54581435465468,764.5866073138093,21321.748304943827
DEVELOPMENT,H4,U0,4698,3950,0.15921668795232014,0.8407833120476799,0.7521518987341772,0.7916134525329928,562.0097611877638,0.47017077434690485,493.912172499527,1346.1724613291137,1.1261920917706805,1345.6767814732036,1.3389626027130968,2110250.543083334,4211738.976277776,2110250.543083334,3207130.6791666653,0.7623153797357899,52,2.661336848788719,43.5589397856802,193.0390963144963,45009.07780429495
DEVELOPMENT,H4,U1,4698,3950,0.15921668795232014,0.8407833120476799,0.6749367088607595,0.7266922094508301,659.563574509862,0.5517831503547664,561.5167305950656,1198.3611176545603,1.002534855345025,1077.2288686573318,1.0718540956885994,2664904.347300505,2395916.87765164,2664904.3473005043,2068622.067435008,0.6875557866490427,52,2.023565404524989,29.862350790191325,105.21361496026711,5781.9823610679505
DEVELOPMENT,H8,U0,3770,3281,0.12970822281167108,0.870291777188329,0.7573910393172814,0.7888594164456233,760.677575198957,0.3329830257052941,700.6996721507517,2111.0357784720104,0.9240959689180867,2224.0994129899786,1.1186926820532164,2253940.3566388898,6130914.430333331,2253940.3566388898,4672368.032527776,0.7644970414201185,52,2.0140503905452936,16.319463978354467,34.57375092353157,364001.4499999989
DEVELOPMENT,H8,U1,3770,3281,0.12970822281167108,0.870291777188329,0.6248095092959464,0.673474801061008,1027.848600721091,0.4499358837356862,904.9480384149479,1888.897408596183,0.8268559437902943,1748.0904127821243,0.8792664306843014,3440780.024006865,3149520.832181744,3440780.0240068655,2756692.3735972103,0.6352548196220654,52,1.542363580611126,9.665613403395183,27.581433125004605,10482.528695567655
DEVELOPMENT,H24,U0,58,52,0.10344827586206896,0.896551724137931,0.6153846153846154,0.6551724137931034,1378.8634506944447,0.2179258939410109,1309.4673071360155,3427.4196137820513,0.5416950335932326,3805.3079947318,0.6708138792356451,67347.89680555556,153359.96688888886,67347.89680555555,110877.92311111111,0.6153846153846154,52,1.3270305069179977,2.9936429864812517,6.512534814968438,368243.9115401005
DEVELOPMENT,H24,U1,58,52,0.10344827586206896,0.896551724137931,0.6730769230769231,0.7068965517241379,1483.400416601942,0.2344476979918753,1397.2857138124239,3823.537193107257,0.6043004188739278,4101.403989996093,0.723010785106172,71568.03532392907,166313.39609584433,71568.03532392907,127255.89871764829,0.6730769230769231,52,1.288141769762695,3.730720176165067,12.05657428443539,197999.87517943836
CAL_FIT,H1,U0,1395,1101,0.210752688172043,0.789247311827957,0.7674841053587648,0.8164874551971326,456.59564116459785,0.7538575092620645,363.7943753663879,712.816852457362,1.176888889221389,596.8637144763042,1.2485891883029567,530288.3318333332,302336.549861111,530288.3318333332,254523.02272222214,0.7687382750155034,15,4.955659121171771,195.7280659234125,986.9662499999995,30264.782352941176
CAL_FIT,H1,U1,1395,1101,0.210752688172043,0.789247311827957,0.7556766575840145,0.807168458781362,459.1741952213623,0.7581148042589506,364.41848788702805,643.6625457548155,1.062712386632453,528.173820439352,1.1048956499623557,543354.4283138933,193448.0511990026,543354.4283138933,165318.0345621586,0.7558954620421762,15,3.7421429386904617,119.62782594601686,519.8844952306168,18718.84013205613
CAL_FIT,H1,U2,1395,1101,0.210752688172043,0.789247311827957,0.8728428701180745,0.899641577060932,428.5692118743933,0.7075847631527635,342.77304300139457,841.897346833843,1.390005903954106,709.7246637967352,1.484684896058856,473952.2554841261,516113.6505123195,473952.25548412604,452976.72337993514,0.8729276726613499,15,8.376312112546152,269.4916772784941,1166.4140757582102,42033.70085899309
CAL_FIT,H4,U0,1215,1207,0.006584362139917695,0.9934156378600824,0.8119304059652029,0.8131687242798354,1368.6591516362882,0.6666176891771647,1360.7934618930037,2270.16943480162,1.105706341026421,2266.68239469593,1.1113253152652227,1722452.6815555552,1031566.4279999996,1722452.6815555552,1017641.8262499997,0.8119961666384802,15,3.9131986064696576,62.949042100846334,119.34823663786732,2043.1000176176178
CAL_FIT,H4,U1,1215,1207,0.006584362139917695,0.9934156378600824,0.7332228666114333,0.7349794238683127,1406.0695464537127,0.6848387567925619,1397.5304919794642,2032.1553473639265,0.9897794495358428,2025.9650667674396,0.9933046958013221,1814805.9901785068,646741.5659439324,1814805.9901785066,638005.5140897525,0.7338068662269575,15,2.8895162907243876,29.443675330642304,73.66296721174545,963.4486601976515
CAL_FIT,H4,U2,1215,1207,0.006584362139917695,0.9934156378600824,0.8989229494614748,0.8995884773662551,1316.2585955432082,0.6410955293519038,1309.0060720392996,2686.4806681722876,1.3084744531866055,2682.933904160425,1.315408093279348,1580582.3852153216,1679182.3083395944,1580582.3852153216,1661999.7812686292,0.8984159197249,15,5.682969335745539,57.92825446950719,144.99009744851531,1894.8436049442041
