config,horizon,quantile,N,TRAIN_mean_normalizer,DEVELOPMENT_pinball,normalized_pinball,Q50_MAE
L0,H1,0.5,5394,150.3667486353458,116.81910051328411,0.7768945034289593,233.63820102656823
L0,H1,0.9,5394,150.3667486353458,170.1273220998829,1.1314158458826453,233.63820102656823
L0,H4,0.5,4698,608.6696370017166,443.7709858631751,0.7290834943717154,887.5419717263502
L0,H4,0.9,4698,608.6696370017166,561.5167305950656,0.9225311999479316,887.5419717263502
L0,H8,0.5,3770,1259.6978418547521,836.333193076555,0.6639157147758195,1672.66638615311
L0,H8,0.9,3770,1259.6978418547521,904.9480384149479,0.7183850034088506,1672.66638615311
L0,H24,0.5,58,3568.147925815036,1879.364911346824,0.5267059971785053,3758.729822693648
L0,H24,0.9,58,3568.147925815036,1397.2857138124239,0.3915997158366846,3758.729822693648
L1,H1,0.5,5394,150.3667486353458,116.70254595255523,0.7761193682226275,233.40509190511045
L1,H1,0.9,5394,150.3667486353458,173.2357077611072,1.1520878740367053,233.40509190511045
L1,H4,0.5,4698,608.6696370017166,446.1023807665257,0.7329138068460405,892.2047615330514
L1,H4,0.9,4698,608.6696370017166,597.4244538690189,0.9815249809599652,892.2047615330514
L1,H8,0.5,3770,1259.6978418547521,828.5755120927003,0.657757348280222,1657.1510241854005
L1,H8,0.9,3770,1259.6978418547521,1043.2627979887923,0.8281849530302556,1657.1510241854005
L1,H24,0.5,58,3568.147925815036,1885.002172761539,0.5282858816261007,3770.004345523078
L1,H24,0.9,58,3568.147925815036,1431.162141854626,0.40109383680546823,3770.004345523078
L2,H1,0.5,5394,150.3667486353458,116.65705457514866,0.7758168320713879,233.31410915029733
L2,H1,0.9,5394,150.3667486353458,174.2726415546816,1.1589839052602644,233.31410915029733
L2,H4,0.5,4698,608.6696370017166,443.3791654947255,0.7284397619680757,886.758330989451
L2,H4,0.9,4698,608.6696370017166,596.5957750068037,0.9801635217843487,886.758330989451
L2,H8,0.5,3770,1259.6978418547521,817.3371339371598,0.6488358610932683,1634.6742678743196
L2,H8,0.9,3770,1259.6978418547521,1039.5513887747181,0.8252386836228162,1634.6742678743196
L2,H24,0.5,58,3568.147925815036,2019.8918238231045,0.5660897097929932,4039.783647646209
L2,H24,0.9,58,3568.147925815036,1315.7530925840015,0.36874959220852854,4039.783647646209
