fold_id,train_start_utc,train_feature_end_utc,validation_start_utc,validation_feature_end_utc,validation_calendar_end_utc,maximum_horizon_steps,maximum_horizon_minutes
2024-09,2024-02-22 23:00:00+00:00,2024-08-31 19:55:00+00:00,2024-09-01 00:00:00+00:00,2024-09-30 19:55:00+00:00,2024-09-30 23:55:00+00:00,48,240
2024-10,2024-02-22 23:00:00+00:00,2024-09-30 19:55:00+00:00,2024-10-01 00:00:00+00:00,2024-10-31 19:55:00+00:00,2024-10-31 23:55:00+00:00,48,240
2024-11,2024-02-22 23:00:00+00:00,2024-10-31 19:55:00+00:00,2024-11-01 00:00:00+00:00,2024-11-30 19:55:00+00:00,2024-11-30 23:55:00+00:00,48,240
2024-12,2024-02-22 23:00:00+00:00,2024-11-30 19:55:00+00:00,2024-12-01 00:00:00+00:00,2024-12-31 19:55:00+00:00,2024-12-31 23:55:00+00:00,48,240
