fold_id,seed,model,selected_config,gate_selection,burst_threshold_GPU_h,Mean_WAPE,Mean_MAE_GPU_h,Mean_RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Q50_WAPE,Q50_pinball,Q90_pinball,CRPS,Burst_WAPE,Q50_coverage,Q90_coverage,negative_sample_count,NaN_inf_count,quantile_crossing_count,15min_GPU_h_WAPE,IT_power_WAPE,peak_power_error_kW,peak_timing_error_slots,max_work_conservation_error_GPU_h,mean_terminal_backlog_GPU_h,mean_deadline_shortfall_GPU_h,hidden_shedding_GPU_h
1,20260901,ML-B11_FASER_FLEX,F2,ANALOG_ONLY,4206.22475,0.8844830791990718,4324.825349417226,12097.060539791171,-3678.8942008350505,0.24761824862114662,0.8899513279092669,2175.781625,2906.4248898148153,4077.0142035579292,0.9364917191430524,0.5666666666666667,0.8333333333333334,0,0,0,1.2356220124678094,1.2369916953896207,5.684341886080802e-14,-1384,1.8189894035458565e-12,0.0,0.0,0.0
1,20260902,ML-B11_FASER_FLEX,F2,ANALOG_ONLY,4206.22475,0.883526042874859,4320.145763054742,12109.72289066572,-3688.1684249290192,0.24572154907351768,0.8890412014309564,2173.5565185185183,2883.181075925926,4083.525537157519,0.9381420160293479,0.5666666666666667,0.8,0,0,0,1.2338901133354776,1.2369996217297463,5.684341886080802e-14,-1000,1.8189894035458565e-12,0.0,0.0,0.0
1,20260903,ML-B11_FASER_FLEX,F2,ANALOG_ONLY,4206.22475,0.8851472205628877,4328.07277774387,12102.013154937142,-3677.8087227986643,0.24784024300900212,0.8898066387371825,2175.427884259259,2902.232924074074,4077.985214100759,0.9372250490792386,0.5666666666666667,0.8,0,0,0,1.2358260810977912,1.2386505695569612,0.0,-1384,1.8189894035458565e-12,0.0,0.0,0.0
2,20260901,ML-B11_FASER_FLEX,F4,MIXTURE,5502.999555555557,1.63125419021178,4434.862161512546,5823.081490034883,1746.6250329838138,1.6424527527619697,1.0219847932769763,1389.2260680589768,1459.7485259278133,2093.514757540185,0.6652147026783928,0.6451612903225806,0.9032258064516129,0,0,0,2.582607970227162,2.2870092621418707,5.684341886080802e-14,642,1.8189894035458565e-12,0.0,0.0,0.0
2,20260902,ML-B11_FASER_FLEX,F4,MIXTURE,5502.999555555557,1.6115350294217703,4381.25202486484,5784.266010631559,1696.138520139186,1.6238825396126864,1.0171423362900252,1382.6435166120457,1432.2848558341523,2098.345168582822,0.6644417498546286,0.6451612903225806,0.9032258064516129,0,0,0,2.5650757494570007,2.2665466525180915,5.684341886080802e-14,1410,1.8189894035458565e-12,0.0,0.0,0.0
2,20260903,ML-B11_FASER_FLEX,F4,MIXTURE,5502.999555555557,1.595370005239309,4337.304457087297,5653.502844790966,1875.2996115420783,1.6897825090886727,1.0220816346081512,1389.3577084734122,1375.03298483974,2078.1216970616456,0.6092326469050998,0.6451612903225806,0.9032258064516129,0,0,0,2.6296896099068623,2.260055372611243,0.0,-126,1.8189894035458565e-12,0.0,0.0,0.0
3,20260901,ML-B11_FASER_FLEX,F2,MIXTURE,5834.143722222226,0.9627331450789772,4041.8288552523863,5883.629409383368,57.540502675447996,1.013705713698929,0.8263162097003358,1734.5557889022396,1605.4643831195917,2820.2966555447533,0.7391359558488072,0.3548387096774194,0.7741935483870968,0,0,0,1.9740953920136217,1.846238525977156,5.684341886080802e-14,1293,1.8189894035458565e-12,0.0,4.009055064771285,0.0
3,20260902,ML-B11_FASER_FLEX,F2,MIXTURE,5834.143722222226,1.0036878371967601,4213.768356043182,5988.7114958626335,30.033028377532254,1.0071536408149924,0.8196881765600785,1720.6426003220006,1790.6090170583282,2822.837892360151,0.7717341551104547,0.3548387096774194,0.7741935483870968,0,0,0,1.9680035292240334,1.865063514084512,5.684341886080802e-14,-1203,1.8189894035458565e-12,0.0,2.806242631055635,0.0
3,20260903,ML-B11_FASER_FLEX,F2,MIXTURE,5834.143722222226,0.9744613858289981,4091.0673614023876,5872.960600526952,44.95123620135869,1.0107070453879028,0.8261234279081807,1734.1511123756848,1598.0775639852957,2809.630713048225,0.7482276262232495,0.3225806451612903,0.8064516129032258,0,0,0,1.9714728382005038,1.8508353245384375,0.0,-1266,1.8189894035458565e-12,0.0,6.3908293009545805,0.0
4,20260901,ML-B11_FASER_FLEX,F2,ANALOG_ONLY,6565.606944444444,1.5196153704046416,2861.879295283726,3769.222468471907,1232.0943901933945,1.6542238088841534,1.057194853350702,995.503244047619,1500.3144295634918,1606.4802182963435,0.7783206722984017,0.7142857142857143,0.9642857142857143,0,0,0,2.5933040794536932,2.5042000253795385,0.0,899,2.7284841053187847e-12,0.0,0.0,0.0
