fold_id,model,burst_threshold_GPU_h,Mean_WAPE,Mean_MAE_GPU_h,Mean_RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Q50_WAPE,Q50_pinball,Q90_pinball,CRPS,Burst_WAPE,Q50_coverage,Q90_coverage,negative_sample_count,NaN_inf_count,quantile_crossing_count
1,P0_DIRECT_LIGHTGBM,4206.22475,0.9319520431322739,4556.932648422636,12318.09786710112,-4269.376021121256,0.1268570302084326,0.9652749688318149,2359.9352845404533,3420.7961189575612,4281.489727301489,0.9512541439477343,0.2,0.4666666666666667,0,0,0
1,P1_FACTORIZED_LIGHTGBM,4206.22475,0.9528858296756378,4659.291837457673,12413.473918663312,-4384.593722646066,0.10329351048465102,0.9761270817059216,2386.4668790708843,3683.8503490042044,4429.872206492264,0.963320633009056,0.16666666666666666,0.43333333333333335,0,0,0
1,P2_ORDINARY_GP,4206.22475,3.3169094909657364,16218.573973445733,22111.187697647772,13702.578879486415,3.8023557441295166,0.9861288557727066,2410.919537940484,3209.032971297255,4172.360625951646,0.7065013793288368,0.03333333333333333,0.6,0,0,0
1,P3_SIGNATURE_GP_DIRECT,4206.22475,6.854774278353371,33517.54517497495,36273.49256098735,32385.2679439863,7.623208846027464,0.9610079522195556,2349.5031451106106,2713.0089033932895,4073.3007187416765,1.0788733136274198,0.23333333333333334,0.9333333333333333,0,0,0
1,P4_FACTORIZED_SIGNATURE_GP,4206.22475,1.4148448763689607,6918.116502979885,11322.923266408301,1569.0639765221088,1.3208940073387299,0.9662975979500302,2362.4354410937676,2690.954312955997,3833.0852747236163,0.6833868408162295,0.2,0.9,0,0,0
1,P5_HANDCRAFTED_ANALOG,4206.22475,0.9960323690874978,4870.2639315275965,11972.276212521954,-2201.799567107024,0.5497033282149939,0.9140098036647395,2234.6005601851857,2874.6616416666666,4010.3965636733483,0.8863060871113758,0.4666666666666667,0.8333333333333334,0,0,0
1,P6_SIGNATURE_ANALOG,4206.22475,1.0000475844631338,4889.896986866139,11883.91266878214,-2101.9544801658344,0.5701229481546852,0.8942062723513553,2186.1842499999993,2921.5871925925917,3992.1650475709584,0.8706493875917887,0.6,0.8333333333333334,0,0,0
1,P7_FASER_MIXTURE,4206.22475,1.0000475844631338,4889.896986866139,11883.91266878214,-2101.9544801658344,0.5701229481546852,0.8942062723513553,2186.1842499999993,2921.5871925925917,3992.1650475709584,0.8706493875917887,0.6,0.8333333333333334,0,0,0
2,P0_DIRECT_LIGHTGBM,5502.999555555557,1.0130454451024666,2754.148886994914,5887.50344548755,-1798.3992379769088,0.33850338842933475,0.9638035196862866,1310.137863932292,1863.828296784854,2312.050616918254,0.9315763664815385,0.5806451612903226,0.6774193548387096,0,0,0
2,P1_FACTORIZED_LIGHTGBM,5502.999555555557,0.9537851797540704,2593.0390427708967,5909.419147188206,-1740.576504805578,0.3597720485003979,0.9351758503728185,1271.2230926561763,1874.0193498514582,2273.193484101026,0.9460196680878062,0.5161290322580645,0.7741935483870968,0,0,0
2,P2_ORDINARY_GP,5502.999555555557,9.805392227959906,26657.747904342858,29545.913144923343,26623.356308156945,10.792742131216603,0.9654208463799866,1312.3363627927802,1608.8755310834133,2449.116776793563,0.5973628220876505,0.45161290322580644,0.967741935483871,0,0,0
2,P3_SIGNATURE_GP_DIRECT,5502.999555555557,8.336388213231265,22663.99244972283,27203.01042399954,22663.851712685475,9.33633644659827,0.957770038424924,1301.9363040807466,1516.1466490701648,2391.154385045238,0.6440446384564716,0.41935483870967744,0.8709677419354839,0,0,0
2,P4_FACTORIZED_SIGNATURE_GP,5502.999555555557,2.0977894557731314,5703.223406905349,6631.981731646385,3494.591283472629,2.2853988391598765,0.9598697731734234,1304.7905601008106,1332.6213151220581,2162.3400119099106,0.5465003135680802,0.41935483870967744,0.8709677419354839,0,0,0
2,P5_HANDCRAFTED_ANALOG,5502.999555555557,1.4298100827600368,3887.199599075591,6504.520187601644,457.46578483772987,1.1682674570748224,1.1072880076783713,1505.1822446236558,2073.368706541218,2552.961339132195,0.8896016224456793,0.6451612903225806,0.8709677419354839,0,0,0
2,P6_SIGNATURE_ANALOG,5502.999555555557,1.4206896755784748,3862.4041080051,6557.449296031647,411.92244093153226,1.1515154661723808,1.0335357104886913,1404.9277060931904,1927.1965528673832,2390.2841909913495,0.895360693941071,0.6451612903225806,0.8709677419354839,0,0,0
2,P7_FASER_MIXTURE,5502.999555555557,1.4206896755784748,3862.4041080051,6557.449296031647,411.92244093153226,1.1515154661723808,1.0335357104886913,1404.9277060931904,1927.1965528673832,2390.2841909913495,0.895360693941071,0.6451612903225806,0.8709677419354839,0,0,0
3,P0_DIRECT_LIGHTGBM,5834.143722222226,0.9475067761828723,3977.904207514258,6239.228054691761,-1491.3651014778686,0.6447680824632143,0.8887378531723926,1865.5877374059648,2175.1454531896197,3103.396252497925,0.8411698075952587,0.3225806451612903,0.7096774193548387,0,0,0
3,P1_FACTORIZED_LIGHTGBM,5834.143722222226,0.9065459371858151,3805.9389003677256,6615.870620224615,-3353.2271753192636,0.20128658083474824,0.9539388475491435,2002.4539405745913,2771.3803580195276,3516.7716280584405,0.9368345700530274,0.16129032258064516,0.41935483870967744,0,0,0
3,P2_ORDINARY_GP,5834.143722222226,8.264290501813374,34695.853143892055,37865.48699395592,34695.853143892055,9.264290501813374,0.9326058303842534,1957.672889466408,1634.8815425439773,3249.6005827714866,1.4715976436631402,0.16129032258064516,0.967741935483871,0,0,0
3,P3_SIGNATURE_GP_DIRECT,5834.143722222226,7.853486104164409,32971.17889041972,35625.978333455445,32971.17889041972,8.85348610416441,0.934769466540401,1962.2146709002798,1591.9026118423672,3267.9458550863706,1.9401784133854587,0.22580645161290322,0.967741935483871,0,0,0
3,P4_FACTORIZED_SIGNATURE_GP,5834.143722222226,0.9585813204574039,4024.398309058772,6278.66184485179,-1863.4859690192811,0.5561316987894945,0.9896574426103351,2077.43237511034,2580.1345703170364,3576.387330411617,0.8375655526909153,0.06451612903225806,0.45161290322580644,0,0,0
3,P5_HANDCRAFTED_ANALOG,5834.143722222226,1.0524350836087715,4418.423226574313,6492.094346117115,-113.62856361963433,0.9729345332664989,0.8905161722529387,1869.3206832437272,2540.760306003584,3055.3014841675417,0.7618004221225377,0.25806451612903225,0.8387096774193549,0,0,0
3,P6_SIGNATURE_ANALOG,5834.143722222226,0.8263890880993184,3469.4175421492596,6029.516977154953,-1921.236443879596,0.5423759712999884,0.8722460200414919,1830.969023297491,2169.366233870968,2865.0632260944617,0.8441561133231446,0.22580645161290322,0.6774193548387096,0,0,0
3,P7_FASER_MIXTURE,5834.143722222226,0.9585813204574039,4024.398309058772,6278.66184485179,-1863.4859690192811,0.5561316987894945,0.9896574426103351,2077.43237511034,2580.1345703170364,3576.387330411617,0.8375655526909153,0.06451612903225806,0.45161290322580644,0,0,0
4,P0_DIRECT_LIGHTGBM,6565.606944444444,1.6706519992766102,3146.3253527640745,4147.419870968623,1305.4802977551888,1.6931906350832093,0.9966409915628188,938.4829457947559,1187.509071710038,1584.3849444048908,0.8448594346034215,0.7142857142857143,0.9285714285714286,0,0,0
4,P1_FACTORIZED_LIGHTGBM,6565.606944444444,1.4613346276684542,2752.1196454415176,4311.0199693810055,722.2929389890081,1.383526815345167,0.9793261943986463,922.1785373005894,1205.7829901096882,1568.5419800774769,0.9063002176056795,0.6071428571428571,0.8928571428571429,0,0,0
4,P2_ORDINARY_GP,6565.606944444444,25.53150160500401,48083.269782542215,51340.54297345217,48083.269782542215,26.531501605004006,0.9776400656370481,920.5908009937648,2733.023410810097,2483.646361783394,2.865595106347556,0.5357142857142857,1.0,0,0,0
4,P3_SIGNATURE_GP_DIRECT,6565.606944444444,19.8214912728294,37329.6536611448,40334.57050964461,37329.6536611448,20.8214912728294,0.9728516515641659,916.0818103112153,2548.092880630528,2287.7613576363724,1.9308617463497577,0.4642857142857143,0.9642857142857143,0,0,0
4,P4_FACTORIZED_SIGNATURE_GP,6565.606944444444,3.650613721798415,6875.171197242872,7185.9799220007335,5394.462152055984,3.8643792262097043,0.9952856742998634,937.2067167933474,1928.2805842136409,1843.9719397924996,0.7746154488231309,0.4642857142857143,0.9285714285714286,0,0,0
4,P5_HANDCRAFTED_ANALOG,6565.606944444444,2.0401096260139084,3842.121903020465,4377.587799060666,2552.93414705549,2.3555700884693587,1.31759930430833,1240.712038690476,1422.8072619047618,2174.4652083344613,0.6744233483614961,0.7142857142857143,0.9642857142857143,0,0,0
4,P6_SIGNATURE_ANALOG,6565.606944444444,2.2592178449304137,4254.766633625333,4789.747817878481,2773.814917539566,2.472854494701154,1.3509752284792698,1272.1403422619046,1388.241339285714,2197.5056063610714,0.7747423992377737,0.8214285714285714,0.9642857142857143,0,0,0
4,P7_FASER_MIXTURE,6565.606944444444,2.2592178449304137,4254.766633625333,4789.747817878481,2773.814917539566,2.472854494701154,1.3509752284792698,1272.1403422619046,1388.241339285714,2197.5056063610714,0.7747423992377737,0.8214285714285714,0.9642857142857143,0,0,0
5,P0_DIRECT_LIGHTGBM,6214.02619444445,0.7178083775348431,2009.4781946764356,2761.537329072216,-154.28487655351194,0.944887694123562,0.7809032762479852,1093.0550233760293,479.383296155407,1527.1455024577874,0.5621501421940037,0.41935483870967744,0.8709677419354839,0,0,0
5,P1_FACTORIZED_LIGHTGBM,6214.02619444445,0.8292176021692926,2321.3642280459308,3107.474453856923,230.4150403578497,1.0823068629045387,0.7601754893677952,1064.041684257108,640.2647137716899,1569.6515240622934,0.4174931831321579,0.3870967741935484,0.9032258064516129,0,0,0
