date,R_ALL_GPU_h_requested,PI_F,KAPPA_DEFINED,KAPPA_F,H_F_GPU_h_actual,fold_id,F0_DIRECT_LGB,pred_R_ALL,pred_PI_F,pred_KAPPA_F,F1_FACTORIZED_LGB,F2_WEEKDAY_FACTORIZED,F3_ORDINARY_GP
2024-11-01,11222.833333333334,0.0278004663112404,True,0.0082122507122507,2.562222222222222,1,1320.6113559140297,22802.588010753014,0.19974001908483804,0.2847867090693051,1297.0865162642024,1481.540924249878,130.34784705796375
2024-11-02,62957.66666666666,0.7489821202607043,True,0.5267692733645548,24839.36611111111,1,1379.9771050052655,35197.73260267026,0.12089549048277605,0.23410060585088432,996.155935130187,3125.2718967672863,141.48472446497973
2024-11-03,4154.416666666667,0.2719395021362806,True,0.2786816158933884,314.8405555555556,1,1058.7837305845308,17462.535699032847,0.316542247783629,0.2675643637478092,1478.996884834222,504.43251473604016,121.36643527569058
2024-11-04,11074.166666666666,0.121197983294454,True,0.202767912579163,272.1483333333333,1,474.24224025855654,11858.66605152059,0.04801694662590751,0.07279994601937734,41.453522119623,451.29902148925214,117.7067018639735
2024-11-05,118104.83333333331,0.9222061191399168,True,0.5650638406615435,61545.05833333333,1,389.14011006494894,12311.925851286087,0.027963980324190667,0.08563132025389994,29.482045977686983,514.9712252002649,119.34720938918856
2024-11-06,11037.5,0.7237146092865232,True,0.7019299435264007,5607.016388888889,1,512.0204492401518,26989.577126346536,0.1582698177059252,0.17203402569778226,734.8666430773795,2238.9923883856263,117.9889439633224
2024-11-07,7533.0,0.4119208814549316,True,0.4056807927811795,1258.8275,1,351.5510090848505,25817.844176501818,0.032214079201983235,0.12954911861229226,107.74575284324929,1098.5960186529978,117.2830738311862
2024-11-08,15451.5,0.2853444649386791,True,0.0861985585040699,380.0494444444444,1,239.29774356722524,21431.152885926997,0.06824281794942892,0.3320289999175342,485.59980495218286,1481.540924249878,117.1674688550561
2024-11-09,26777.0,0.2672442768047204,True,0.1763262375007763,1261.7905555555556,1,289.70854915463235,16072.937789795213,0.07578150558857889,0.3320289999175342,404.4217558917033,3125.2718967672863,116.81905472308627
2024-11-10,5442.3,0.0823181375521378,True,0.2160875496031746,96.80722222222222,1,219.35183669237276,11166.472237075957,0.16690586077744296,0.2519131613184115,469.50306890196316,504.43251473604016,122.86965878572299
2024-11-11,11386.0,0.0892323906551905,True,0.6583196631671041,668.8527777777778,1,280.32645040301395,11383.487247226192,0.053489833819946306,0.07279994601937734,44.32794836655365,451.29902148925214,122.06405867682557
