date,jobs_1d,requested_GPU_1d,requested_GPU_h_1d,requested_nodes_1d,unique_accounts_1d,full_requested_GPU_h_1d,jobs_7d,requested_GPU_7d,requested_GPU_h_7d,requested_nodes_7d,unique_accounts_7d,full_requested_GPU_h_7d,jobs_28d,requested_GPU_28d,requested_GPU_h_28d,requested_nodes_28d,unique_accounts_28d,full_requested_GPU_h_28d,account_entropy_28d,full_share_7d,full_share_28d,dow_sin,dow_cos,month_sin,month_cos,holiday
2024-08-19,336.0,944.0,9349.416666666666,383.0,12.0,1736.0,3714.0,9560.0,155950.65000000002,4345.0,42.0,47020.066666666666,21271.0,74740.0,661949.3666666667,27492.0,62.0,344409.5333333334,2.7703767729676962,0.30150606404440544,0.5202958876864752,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-20,230.0,1548.0,15137.0,440.0,11.0,11448.0,3813.0,10503.0,158314.48333333334,4620.0,41.0,48988.066666666666,21341.0,75759.0,674507.7,27772.0,63.0,354521.5333333333,2.8060504193485225,0.30943515485896267,0.5256004243292306,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-21,425.0,2365.0,24811.333333333332,760.0,23.0,13256.0,3669.0,11879.0,173016.48333333334,4793.0,44.0,56394.06666666667,18897.0,66405.0,660411.3666666666,25520.0,64.0,334325.5333333334,2.8233378309000026,0.32594620801544055,0.5062383087389826,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-22,613.0,3633.0,25728.066666666666,1159.0,25.0,13921.066666666666,4025.0,14415.0,185258.31666666668,5584.0,42.0,66835.06666666667,17376.0,66646.0,661085.0,24474.0,64.0,332232.6,2.818260985749582,0.3607668895476487,0.5025565547546835,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-23,493.0,1598.0,19345.5,638.0,18.0,4394.666666666666,4211.0,14444.0,180687.48333333334,5726.0,42.0,64520.4,15674.0,60862.0,626995.8333333333,22058.0,65.0,296336.60000000003,2.871241454095571,0.35708284165413046,0.4726292971112249,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-24,341.0,693.0,9501.333333333332,344.0,17.0,3024.6666666666665,2904.0,11976.0,125040.48333333332,4298.0,41.0,54632.399999999994,15506.0,59957.0,604641.8333333333,21794.0,65.0,285682.6,2.865952041737234,0.4369176969218902,0.47248235939127603,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-25,296.0,1110.0,11519.666666666664,392.0,18.0,2059.666666666667,2734.0,11891.0,115392.31666666667,4116.0,41.0,49840.066666666666,15303.0,59423.0,578688.0499999999,21674.0,64.0,256694.26666666666,2.9196337856365853,0.43191841628970384,0.44357969145322196,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-26,256.0,735.0,8762.0,277.0,11.0,2168.0,2654.0,11682.0,114804.9,4010.0,41.0,50272.066666666666,15441.0,59745.0,579031.05,21811.0,65.0,254331.6,2.920470173149524,0.43789129790337056,0.4392365487135793,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-27,157.0,666.0,4242.0,183.0,8.0,2592.0,2581.0,10800.0,103909.9,3753.0,40.0,41416.066666666666,15358.0,59475.0,575155.3833333333,21745.0,64.0,250776.93333333332,2.910028694413087,0.39857671566103586,0.43601597168394174,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.0
2024-08-28,592.0,4023.0,50916.0,1317.0,23.0,7018.0,2748.0,12458.0,130014.56666666667,4310.0,42.0,35178.066666666666,15822.0,62986.0,624871.3833333333,22934.0,64.0,256594.93333333332,2.963724183666782,0.27057019508326885,0.4106363968286487,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0.0
