fold_id,seed,date,actual_GPU_h,mean_GPU_h,Q50_GPU_h,Q90_GPU_h,CRPS,alpha,selected_config
1,20260901,2024-11-01,2.562222222222222,1349.541687893338,1627.585,6214.026194444445,399.99753846266196,1.0,F2
1,20260901,2024-11-02,24839.36611111111,1123.2872275119357,1442.406111111111,5586.911194444444,22862.150956866208,1.0,F2
1,20260901,2024-11-03,314.8405555555556,1150.529979519314,1499.5052777777778,5586.911194444444,300.6375249701408,1.0,F2
1,20260901,2024-11-04,272.1483333333333,1081.309312879774,1343.4986111111111,5586.911194444444,279.2800767657159,1.0,F2
1,20260901,2024-11-05,61545.05833333333,1559.6661402045356,1499.5052777777778,6010.635916666667,58933.097308791555,1.0,F2
1,20260901,2024-11-06,5607.016388888889,1278.7766501193573,1606.5841666666665,5900.468694444444,3740.145159742635,1.0,F2
1,20260901,2024-11-07,1258.8275,1212.9341619873046,1606.5841666666665,5586.911194444444,638.8173935300609,1.0,F2
1,20260901,2024-11-08,380.0494444444444,1264.0017983669704,1606.5841666666665,5900.468694444444,291.1059894913104,1.0,F2
1,20260901,2024-11-09,1261.7905555555556,1197.928257514106,1627.585,6214.026194444445,646.000400692655,1.0,F2
1,20260901,2024-11-10,96.80722222222222,1139.2665801323783,1442.406111111111,5586.911194444444,250.56370206074598,1.0,F2
1,20260901,2024-11-11,668.8527777777778,984.3075924343533,1343.4986111111111,5357.841472222222,410.5717255759073,1.0,F2
1,20260901,2024-11-12,7713.995555555555,1157.6591917588976,1442.406111111111,5586.911194444444,5793.697800213164,1.0,F2
1,20260901,2024-11-13,2175.9825,1147.381592610677,1499.5052777777778,5586.911194444444,1160.4780455220075,1.0,F2
1,20260901,2024-11-14,2760.5847222222224,1325.5691319444445,1627.585,6214.026194444445,1416.9705082920857,1.0,F2
1,20260901,2024-11-15,526.8247222222222,1321.8388492160373,1648.0788888888887,6214.026194444445,314.22214634436716,1.0,F2
1,20260901,2024-11-16,1534.37,1356.5657524278427,1606.5841666666665,6214.026194444445,718.4222656498848,1.0,F2
1,20260901,2024-11-17,1444.986666666667,1084.7735212537978,1499.5052777777778,5357.841472222222,675.1711642508537,1.0,F2
1,20260901,2024-11-18,2208.7769444444443,1024.0314489067923,1343.4986111111111,5357.841472222222,1268.1596672203968,1.0,F2
1,20260901,2024-11-19,66.29583333333333,1202.9036877441406,1442.406111111111,5586.911194444444,247.1569084506566,1.0,F2
1,20260901,2024-11-20,2.431111111111111,1414.385519205729,1606.5841666666665,6214.026194444445,348.47907623433434,1.0,F2
1,20260901,2024-11-21,3559.4005555555555,1402.8649989149305,1627.585,6214.026194444445,1868.8223707656073,1.0,F2
1,20260901,2024-11-22,2161.778333333333,1309.8618975151908,1627.585,6214.026194444445,995.6083734694786,1.0,F2
1,20260901,2024-11-23,8080.208055555556,1208.8373474121095,1499.5052777777778,6214.026194444445,6046.749110656018,1.0,F2
1,20260901,2024-11-24,1132.566388888889,1224.7841199408635,1627.585,5586.911194444444,477.3624707801972,1.0,F2
1,20260901,2024-11-25,1913.0413888888888,1095.4287110731339,1322.2741666666666,5768.597861111111,1044.5291434627106,1.0,F2
1,20260901,2024-11-26,1357.1533333333334,1278.0972655571832,1442.406111111111,5768.597861111111,712.4478488399086,1.0,F2
1,20260901,2024-11-27,11230.86527777778,1230.3073690456813,1627.585,5586.911194444444,9116.848077379384,1.0,F2
1,20260901,2024-11-28,1709.450833333333,1312.8891360134548,1627.585,5586.911194444444,731.3665569390191,1.0,F2
1,20260901,2024-11-29,811.2977777777778,1174.7880745442708,1606.5841666666665,6214.026194444445,435.56362044745003,1.0,F2
1,20260901,2024-11-30,52.6,708.5864157443576,1442.406111111111,5357.841472222222,186.00317487077587,1.0,F2
1,20260902,2024-11-01,2.562222222222222,1286.7024734836154,1627.585,5586.911194444444,381.1695864352746,1.0,F2
1,20260902,2024-11-02,24839.36611111111,1143.5919510904948,1442.406111111111,6214.026194444445,22811.728336001102,1.0,F2
1,20260902,2024-11-03,314.8405555555556,1173.107853190104,1499.5052777777778,5586.911194444444,305.09824579960764,1.0,F2
1,20260902,2024-11-04,272.1483333333333,1037.634030626085,1343.4986111111111,5586.911194444444,264.5433404860231,1.0,F2
1,20260902,2024-11-05,61545.05833333333,1488.1525935194227,1499.5052777777778,6010.635916666667,59031.40548079079,1.0,F2
1,20260902,2024-11-06,5607.016388888889,1220.317890557183,1499.5052777777778,5586.911194444444,3813.8735337680428,1.0,F2
1,20260902,2024-11-07,1258.8275,1271.632892727322,1606.5841666666665,5586.911194444444,645.3403121596076,1.0,F2
1,20260902,2024-11-08,380.0494444444444,1196.1237023925783,1499.5052777777778,5586.911194444444,277.0238255030247,1.0,F2
1,20260902,2024-11-09,1261.7905555555556,1230.8861474609375,1606.5841666666665,6214.026194444445,658.0548807303442,1.0,F2
1,20260902,2024-11-10,96.80722222222222,1152.3076713731555,1442.406111111111,5586.911194444444,262.17763742001534,1.0,F2
1,20260902,2024-11-11,668.8527777777778,975.9465639919705,1322.2741666666666,5357.841472222222,417.17377085430746,1.0,F2
