model,seed,Mean_WAPE,MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Burst_WAPE,Q50_pinball,Q90_pinball,Q50_coverage,Q90_coverage,Power_WAPE,status,evidence_source,Q50_WAPE,CRPS,15min_GPU_h_WAPE,IT_power_WAPE
B1_PERSISTENCE_PROXY,deterministic,1.411533258849319,4679.854191248924,8967.067849368645,668.6924221253834,1.2016903850413747,0.8631208922671132,2189.414102722572,1734.5010230330015,0.5496688741721855,0.8609271523178808,2.0939103656160185,PRESERVED_SERIALIZED,V19_BASELINE_BLOCKED_CV_RESULTS.csv,,,,
B2_LIGHTGBM_TWEEDIE,deterministic,0.976108062962391,3236.227967657156,7051.552507484855,-1158.7189235485148,0.6505082783764421,0.8682298695981397,1475.7854415850668,1690.4083353315098,0.5165562913907285,0.8940397350993378,1.5703531589156716,PRESERVED_SERIALIZED,V19_BASELINE_BLOCKED_CV_RESULTS.csv,,,,
B3_LIGHTGBM_QUANTILE,deterministic,0.8902500584818535,2951.5708831701336,7099.139767685258,-2109.60481218328,0.3637029630124899,0.9206230064013148,1475.7854415850668,1690.4083353315098,0.5165562913907285,0.8940397350993378,1.3056066673863056,PRESERVED_SERIALIZED,V19_BASELINE_BLOCKED_CV_RESULTS.csv,,,,
P0_DIRECT_LIGHTGBM,,1.0561929282458133,,,,0.7496413660615506,0.8262019789643913,,1825.332447359496,0.4473732718894009,0.7306605222734255,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9190721219002596,2561.6934087160694,,
P1_FACTORIZED_LIGHTGBM,,1.020753835290654,,,,0.6260371636139006,0.8339936543775455,,2035.059552151314,0.36766513056835637,0.6845929339477725,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9209486926788649,2671.6061645583004,,
P2_ORDINARY_GP,,13.151666019105397,,,,14.046225250389488,2.129704634262771,,2251.2087308969417,0.2880030721966206,0.9070967741935483,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9522269454365535,2973.75183969954,,
P3_SIGNATURE_GP_DIRECT,,12.56927479500819,,,,13.52295135521641,2.212181390587293,,2107.14940009486,0.3201689708141321,0.9408141321044546,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9461926340635287,2927.554512050504,,
P4_FACTORIZED_SIGNATURE_GP,,1.895576061227899,,,,1.9915197231236443,0.6536257854351092,,1893.4216599132974,0.2812442396313364,0.8237788018433181,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9618867166861985,2657.081817842425,,
P5_HANDCRAFTED_ANALOG,,1.316602652344709,,,,1.2548206721974497,0.7629680307424526,,1991.8689740834611,0.5136098310291859,0.8885560675883257,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,1.0234033204478254,2716.3559871780462,,
P6_SIGNATURE_ANALOG,,1.306865994659304,,,,1.178029728914718,0.7946824271075317,,1884.4084105871304,0.561705069124424,0.8433947772657451,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,0.9973944423973033,2646.539269424766,,
P7_FASER_MIXTURE,,1.333304441130921,,,,1.1807808744126194,0.7933643149810858,,1966.5620778763446,0.529447004608295,0.7982334869431644,,REPRODUCED_V24M_SAME_FOLDS,V24M_PROBE_RESULTS.csv,1.020876726911072,2788.804090288197,,
ML-B11_FASER_FLEX,,1.1877478294617465,,,,1.1200518371982742,0.763990358554532,,1841.7091218161709,0.4992012288786482,0.8088428059395801,,REPRODUCED_V24M_5FOLD_3SEED,V24M_FASER_BLOCKED_CV_RESULTS.csv,0.9414334518461079,2454.95935288857,2.0775536216208503,1.8881341588356073
