time_utc,P_consumption_W,Q_raw_var,S_sum_VA,PF_magnitude,Q_abs_over_P_abs
2024-03-20 11:21:00.434000+00:00,35955.1783,11865.8763,37876.019,0.9492860984149364,0.3300185636960115
2024-03-20 11:31:00.432000+00:00,35868.1685,12006.5637,37839.894,0.9478929433576109,0.33474147697282064
2024-03-20 11:41:00.419000+00:00,36067.323,12019.721399999999,38031.587,0.9483517740135324,0.3332579298995936
2024-03-20 11:51:00.397000+00:00,36609.238,11834.6796,38484.429000000004,0.9512740334538936,0.32327030680070423
2024-03-20 12:01:00.386000+00:00,35355.7195,11752.4024,37279.096,0.9484060316269473,0.33240456045591155
2024-03-20 12:11:00.367000+00:00,36185.994,11778.6315,38065.034,0.950636061431076,0.3255024996687945
2024-03-20 12:20:59.356000+00:00,35774.2166,11830.508600000001,37699.149,0.9489396325630587,0.33069930593532554
2024-03-20 12:30:59.327000+00:00,35941.0004,11771.128,37832.984,0.9499911611518669,0.32751253078642745
2024-03-20 12:40:59.299000+00:00,35798.011,11944.8842,37755.152,0.948162279945264,0.33367452174926704
2024-03-20 12:50:59.287000+00:00,35980.786,12255.4867,38028.077999999994,0.9461636741146898,0.3406119782930812
2024-03-20 13:00:59.272000+00:00,36229.216,12342.5164,38287.5125,0.9462410492193768,0.3406785396625751
2024-03-20 13:10:59.265000+00:00,35499.208,12166.0667,37548.2895,0.9454280999937427,0.34271375012084776
2024-03-20 13:20:59.258000+00:00,35893.914,12096.5337,37890.723,0.9473008472284891,0.33700793120527345
2024-03-20 13:30:59.245000+00:00,34921.183,11890.367,36912.5756,0.9460511067669849,0.34049152916726794
2024-03-20 13:40:59.241000+00:00,35061.4004,12033.6505,37092.6106,0.9452394919865791,0.3432164820204957
2024-03-20 13:50:59.231000+00:00,35242.0883,12239.2003,37329.989,0.9440690780808964,0.3472893035115629
2024-03-20 14:00:59.203000+00:00,35509.3746,12440.142500000002,37649.687,0.9431519204927256,0.3503340354521479
2024-03-20 14:10:59.191000+00:00,35408.701,12004.2245,37411.371,0.9464689492400586,0.339019059185481
2024-03-20 14:20:59.169000+00:00,35126.9095,12009.2828,37145.948399999994,0.9456457840769522,0.34188270391393244
2024-03-20 14:30:59.162000+00:00,35172.6363,12130.5232,37229.3195,0.9447563579559922,0.3448852425088193
2024-03-20 14:40:59.143000+00:00,35035.716,12175.4222,37115.3433,0.9439685285088014,0.3475145819768604
2024-03-20 14:50:59.134000+00:00,35013.296,12205.1363,37103.6896,0.9436607619744642,0.348585757250617
2024-03-20 15:00:59.105000+00:00,34769.5086,11812.9568,36744.5947,0.9462482545766112,0.3397504674541187
2024-03-20 15:10:59.085000+00:00,34727.686,11564.433,36625.2457,0.9481898438158465,0.3330032700710321
2024-03-20 15:21:00.090000+00:00,34477.035,11630.3577,36408.820999999996,0.9469418139082286,0.33733636607672324
2024-03-20 15:31:00.183000+00:00,34807.219,11951.6213,36824.849,0.9452100944120638,0.34336616493262506
2024-03-20 15:41:01.173000+00:00,35043.091700000004,12282.1299,37156.367,0.9431248135750195,0.3504864811913841
2024-03-20 15:51:01.146000+00:00,35160.301699999996,12453.8312,37325.272,0.9419971996453234,0.35420148854979827
2024-03-20 16:01:01.147000+00:00,35492.8305,12580.311300000001,37679.949,0.9419553752580715,0.35444654942355197
2024-03-20 16:11:01.118000+00:00,35237.691699999996,12087.0419,37275.7576,0.9453246283584589,0.34301457663300916
2024-03-20 16:21:01.118000+00:00,35213.894,12187.853599999999,37287.162,0.9443972700309025,0.3461092260912695
2024-03-20 16:31:01.141000+00:00,35047.418,12186.1224,37128.8355,0.943940673819409,0.3477038565294596
2024-03-20 16:41:01.114000+00:00,35159.7875,12214.3236,37243.846999999994,0.9440428508902424,0.34739469344062446
2024-03-20 16:51:02.168000+00:00,35053.7286,12340.7827,37186.2357,0.9426533215890955,0.35205335332002313
2024-03-20 17:01:02.143000+00:00,35061.6586,12275.7713,37172.059,0.9432261635009243,0.35011952629074994
2024-03-20 17:11:02.169000+00:00,35263.013,12261.839800000002,37357.322,0.9439384600427193,0.34772524401133853
2024-03-20 17:21:02.170000+00:00,35274.445999999996,12517.9561,37452.677599999995,0.9418404306558845,0.35487321615199857
2024-03-20 17:31:02.165000+00:00,35310.126000000004,12641.5153,37528.396,0.9408908923259072,0.35801388247665833
2024-03-20 17:41:03.152000+00:00,35308.9865,12551.9041,37497.3347,0.9416399000753513,0.3554875215690487
2024-03-20 17:51:03.120000+00:00,35188.384,12528.733400000001,37376.207,0.9414648201193876,0.35604742178555293
2024-03-20 18:01:03.139000+00:00,35290.646,12555.835,37482.123,0.9415327408215378,0.35578365439952553
2024-03-20 18:11:03.356000+00:00,35357.171,12436.9747,37504.945999999996,0.9427335530625749,0.3517525398171703
2024-03-20 18:21:03.379000+00:00,35257.701,12420.5344,37405.0484,0.9425920432708222,0.3522786241791545
2024-03-20 18:31:03.375000+00:00,35142.4135,12272.6118,37247.2384,0.9434904441130325,0.3492250695872098
2024-03-20 18:41:03.362000+00:00,35003.04,12153.678100000001,37077.018,0.9440629772329588,0.3472177873693257
2024-03-20 18:51:03.359000+00:00,34969.844,12119.670600000001,37033.85800000001,0.9442668381997897,0.3465749118011508
2024-03-20 19:01:03.334000+00:00,34990.1465,12115.281500000001,37052.1856,0.9443477067112609,0.34624837881144627
2024-03-20 19:11:04.320000+00:00,34973.173,12260.1087,37083.9106,0.9430821192843669,0.3505575173290682
2024-03-20 19:21:03.289000+00:00,34927.1487,11999.5898,36955.585999999996,0.9451114832815802,0.3435605323259611
2024-03-20 19:31:03.266000+00:00,34903.22,11989.448400000001,36929.4504,0.9451323976378484,0.3435055103798446
2024-03-20 19:41:03.257000+00:00,34876.8785,11966.7031,36897.176,0.9452451997952364,0.34311279032611824
2024-03-20 19:51:03.273000+00:00,34914.238,12088.8035,36972.532699999996,0.944329085683654,0.3462427992843493
2024-03-20 20:01:03.251000+00:00,34978.984500000006,12041.913199999999,37018.617,0.944902520264331,0.34426137213903385
2024-03-20 20:11:03.245000+00:00,34932.253,12119.097099999999,36999.831,0.9441192582744499,0.3469314475650912
2024-03-20 20:21:03.221000+00:00,34906.044,11982.357,36929.744999999995,0.9452013275477533,0.34327456299545145
2024-03-20 20:31:03.220000+00:00,34887.3725,12006.8835,36919.949,0.9449463892813069,0.3441613007686377
2024-03-20 20:41:03.215000+00:00,34872.710999999996,12045.609400000001,36920.443499999994,0.9445366223729138,0.3454164891281324
2024-03-20 20:51:03.194000+00:00,34926.1185,11943.6775,36937.327000000005,0.9455507838994411,0.34196979260664195
2024-03-20 21:01:03.208000+00:00,35004.9457,12102.1041,37063.7467,0.9444524317343231,0.34572554986137294
2024-03-20 21:11:03.188000+00:00,34994.953,12264.432,37106.857,0.9430858830215666,0.3504628796043818
2024-03-20 21:21:03.170000+00:00,35125.6304,12304.9366,37243.625700000004,0.9431313342836006,0.35031219254644325
2024-03-20 21:31:03.131000+00:00,34912.992,12145.406599999998,36990.236000000004,0.9438434510123156,0.34787641803945074
2024-03-20 21:41:03.119000+00:00,34977.673,12189.8776,37066.409,0.9436488169112903,0.3485045331631981
2024-03-20 21:51:04.098000+00:00,35128.2805,12402.7945,37279.000400000004,0.9423074686305161,0.3530714946323661
2024-03-20 22:01:03.066000+00:00,35189.318,12379.105899999999,37328.7726,0.9426861787574554,0.35178589991428644
2024-03-20 22:11:04.082000+00:00,34969.875,12445.002,37143.566,0.9414786668571349,0.3558777948162526
2024-03-20 22:21:04.134000+00:00,35063.570999999996,12416.6584,37222.3845,0.9420022782258884,0.35411847812078245
2024-03-20 22:31:04.127000+00:00,35395.201,12571.328699999998,37586.9836,0.9416877229807822,0.3551704283301004
2024-03-20 22:41:04.116000+00:00,35260.1937,12492.162100000001,37433.3154,0.9419468546459554,0.35428512407746643
2024-03-20 22:51:04.095000+00:00,35201.447,12245.555199999999,37296.2857,0.9438325114503292,0.34787079065244103
2024-03-20 23:01:03.068000+00:00,35093.069,12130.0998,37155.583,0.9444897957865445,0.3456551434700681
2024-03-20 23:11:04.060000+00:00,34797.2394,12230.176,36909.774999999994,0.9427648746165481,0.35146972032499796
2024-03-20 23:21:04.033000+00:00,34729.927599999995,12025.6832,36778.493,0.9442999091887749,0.34626283528445945
2024-03-20 23:31:04.019000+00:00,34782.156,12005.9324,36821.312,0.9446202242874997,0.34517504895326206
2024-03-20 23:41:04.026000+00:00,34799.250400000004,12010.2725,36839.144,0.9446270087057399,0.3451302071725085
2024-03-20 23:51:04.032000+00:00,34873.138,12135.9892,36949.904800000004,0.9437950703461622,0.34800393357202325
2024-03-21 00:01:04.024000+00:00,34993.460999999996,12231.538799999998,37095.086200000005,0.9433449166644609,0.34953784079831374
2024-03-21 00:11:04.011000+00:00,34910.9586,12169.5916,36996.845499999996,0.9436198715914847,0.34858944262848174
2024-03-21 00:21:03.994000+00:00,34912.47,12080.280200000001,36969.2635,0.9443647693982327,0.3460161999423129
2024-03-21 00:31:03.979000+00:00,34935.676999999996,12065.996500000001,36986.75259999999,0.9445456695757606,0.34537749189746636
2024-03-21 00:41:03.967000+00:00,34927.5524,12116.8328,36995.8868,0.9440928552089742,0.34691330961971445
2024-03-21 00:51:03.948000+00:00,34890.7825,12094.2966,36953.701400000005,0.9441755812856136,0.3466329997041482
2024-03-21 01:01:03.960000+00:00,34981.2276,12137.714100000001,37053.478,0.9440740650580762,0.3469779345308054
2024-03-21 01:11:03.931000+00:00,34962.386,12136.5314,37035.141,0.9440327498685639,0.34713109683074833
2024-03-21 01:21:03.921000+00:00,35049.631,12208.4922,37141.576,0.9436764611173204,0.34832013495377456
2024-03-21 01:31:03.912000+00:00,35104.607,12273.8149,37214.9204,0.9432938891896703,0.349635445285002
2024-03-21 01:41:03.894000+00:00,34996.020000000004,12267.1316,37110.312000000005,0.9430268330807889,0.3505293344786064
2024-03-21 01:51:03.891000+00:00,35091.886,12274.544300000001,37203.1676,0.943249950576789,0.3497829754718798
2024-03-21 02:01:04.882000+00:00,35128.262,12389.1894,37275.3977,0.942398047170936,0.35268438273433506
2024-03-21 02:11:04.864000+00:00,35178.553,12430.3667,37336.423299999995,0.942204686221243,0.35335071058778345
2024-03-21 02:21:04.853000+00:00,35299.0287,12450.3174,37456.76760000001,0.9423938839826637,0.3527099146498611
2024-03-21 02:31:04.821000+00:00,35274.928,12450.550199999998,37434.0716,0.9423214331833462,0.35295749434272405
2024-03-21 02:41:04.801000+00:00,35269.9556,12430.487099999998,37422.944,0.9424687592723864,0.35243841078155475
