fold_id,seed,config,daily_WAPE,Q50_WAPE,daily_MAE_GPU_h,daily_RMSE_GPU_h,aggregate_mass_ratio,burst_WAPE,Q50_coverage,Q90_coverage,negative_prediction_count,quantile_crossing_count,epochs,mean_epoch_runtime_seconds,fold_runtime_seconds,peak_VRAM_bytes,execution_device
1,20260901,A,1.0210018462709465,1.0358306844661027,4992.356273349126,12217.76165651198,0.3971885735405243,0.9602223519132865,0.3,0.8,0,0,15,0.1039491066666668,1.559236600000002,99439616,NVIDIA GeForce RTX 4060 Laptop GPU
1,20260902,A,1.006811571242,1.0167616952733405,4922.9705921967825,12127.417702701041,0.42447730319290977,0.9529705064492251,0.3,0.8,0,0,15,0.10789979333333383,1.6184969000000073,98142208,NVIDIA GeForce RTX 4060 Laptop GPU
1,20260903,A,1.0031499344255073,1.014959924413108,4905.066417392095,12145.900978643162,0.40498055030025004,0.9556380190607148,0.3333333333333333,0.8,0,0,15,0.10683837999999994,1.6025756999999992,98142208,NVIDIA GeForce RTX 4060 Laptop GPU
2,20260901,A,1.657261884885958,1.5733010242574612,4505.568890348558,6734.225758128842,1.1212557084067825,0.8925026122426338,0.5161290322580645,0.8709677419354839,0,0,15,0.10662630000000016,1.5993945000000025,132270592,NVIDIA GeForce RTX 4060 Laptop GPU
2,20260902,A,1.5930240104953701,1.4756697994566246,4330.926505173406,6508.197443100466,1.0941757538664125,0.8838031808923204,0.5161290322580645,0.8387096774193549,0,0,15,0.10581454666666683,1.5872182000000024,130285056,NVIDIA GeForce RTX 4060 Laptop GPU
2,20260903,A,1.5590303041191549,1.4556088349274323,4238.508410415342,6455.59213267609,1.041708360502129,0.8892961205603003,0.5161290322580645,0.8387096774193549,0,0,15,0.10558844666666592,1.5838266999999888,130285056,NVIDIA GeForce RTX 4060 Laptop GPU
3,20260901,D,0.8795616697082391,0.9267496948016404,3692.651248197402,6085.865761143686,0.36968844466197454,0.8918050984782062,0.1935483870967742,0.8709677419354839,0,0,15,0.10387620666666635,1.5581430999999952,232937472,NVIDIA GeForce RTX 4060 Laptop GPU
3,20260902,D,0.8790021424961796,0.9266248213148526,3690.302193060998,6087.111671397491,0.3679220171768258,0.89232078687753,0.1935483870967742,0.8709677419354839,0,0,15,0.10397411333333413,1.559611700000012,232937472,NVIDIA GeForce RTX 4060 Laptop GPU
3,20260903,D,0.8757390173713139,0.9262352284731966,3676.602661259713,6081.117713077438,0.36657856415290974,0.892478791777477,0.1935483870967742,0.8709677419354839,0,0,15,0.10885014000000032,1.6327521000000047,232937472,NVIDIA GeForce RTX 4060 Laptop GPU
4,20260901,A,1.2189717998931309,0.9659829427784625,2295.6796891987324,3454.277213286507,1.2529554220137409,0.7323486110641139,0.5714285714285714,0.9285714285714286,0,0,15,0.10905516666666652,1.6358274999999978,195747840,NVIDIA GeForce RTX 4060 Laptop GPU
4,20260902,A,1.2355740835618139,0.9495037406391428,2326.9466351738997,3450.363838014287,1.2866502621420621,0.7369289591760358,0.5714285714285714,0.9285714285714286,0,0,15,0.10818455999999893,1.622768399999984,194819072,NVIDIA GeForce RTX 4060 Laptop GPU
4,20260903,A,1.2079927904311711,0.9518752540367558,2275.0030098600046,3442.2333656086034,1.2361490904711894,0.7487194748278856,0.5714285714285714,0.9285714285714286,0,0,15,0.10720708666666638,1.6081062999999958,194819072,NVIDIA GeForce RTX 4060 Laptop GPU
5,20260901,D,0.9752248427178792,1.0026006982582176,2730.106131938196,3932.1484519584383,0.3792461246385615,0.8364085859486174,0.2903225806451613,0.8387096774193549,0,0,15,0.10018445333333166,1.502766799999975,324469248,NVIDIA GeForce RTX 4060 Laptop GPU
5,20260902,D,0.9726610540173725,1.000005284401628,2722.928899626578,3925.5191810087863,0.3799749333988169,0.8370650181489597,0.2903225806451613,0.8387096774193549,0,0,15,0.1005314333333312,1.507971499999968,324387328,NVIDIA GeForce RTX 4060 Laptop GPU
5,20260903,D,0.9665849997392724,0.998532463540874,2705.9192088188665,3911.022027682391,0.38166527589009863,0.8398159624788314,0.2903225806451613,0.8064516129032258,0,0,15,0.09960845333333168,1.4941267999999752,324469248,NVIDIA GeForce RTX 4060 Laptop GPU
