day,case,status,reason,schedule_sha256,source_manifest_sha256,April_rows_used
2025-01-01,B0,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-01,B1,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-01,B2,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-01,B3,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-02,B0,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-02,B1,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-02,B2,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-02,B3,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-03,B0,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-03,B1,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-03,B2,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
2025-01-03,B3,NOT_MATERIALIZED,MISSING_REALIZED_TRAFFIC_AUTHORITY_2025-02-28,,80c4315aa6ac03ac49fb848f23069e8f1be5a999ed751a630f043ffc5d28ccd5,0
