day,rack_id,rack_owner_AIDC,slot,physical_frozen_capacity_gpu,physical_capacity_nodeh,residual_occupancy_gpu,authorized_flexible_capacity_nodeh,flexible_scheduled_occupancy_nodeh,realized_flexible_occupancy_nodeh,free_headroom_nodeh,rejected_service_nodeh,capacity_constraint_active,LP_dual_shadow_price,cohort_mix
2025-04-04,AIDC07_LP01,AIDC07,0,3.7011033117801917,0.23131895698626198,3.360355689956993,0.021296726363949914,0.0,0.0,0.021296726363949914,0.0,False,NOT_AVAILABLE_FIXED_REPLAY,
2025-04-04,AIDC07_LP02,AIDC07,0,3.899562807095289,0.24372267544345555,3.54054371448077,0.02243869328840742,0.0,0.0,0.02243869328840742,0.0,False,NOT_AVAILABLE_FIXED_REPLAY,
2025-04-04,AIDC07_LP03,AIDC07,0,4.393820725694464,0.274613795355904,3.989297037249318,0.02528273052782165,0.0,0.0,0.02528273052782165,0.0,False,NOT_AVAILABLE_FIXED_REPLAY,
2025-04-04,AIDC07_LP04,AIDC07,0,5.803265964418818,0.36270412277617614,5.26897958827546,0.03339289850895988,0.0,0.0,0.03339289850895988,0.0,False,NOT_AVAILABLE_FIXED_REPLAY,
2025-04-04,AIDC08_LP01,AIDC08,0,10.89769308468612,0.6811058177928825,9.894380642651146,0.06270702762718583,0.6811058177928825,0.06270702762718583,0.0,0.6183987901656967,True,NOT_AVAILABLE_FIXED_REPLAY,N01_R02
2025-04-04,AIDC08_LP02,AIDC08,0,11.482046043113908,0.7176278776946192,10.424934270415601,0.06606948579364413,0.7176278776946192,0.06606948579364413,0.0,0.6515583919009751,True,NOT_AVAILABLE_FIXED_REPLAY,N01_R02
2025-04-04,AIDC08_LP03,AIDC08,0,12.937361025655923,0.8085850641034952,11.746263498567437,0.07444359544303036,0.8085850641034952,0.0,0.07444359544303036,0.8085850641034952,False,NOT_AVAILABLE_FIXED_REPLAY,N08_R02
2025-04-04,AIDC08_LP04,AIDC08,0,17.087394228566524,1.0679621392854077,15.514217676588855,0.09832353449860431,1.0679621392854077,0.09832353449860431,0.0,0.9696386047868034,True,NOT_AVAILABLE_FIXED_REPLAY,N01_R02
2025-04-04,AIDC09_LP01,AIDC09,0,24.468405227880154,1.5292753267425097,22.215684839160122,0.140795024295002,1.5292753267425097,0.140795024295002,0.0,1.3884803024475076,True,NOT_AVAILABLE_FIXED_REPLAY,N01_R02
2025-04-04,AIDC09_LP02,AIDC09,0,25.7804430024633,1.6112776876539563,23.406927890178423,0.14834469451780485,0.0,0.0,0.14834469451780485,0.0,False,NOT_AVAILABLE_FIXED_REPLAY,
