day,slot,planned_flexible_service_nodeh,executed_flexible_service_nodeh,execution_retention,DA_B3_minus_B2_AIDC_shift_kw,Actual_B3_minus_B2_AIDC_shift_kw,critical_line_loading_pu,critical_rank
2025-04-04,0,11.122830826409784,0.842011974494383,0.07570122998680605,-94.9343393216746,-20.112389609015963,0.4483393819967398,78
2025-04-04,1,4.696629213483146,0.30155510374717015,0.06420670869257929,-150.24863971700836,-17.704363130459228,0.516843827595474,30
2025-04-04,2,5.697563301914061,0.5331566110848285,0.09357625055358627,-46.642265232363,2.9316716666183993,0.5022740854034746,49
2025-04-04,3,3.5025222113182366,0.6435888241520041,0.18375010501640132,32.015018089633145,5.054029238102146,0.5135869313589654,38
2025-04-04,4,0.684507307162693,0.12537647251934378,0.1831630885564008,6.07396797160834,0.9593463094627168,0.509148470695932,44
2025-04-04,5,6.345073284387403,0.6218863493368199,0.0980109009721014,19.364534762369374,-0.7226477255504733,0.5002478753974228,50
2025-04-04,6,1.102004060962335,0.1508804653957067,0.13691461832177731,-2.7190582047094836,-9.357590705427015,0.49156041446903664,55
2025-04-04,7,3.2843050554427977,0.6385921652199087,0.194437530753005,9.457119479051357,0.4878509768062713,0.48579575309702255,65
2025-04-04,8,0.41764245548310097,0.086861156412751,0.20797970913248223,-10.206052996811366,-9.786193082562704,0.4936525270364522,53
2025-04-04,9,5.730722465111201,0.941551796088091,0.16429896960117765,-7.182346841803735,-19.857135922773693,0.4831124415174874,68
2025-04-04,10,2.288047568699071,0.4589747348646722,0.20059667514938695,-9.579727706162089,-23.289492212174423,0.4809199671366773,70
2025-04-04,11,5.9833136991344515,0.900966244923395,0.15057981082518357,7.7033004682862725,-24.49676868243381,0.45038132650511464,77
2025-04-04,12,5.848832519939531,1.333159634341305,0.22793602480432934,26.330602970761277,-14.001244861701423,0.4885514261640449,59
2025-04-04,13,2.8251374328728796,0.6919474335199596,0.24492522928922394,18.970888847016965,0.16033692770247399,0.48361306773743745,66
2025-04-04,14,1.8032035638157675,0.3642522977222675,0.20200287146253834,5.132478452207863,-7.185129629049641,0.48810158883822075,61
2025-04-04,15,8.05205404694124,0.8234624741340465,0.10226738038933778,-121.15335445888985,-31.09683908454906,0.4943880785133198,52
2025-04-04,16,1.852622481288489,0.434933924515871,0.23476662348034164,-34.03028328228612,-34.99836530037095,0.47039090510247206,73
2025-04-04,17,3.5578113627489323,0.8376747164360606,0.23544663587471196,5.493839536624648,-19.050455761897922,0.5050352442804126,46
2025-04-04,18,2.3941313531820447,0.5582896113706353,0.23319088596730977,-3.4708514560725803,-18.304443850055065,0.4776741284522977,71
2025-04-04,19,3.2712131627868244,0.9321936050587486,0.28496877417324606,26.04137344798943,5.092031486914948,0.490493901193083,56
2025-04-04,20,1.6141791028280998,0.46768272017966894,0.28973409416605134,8.18053167644348,3.3446394775577346,0.4760916803454117,72
2025-04-04,21,1.0273676554882085,0.18446119854515297,0.17954740696746618,-6.687617406277354,-12.8160145594519,0.4449809273637938,80
2025-04-04,22,3.3661863662893863,1.1463286575867375,0.34054224361034363,30.061494556207208,10.225312377395596,0.5128989194373429,40
2025-04-04,23,2.1974526534772023,0.5909310413250024,0.26891639298345094,8.466561935442712,-4.65340519677153,0.4814294647059683,69
2025-04-04,24,2.229209233612595,0.8555810430310646,0.38380472776193086,8.624241443736423,-3.8293290921483845,0.533239055335958,11
2025-04-04,25,0.0,0.0,1.0,-15.114602360317576,-14.063402702621374,0.5465287135055287,3
2025-04-04,26,0.8587937159917063,0.26113295880149795,0.3040694801777285,0.2680913530797966,-4.302709603145502,0.5454926887591497,4
2025-04-04,27,1.3628228366735504,0.08947909884144356,0.06565717599790802,-7.322425065346522,-8.908184132872407,0.5524051713653942,2
2025-04-04,28,1.1339997678023137,0.18496246418160422,0.16310626283465704,-19.63658962917316,-25.828226132235898,0.5352146273414576,9
2025-04-04,29,0.2277974267146183,0.029919588325344304,0.131342960088953,-7.690024824969328,-1.2418464217073506,0.5308817703665368,13
2025-04-04,30,3.167592441409515,0.4556615737008718,0.14385107368740643,26.229481885953646,2.911032299070598,0.5306385731681782,14
2025-04-04,31,1.9541384295298303,0.15026217228464367,0.07689433359170826,16.22987238155679,0.277136174639395,0.5148264153939174,35
2025-04-04,32,2.715129644871878,0.21812668426445125,0.08033748394903782,18.891556989181993,-0.6426514656706672,0.5044838049456675,47
2025-04-04,33,0.8175032239565638,0.0648463471679207,0.07932243600713453,3.1455636862810934,-3.4655448209528004,0.5002283082626316,51
2025-04-04,34,0.26342714313801785,0.02568201598509276,0.0974919124854083,-16.60073779557854,-8.580660796240181,0.49308825629438474,54
2025-04-04,35,4.073336533198984,0.3379528472639687,0.08296708227016006,15.595561036237598,-9.848157827919579,0.4647122116584271,74
2025-04-04,36,2.108281595699569,0.22657065603254234,0.107466979977768,-28.748836953289754,-13.4278617608187,0.46359139312618547,75
2025-04-04,37,0.16665139619339725,0.019970113108689028,0.11983165796891324,-21.426354485939044,-12.784429788601585,0.4897330988059088,57
2025-04-04,38,1.1251256940552146,0.21543323948697773,0.19147481976925285,-3.945527216358016,-5.636635821261791,0.53659142230348,7
2025-04-04,39,1.301170153630808,0.20995961072107272,0.1613621478599073,-2.5752439930837454,-12.362963096156534,0.5310307786809157,12
2025-04-04,40,0.9613711813406867,0.17751816788912686,0.18465101860195945,-10.389982380847528,-17.2406217514349,0.4887400257886393,58
2025-04-04,41,1.164954485153052,0.22964587385941204,0.19712862329487585,2.367632175732524,-5.537787243613423,0.4455164407293186,79
2025-04-04,42,2.7312339264047902,0.7516298926169404,0.27519791891510903,23.60284229724016,5.587881516242533,0.4348986360017722,82
2025-04-04,43,2.454957104634655,0.7627766672826195,0.310708755701919,16.63424604155159,1.5198901235710878,0.4322956962847093,84
2025-04-04,44,1.0604642781039981,0.24226884032174673,0.22845544666049353,8.897623700780628,1.9782524737124163,0.43487409780378894,83
2025-04-04,45,2.0708836949048184,0.4523124040231924,0.21841516505058073,8.300346830730405,4.111638510728653,0.48813994616016154,60
2025-04-04,46,3.3327892668554373,0.5082812502089692,0.15250926761671438,18.543663038625823,-5.607059995589282,0.48716075323227936,63
2025-04-04,47,1.5484341496238103,0.6456744306063986,0.41698539828979114,10.546825877738968,4.317499384532596,0.48747494309641887,62
2025-04-04,48,1.0740614263585038,0.36458249414140803,0.33944287095151343,9.0221081545007,2.9833969792386483,0.3686116217934842,91
2025-04-04,49,3.41129522681568,1.2133428968483715,0.3556839312266101,29.08101062001424,10.198619000588053,0.3651909666140333,93
2025-04-04,50,1.307346625029917,0.6154634956938302,0.47077300228602037,6.543223405142385,1.3815824782862478,0.35693450501899043,95
2025-04-04,51,0.3202619970750901,0.15817684696955628,0.4938982720839944,1.8208285802366504,0.4323928063141125,0.3637355705415872,94
2025-04-04,52,5.199337105527097,2.1206244911744543,0.4078643965824313,44.84041385431988,16.83831670417152,0.35361437176151816,96
2025-04-04,53,0.0,0.0,1.0,-8.06320295491372,-4.832135027786364,0.41403772164099084,87
2025-04-04,54,2.229420255817784,0.9666057480981953,0.43356820930275,5.637596250758008,-6.253141011269406,0.43822762549677263,81
2025-04-04,55,1.2502599808759345,0.5556258405403492,0.44440824231699133,7.730780580561657,1.4868653132680265,0.42800961806501864,85
2025-04-04,56,7.603145971878326,0.9541625164976207,0.12549575136749594,-42.419937856558875,-31.345208699038892,0.3673188648226693,92
2025-04-04,57,3.885672444470198,1.4157348103106853,0.3643474406406681,27.077986149607682,5.789906253949425,0.4171293783858136,86
2025-04-04,58,2.7485627325647055,1.4697282249523798,0.534726097949005,21.15664324566984,9.922212364370523,0.39543609423210185,90
2025-04-04,59,1.6706667797994443,0.8867623882822168,0.5307835165003212,14.634217718145408,7.576036332009551,0.40035217452584904,89
2025-04-04,60,0.4112925280357586,0.19291845159715776,0.4690541122117955,2.083965311686029,0.1351810578970003,0.412004619600172,88
2025-04-04,61,0.43332079122706746,0.22111162505917636,0.5102723652678602,0.6346421180143125,-1.2633477949532335,0.5238830544214742,20
2025-04-04,62,2.424913776487826,1.0278710742043586,0.4238794319908137,16.437347833813874,5.261677456000541,0.4512292080658064,76
2025-04-04,63,1.6945065994406816,0.45661136318821627,0.2694656741608049,-10.6692367850589,-8.422307129487649,0.5570683154232804,1
2025-04-04,64,1.8439420246309615,0.5826926769855796,0.31600379469750256,12.038700798841376,0.9976998664400867,0.4834945533203924,67
2025-04-04,65,1.3478168988460175,0.5807869276305895,0.4309093676803217,8.329829726087326,1.6418251443924419,0.5282810476344418,16
2025-04-04,66,0.419664167026128,0.22785937044418858,0.5429564598256543,1.8353900510423955,0.18999211938114513,0.5107104032778338,41
2025-04-04,67,0.0,0.0,1.0,-2.3962148654897533,-2.3649181854560197,0.4870480902099007,64
2025-04-04,68,0.0,0.0,1.0,-8.374428726752853,-8.215164420388021,0.524830182634386,18
2025-04-04,69,0.34530103284528996,0.148861193502548,0.431105555277167,2.933949439469245,1.285146466303047,0.5104990176430325,42
2025-04-04,70,0.0,0.0,1.0,0.0,0.0,0.5349702014962104,10
2025-04-04,71,0.44201685277881586,0.13073336390067186,0.2957655643190838,3.685363531597204,0.9500051669625691,0.5404133902844528,5
2025-04-04,72,0.0,0.0,1.0,0.0,0.0,0.5262746285937074,17
2025-04-04,73,0.33369562335979874,0.0,0.0,2.730132139191994,0.0,0.5404097387161597,6
2025-04-04,74,0.9709272001000903,0.4381261043873961,0.4512450617741792,9.296265553397973,4.01181464577968,0.5291670249720765,15
2025-04-04,75,0.0,0.0,1.0,-0.0012056167296350395,0.0,0.5220992623918476,22
2025-04-04,76,0.0,0.0,1.0,-0.348176752197503,-0.14998266532546722,0.5354029552200932,8
2025-04-04,77,0.6966412488668725,0.24358831245713095,0.34966105273459114,6.149616985295097,2.0548732286083577,0.5162557914101469,31
2025-04-04,78,1.0794165527856823,0.3628581873389978,0.3361614071996199,9.882820212612955,3.323013697850172,0.5208043724666817,24
2025-04-04,79,0.0,0.0,1.0,0.0,0.0,0.5247927573591668,19
2025-04-04,80,0.1400184970288389,0.0,0.0,-0.3145336655871347,-1.4356491594206204,0.5178930948560191,28
2025-04-04,81,0.0,0.0,1.0,-0.001623762711915333,-0.001607785955059171,0.5134711073870923,39
2025-04-04,82,0.0,0.0,1.0,-0.0015713266780039703,-0.0015559219058900453,0.5207496834282493,25
2025-04-04,83,0.0,0.0,1.0,-0.008484845839461741,-0.008401978635049545,0.5203438940245054,26
2025-04-04,84,0.0,0.0,1.0,-3.52839184458054,-2.4751302681111724,0.5175684082810471,29
2025-04-04,85,3.636177244951948,1.45458577757999,0.4000315935091916,33.149744717655665,13.0250564000915,0.510001629168397,43
2025-04-04,86,0.0,0.0,1.0,-0.12727585178902245,-0.12608155314831038,0.5220185104446591,23
2025-04-04,87,1.266036057550542,0.472863865051226,0.3734995241494918,10.338555466088621,3.0438868795174585,0.5150908459084359,34
2025-04-04,88,0.0,0.0,1.0,-0.8053786154816294,-0.7071202640128149,0.5153277973882832,32
2025-04-04,89,0.0,0.0,1.0,-0.6755101615277681,-0.6691031594247647,0.5150959622651098,33
2025-04-04,90,0.5525359205016773,0.23048288479055212,0.41713647246912783,5.0126794770974925,2.107105358401043,0.514120929905162,37
2025-04-04,91,1.2692983290426059,0.48075379545027247,0.37875555686966894,11.146879066995666,4.364840054783315,0.5035012950491472,48
2025-04-04,92,0.01087357898551976,0.0,0.0,-1.07249211373977,0.0,0.518086844204944,27
2025-04-04,93,0.0,0.0,1.0,-0.5072011419538285,-0.374183908932082,0.5229839386453142,21
2025-04-04,94,1.4646562974947128,0.35459973274122125,0.24210439906465586,12.298999240147964,2.7408792113168374,0.5144557605463091,36
2025-04-04,95,0.8255668369098793,0.3110956071282437,0.3768266761933941,7.369779776959319,2.803583170990464,0.5067526426188066,45
