split,model,policy,cadence,variant,seed,stratum,value,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,0,88,24447.014166666664,0.48863636363636365,0.8522727272727273,0.04772727272727273,99.62936612871835,128.1271330993395,256.254266198679,422.0080388364615,2.5840125207188884,1.7842392859400675,63171.3907008587,0.8266666666666667,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,1,88,49650.393611111125,0.32954545454545453,0.8522727272727273,0.04772727272727273,257.53123090711836,243.01465519972828,486.02931039945656,1112.858837106396,1.9246962873475404,1.2886731572515158,95561.92824864962,0.8333333333333334,0.1875
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,2,88,53488.27000000008,0.4318181818181818,0.9431818181818182,0.04318181818181821,415.99302536263565,278.0461550269596,556.0923100539192,1780.3178675663014,3.5953457408737584,3.020211433086113,192308.8237312059,0.9375,0.4444444444444444
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,3,88,67247.63805555552,0.4318181818181818,0.9431818181818182,0.04318181818181821,550.4871707001846,356.3663694212348,712.7327388424696,2963.916764913311,1.6947206141598454,1.3456139428501417,113965.95846631005,0.9358974358974359,0.375
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,4,88,23495.575555555555,0.48863636363636365,0.9545454545454546,0.054545454545454564,139.31719853412653,119.04500167665032,238.09000335330063,564.7865285313758,3.922968540863312,3.152468373221814,92172.40375392148,0.9473684210526315,0.3333333333333333
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,5,88,26796.752222222218,0.42045454545454547,0.9318181818181818,0.031818181818181746,158.12073329851003,131.42248149611342,262.84496299222684,700.0429248807452,3.4713126490416184,2.7434467195361862,93019.90494223408,0.925,0.14285714285714285
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,6,88,30397.644722222227,0.5113636363636364,0.9318181818181818,0.031818181818181746,211.34064983126282,160.65023340191186,321.3004668038237,848.6567662542858,4.002200213172057,3.313803158900553,121657.46018720625,0.9230769230769231,0.3333333333333333
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,7,88,30590.83138888888,0.4431818181818182,0.9431818181818182,0.04318181818181821,180.91245972926936,155.98645186854012,311.97290373708023,797.3767259132004,4.145315057714517,3.3512106123843917,126808.63398436696,0.9333333333333333,0.5
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,8,88,45891.03916666664,0.5113636363636364,0.8977272727272727,0.002272727272727315,295.7900400436041,244.71491759750387,489.42983519500774,1536.4771706755691,1.7027451644404488,1.1996733959948396,78140.74503218886,0.88,0.1
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,9,88,87882.50722222216,0.4090909090909091,0.8863636363636364,0.013636363636363669,762.2704431474996,488.5045931064388,977.0091862128776,3489.1922400812396,0.9042604388676874,0.6771239405028746,79468.67454955932,0.8717948717948718,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,10,88,24617.18805555555,0.5,0.8977272727272727,0.002272727272727315,150.08010423729777,130.6555231914195,261.311046382839,685.4868849321532,2.4428090623490157,1.8350252224352883,60135.09007166105,0.881578947368421,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,11,88,20082.640555555554,0.48863636363636365,0.9431818181818182,0.04318181818181821,141.71046141586456,108.6125882982386,217.2251765964772,810.3094603044159,2.4360374742633493,1.9133939322491607,48922.06497549426,0.9333333333333333,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,12,88,21038.46277777778,0.4772727272727273,0.8863636363636364,0.013636363636363669,133.49673167211833,116.22089356864348,232.44178713728695,715.2222192009052,2.055390078206705,1.5082432167720872,43242.24765416552,0.863013698630137,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,13,88,34391.95583333332,0.48863636363636365,0.9431818181818182,0.04318181818181821,303.81753188513807,190.88850854244822,381.77701708489644,2278.547271258187,1.543415243526024,1.2664631452199386,53081.0688878404,0.9305555555555556,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,14,88,31460.753888888896,0.45454545454545453,0.9090909090909091,0.009090909090909038,264.5857732848057,174.24208174559573,348.48416349119145,1726.9646811994967,1.294576185263729,1.005200896973124,40728.34275499881,0.8873239436619719,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,15,88,24440.290555555483,0.4772727272727273,0.9318181818181818,0.031818181818181746,175.46951172611375,137.39961697756914,274.7992339551383,952.0798975252958,2.2423921986777406,1.7499505835396727,54804.71687519488,0.9117647058823529,0.0
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,hour,16,88,7836.948333333334,0.6136363636363636,0.9431818181818182,0.04318181818181821,73.7327998272454,44.809402089166994,89.61880417833399,439.7036720498797,3.5353943711183446,3.1097902614859265,27706.70302441196,0.9193548387096774,0.0
