family,seed,tag,policy,cadence,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage,N_days
LGBM,20260924,LGBM_weighted_c1_s20260924,weighted,1,1392,329015.0525,0.5380747126436781,0.8139367816091954,0.08606321839080466,161.10387108456047,114.77089779669039,229.54179559338078,829.4089687161985,1.0985330576738896,0.770279535398802,361433.91164356034,0.7247608926673751,0.0,58
HURDLE,20260924,HURDLE_weighted_c1_s20260924,weighted,1,1392,329015.0525,0.5416666666666666,0.8225574712643678,0.07744252873563218,157.25001909205386,115.34738590110052,230.69477180220105,829.745846621976,1.2428055974171728,0.8838199076605877,408901.748881505,0.7375132837407014,0.0,58
BURST_EXPERT,20260924,BURST_EXPERT_weighted_c1_s20260924,weighted,1,1392,329015.0525,0.5272988505747126,0.7945402298850575,0.10545977011494256,164.6855494122098,115.2597284880595,230.519456976119,831.5464288102323,0.9741095163764911,0.6734517468194584,320496.69367136084,0.696068012752391,0.012048192771084338,58
TFT,20260924,TFT_weighted_c1_s20260924,weighted,1,1392,329015.0525,0.5438218390804598,0.8520114942528736,0.04798850574712643,154.90291793364554,117.06874599411495,234.1374919882299,836.7458202087515,1.5253795604807814,1.1282063366090058,501872.83617401123,0.7810839532412327,0.0,58
TFT,20260925,TFT_weighted_c1_s20260925,weighted,1,1392,329015.0525,0.5416666666666666,0.8584770114942529,0.041522988505747094,151.01287674107806,116.85161071606828,233.70322143213656,836.3993116259194,1.5833961205239178,1.1639632175303178,520961.15772247314,0.7906482465462275,0.0,58
TFT,20260926,TFT_weighted_c1_s20260926,weighted,1,1392,329015.0525,0.5431034482758621,0.8577586206896551,0.042241379310344884,154.60659218317284,117.03242245103436,234.06484490206873,836.8160440928767,1.5064033215780628,1.1098740238051543,495629.36793518066,0.7895855472901169,0.0,58
DEEPAR,20260924,DEEPAR_weighted_c1_s20260924,weighted,1,1392,329015.0525,0.5007183908045977,0.8491379310344828,0.05086206896551726,150.37543445664036,114.98654464913585,229.9730892982717,833.027083810852,1.8324191805367473,1.385387074688073,602893.4928863049,0.7768331562167906,0.04819277108433735,58
DEEPAR,20260925,DEEPAR_weighted_c1_s20260925,weighted,1,1392,329015.0525,0.507183908045977,0.8570402298850575,0.042959770114942564,151.22379591593617,114.81050613312782,229.62101226625563,832.081818562294,1.9799141206933735,1.5217217765252933,651421.5483654216,0.7885228480340064,0.08433734939759036,58
DEEPAR,20260926,DEEPAR_weighted_c1_s20260926,weighted,1,1392,329015.0525,0.5014367816091954,0.8498563218390804,0.05014367816091958,152.73431684666352,114.92166668734629,229.84333337469258,832.5274289820553,1.9704638460136124,1.5196072555723696,648312.2657455206,0.7778958554729012,0.12048192771084337,58
