policy,cadence,tag,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage,N_days
fixed,28,LGBM_fixed_c28_s20260924,1392,329015.0525,0.5129310344827587,0.7938218390804598,0.10617816091954024,166.42047389830097,114.98569978189067,229.97139956378135,834.0285636201962,0.9097431591184495,0.6228621602332925,299319.1932588725,0.6950053134962806,0.0,58
rolling90,1,LGBM_rolling90_c1_s20260924,1392,329015.0525,0.5387931034482759,0.790948275862069,0.10905172413793107,162.65237086336782,115.38716529742554,230.77433059485108,829.9504233691146,0.9289211671061168,0.6241802414167974,305629.0465637803,0.6907545164718385,0.0,58
rolling90,7,LGBM_rolling90_c7_s20260924,1392,329015.0525,0.5402298850574713,0.7895114942528736,0.11048850574712643,164.57239969986384,115.45088121556002,230.90176243112003,828.4730117053884,0.870079931617179,0.5793464056615181,286269.39438022254,0.6886291179596175,0.0,58
rolling90,28,LGBM_rolling90_c28_s20260924,1392,329015.0525,0.5387931034482759,0.7787356321839081,0.12126436781609196,168.21974986373684,115.54863619422214,231.09727238844428,829.8889346977732,0.7982943219752352,0.5301706005987131,262650.8482551339,0.6726886291179596,0.0,58
rolling180,1,LGBM_rolling180_c1_s20260924,1392,329015.0525,0.5179597701149425,0.8017241379310345,0.09827586206896555,161.2095569398073,114.87943913301548,229.75887826603096,832.6916577784975,0.9687041673586598,0.653880670832354,318718.25248047826,0.7066950053134963,0.0,58
rolling180,7,LGBM_rolling180_c7_s20260924,1392,329015.0525,0.5158045977011494,0.805316091954023,0.09468390804597704,162.33287465927816,115.08018219169004,230.16036438338008,833.1001092039471,0.9182009136195541,0.613180285712892,302101.9218000856,0.7120085015940489,0.0,58
rolling180,28,LGBM_rolling180_c28_s20260924,1392,329015.0525,0.5129310344827587,0.7902298850574713,0.10977011494252875,165.8553048594733,114.92614387621298,229.85228775242595,833.4635945041741,0.8664921373042251,0.581545118078678,285088.95604598685,0.6896918172157279,0.0,58
expanding,1,LGBM_expanding_c1_s20260924,1392,329015.0525,0.5186781609195402,0.7923850574712644,0.1076149425287356,161.85578453645286,114.68630163631693,229.37260327263385,832.2132206283756,0.9597204362605082,0.6485293786798978,315762.469721574,0.6928799149840595,0.0,58
expanding,7,LGBM_expanding_c7_s20260924,1392,329015.0525,0.5165229885057471,0.7988505747126436,0.10114942528735638,163.6637699929022,114.85886567592642,229.71773135185285,832.918141715639,0.9252954130266406,0.6251960997607922,304436.11889496935,0.7024442082890542,0.0,58
expanding,28,LGBM_expanding_c28_s20260924,1392,329015.0525,0.5165229885057471,0.7938218390804598,0.10617816091954024,165.2831464551182,115.03914354323005,230.0782870864601,834.066809470104,0.8883901452913511,0.5988326320714138,292293.7302935165,0.6950053134962806,0.0,58
weighted,1,LGBM_weighted_c1_s20260924,1392,329015.0525,0.5380747126436781,0.8139367816091954,0.08606321839080466,161.10387108456047,114.77089779669039,229.54179559338078,829.4089687161985,1.0985330576738896,0.770279535398802,361433.91164356034,0.7247608926673751,0.0,58
weighted,7,LGBM_weighted_c7_s20260924,1392,329015.0525,0.5352011494252874,0.8103448275862069,0.08965517241379317,161.70072601459268,114.91745474116067,229.83490948232134,830.5857754906832,1.0539814665066314,0.7327082828386665,346775.7675367063,0.7194473963868225,0.0,58
weighted,28,LGBM_weighted_c28_s20260924,1392,329015.0525,0.5344827586206896,0.8204022988505747,0.07959770114942533,162.63876105998074,114.5803253475209,229.1606506950418,830.7643898037578,1.0654891062445033,0.7470338061562855,350561.9542292133,0.7343251859723698,0.0,58
