target_day,issue_time,label_matured_at,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error,original_role,original_eligible,split,eligible,reason
2024-12-01,2024-11-30 08:00:00+00:00,2024-12-03 22:00:29+00:00,1084,17150.74527777772,17150.745277777776,5.4569682106375694e-11,7.639755494892597e-11,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-02,2024-12-01 08:00:00+00:00,2024-12-04 01:23:49+00:00,575,3185.641944444445,3185.641944444445,9.094947017729282e-13,7.389644451905042e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-03,2024-12-02 08:00:00+00:00,2024-12-17 01:24:20+00:00,2419,28934.458055555493,28934.45805555556,6.548361852765083e-11,1.8189894035458565e-11,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-04,2024-12-03 08:00:00+00:00,2024-12-07 18:26:53+00:00,402,6708.306111111109,6708.306111111111,1.8189894035458565e-12,5.002220859751105e-12,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-05,2024-12-04 08:00:00+00:00,2024-12-07 05:19:43+00:00,1427,5842.867222222223,5842.867222222222,9.094947017729282e-13,3.410605131648481e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-06,2024-12-05 08:00:00+00:00,2024-12-07 23:05:55+00:00,427,2026.0122222222224,2026.012222222222,2.273736754432321e-13,5.684341886080803e-14,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-07,2024-12-06 08:00:00+00:00,2024-12-08 21:59:35+00:00,598,4397.783888888889,4397.783888888889,0.0,6.821210263296962e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-08,2024-12-07 08:00:00+00:00,2024-12-13 20:27:58+00:00,250,2411.001111111111,2411.001111111111,0.0,5.684341886080803e-14,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-09,2024-12-08 08:00:00+00:00,2024-12-13 20:50:12+00:00,185,1733.55,1733.5500000000002,2.273736754432321e-13,5.684341886080803e-14,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-10,2024-12-09 08:00:00+00:00,2024-12-13 22:35:39+00:00,4,164.60444444444445,164.60444444444445,0.0,2.8421709430404014e-14,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-11,2024-12-10 08:00:00+00:00,2024-12-11 14:00:00+00:00,0,0.0,0.0,0.0,0.0,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-12,2024-12-11 08:00:00+00:00,2024-12-12 14:00:00+00:00,0,0.0,0.0,0.0,0.0,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-13,2024-12-12 08:00:00+00:00,2024-12-13 14:00:00+00:00,509,40.80111111111102,40.80111111111111,9.237055564881302e-14,1.2789769243681806e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-14,2024-12-13 08:00:00+00:00,2024-12-15 20:43:49+00:00,1498,6433.959166666664,6433.959166666666,1.8189894035458565e-12,1.8189894035458565e-12,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-15,2024-12-14 08:00:00+00:00,2024-12-15 21:51:01+00:00,226,2526.3483333333334,2526.3483333333334,0.0,1.1368683772161605e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-12-16,2024-12-15 08:00:00+00:00,2024-12-18 23:18:22+00:00,217,1498.9597222222228,1498.9597222222224,4.547473508864641e-13,3.979039320256561e-13,EXPOSED_EVALUATION,True,EXPOSED_EVALUATION,True,eligible; issue-time features mature; labels before next-stage cutoff
