split,model,policy,cadence,variant,effect,metric,delta,CI95_low,CI95_high,block_days,draws,N_days
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,Q90_pinball,-19.675453306373782,-26.347419499798075,-12.28948462893644,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,Q90_coverage,-0.008049242424242209,-0.015624999999999781,-0.0004734848484848592,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,requirement_ratio,-1.0069680337565996,-1.2863016688622497,-0.7992105608342925,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,Q90_pinball,-19.675453306373782,-26.348687038433507,-11.718519146016854,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,Q90_coverage,-0.008049242424242209,-0.017518939393939784,0.0014204545454543666,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,vs_PR63_current,requirement_ratio,-1.0069680337565996,-1.3135187096668957,-0.7926078371580022,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,Q90_pinball,-2.9218775546829647,-9.578546694420766,3.179661087762898,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,Q90_coverage,0.07196969696969713,0.05871212121212098,0.08664772727272729,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,requirement_ratio,1.0213705046439405,0.8488321616318237,1.252066940485836,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,Q90_pinball,-2.9218775546829647,-9.763757284512852,3.9409824629570664,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,Q90_coverage,0.07196969696969713,0.0577651515151516,0.08617424242424254,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,calibration_vs_same_raw,requirement_ratio,1.0213705046439405,0.8106811943340412,1.3550739131241754,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,vs_PR63_current,Q90_pinball,-16.753575751690818,-28.128880957000344,-4.78357849230084,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,vs_PR63_current,Q90_coverage,-0.08001893939393934,-0.09611742424242442,-0.06532907196969638,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,vs_PR63_current,requirement_ratio,-2.0283385384005403,-2.514669326832121,-1.6752510935358258,1,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,vs_PR63_current,Q90_pinball,-16.753575751690818,-27.810515852249317,-5.377559833336315,7,2000,88
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,vs_PR63_current,Q90_coverage,-0.08001893939393934,-0.09753787878787835,-0.06297348484848442,7,2000,88
