split,model,policy,cadence,variant,seed,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,causal_calibrated,20260924,2112,672290.9750000001,0.5104166666666666,0.9185606060606061,0.018560606060606055,206.09110951845332,149.95377081912375,299.9075416382475,1374.8243727599763,2.275045978267411,1.7949759578615152,1529492.8788992267,0.8948012232415902,0.16666666666666666
EXPOSED_EVALUATION,BURST_EXPERT,weighted,1,raw,20260924,2112,672290.9750000001,0.5104166666666666,0.8465909090909091,0.05340909090909096,209.01298707313623,149.95377081912375,299.9075416382475,1374.8243727599763,1.2536754736234703,0.8849215729019453,842834.7064959097,0.8018348623853211,0.030303030303030304
EXPOSED_EVALUATION,CURRENT_LGBM,fixed,28,PR63_frozen_calibration,20260924,2112,672290.9750000001,0.4171401515151515,0.9266098484848485,0.026609848484848486,225.7665628248271,153.41622525380333,306.83245050760667,1381.3020687670287,3.2820140120240104,2.763057563404878,2206468.400107284,0.9051987767584098,0.3181818181818182
EXPOSED_EVALUATION,DEEPAR,weighted,1,causal_calibrated,20260924,2112,672290.9750000001,0.4815340909090909,0.9142992424242424,0.014299242424242409,207.85479693078048,150.40016199075018,300.80032398150036,1374.8788096078192,2.450988698708042,1.9588650247601165,1647777.5819684109,0.8892966360856269,0.23484848484848486
EXPOSED_EVALUATION,DEEPAR,weighted,1,causal_calibrated,20260925,2112,672290.9750000001,0.47679924242424243,0.921875,0.021874999999999978,211.2573259523061,149.59150551346144,299.1830110269229,1373.032798206807,2.598519197268004,2.1023315077672162,1746961.0046875242,0.8990825688073395,0.29545454545454547
EXPOSED_EVALUATION,DEEPAR,weighted,1,causal_calibrated,20260926,2112,672290.9750000001,0.4725378787878788,0.921875,0.021874999999999978,208.01547667826378,149.7156161277813,299.4312322555626,1373.4312247522835,2.5221472866421206,2.0234125288260865,1695616.858430236,0.8990825688073395,0.29545454545454547
EXPOSED_EVALUATION,DEEPAR,weighted,1,raw,20260924,2112,672290.9750000001,0.4815340909090909,0.8892045454545454,0.010795454545454608,206.97734722257673,150.40016199075018,300.80032398150036,1374.8788096078192,1.9401435929888238,1.4963479240926825,1304341.0277704597,0.8568807339449541,0.12878787878787878
EXPOSED_EVALUATION,DEEPAR,weighted,1,raw,20260925,2112,672290.9750000001,0.47679924242424243,0.8934659090909091,0.006534090909090962,208.95647865207795,149.59150551346144,299.1830110269229,1373.032798206807,2.1110126664557267,1.6563475254225621,1419214.7637688704,0.8623853211009175,0.23484848484848486
EXPOSED_EVALUATION,DEEPAR,weighted,1,raw,20260926,2112,672290.9750000001,0.4725378787878788,0.896780303030303,0.003219696969697039,204.59886807596732,149.7156161277813,299.4312322555626,1373.4312247522835,2.110803159629685,1.642469549252706,1419073.9142205217,0.8666666666666667,0.20454545454545456
EXPOSED_EVALUATION,HURDLE,weighted,1,causal_calibrated,20260924,2112,672290.9750000001,0.5274621212121212,0.9232954545454546,0.023295454545454564,203.29954156528652,149.4406241799628,298.8812483599256,1372.139309692905,2.1550313619277945,1.6781931011424007,1448808.135466015,0.9009174311926605,0.1893939393939394
