solve_id,variant,candidate_count,exact_best_candidate_id,exact_best_cheap_rank,recall_at_10,recall_at_20,recall_at_30,recall_at_50,recall_at_100,recall_at_200,absolute_regret_at_10,absolute_regret_at_20,absolute_regret_at_30,absolute_regret_at_50,absolute_regret_at_100,absolute_regret_at_200,cheap_screen_wallclock_seconds
B2/MESS01,S0,2160,MESS01:MOVE:STA01:STA11:20,191,False,False,False,False,False,True,3.4988664179280704e-05,3.4988664179280704e-05,3.4988664179280704e-05,3.4988664179280704e-05,1.671051214846564e-05,0.0,0.10729840002022684
B2/MESS01,S1,2160,MESS01:MOVE:STA01:STA11:20,51,False,False,False,False,True,True,3.4988664179280704e-05,3.4988664179280704e-05,1.671051214846564e-05,1.671051214846564e-05,0.0,0.0,0.687847999855876
B2/MESS01,S2,2160,MESS01:MOVE:STA01:STA11:20,51,False,False,False,False,True,True,3.4988664179280704e-05,3.4988664179280704e-05,1.671051214846564e-05,1.671051214846564e-05,0.0,0.0,0.8050631999503821
B2/MESS01,S3,2160,MESS01:MOVE:STA01:STA11:20,299,False,False,False,False,False,False,3.1251354938421905e-05,2.9486740446893478e-05,2.9486740446893478e-05,2.9486740446893478e-05,2.9486740446893478e-05,3.1625523422285085e-08,6.236729100113735
B2/MESS01,S4,2160,MESS01:MOVE:STA01:STA11:20,299,False,False,False,False,False,False,3.1251354938421905e-05,2.9486740446893478e-05,2.9486740446893478e-05,2.9486740446893478e-05,2.9486740446893478e-05,3.1625523422285085e-08,0.22260829992592335
B2/MESS02,S0,2157,MESS02:MOVE:STA12:STA02:42,1222,False,False,False,False,False,False,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003194691049703824,0.0002825932250254959,0.04598010005429387
B2/MESS02,S1,2157,MESS02:MOVE:STA12:STA02:42,1152,False,False,False,False,False,False,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003194691049703824,0.0002825932250254959,0.20978569984436035
B2/MESS02,S2,2157,MESS02:MOVE:STA12:STA02:42,1152,False,False,False,False,False,False,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003225688459123077,0.0003194691049703824,0.0002825932250254959,0.25451710005290806
B2/MESS02,S3,2157,MESS02:MOVE:STA12:STA02:42,970,False,False,False,False,False,False,0.0001063845539973074,0.0001063845539973074,0.0001063845539973074,0.0001063845539973074,0.0001063845539973074,0.0001063845539973074,0.2215545999351889
B2/MESS02,S4,2157,MESS02:MOVE:STA12:STA02:42,439,False,False,False,False,False,False,0.0004607474990167004,0.0003194691115618875,0.0003194691115618875,0.0002079190023857036,0.00011237658328466793,0.00010635371910089342,5.392551600001752
