solve_id,K,exact_best_candidate_id,exact_best_cheap_rank,recall_exact_best,best_candidate_id_in_topk,best_objective_in_topk,absolute_regret,relative_regret
B2/MESS04,30,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,50,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,100,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,200,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,400,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,800,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B2/MESS04,2208,MESS04:MOVE:STA06:IDC12:10,20,True,MESS04:MOVE:STA06:IDC12:10,0.4746102938390441,0.0,0.0
B3/MESS01,5,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:IDC05:17,0.5055896839548571,1.5340143860731459e-06,3.0341185533200566e-06
B3/MESS01,10,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:IDC05:17,0.5055896839548571,1.5340143860731459e-06,3.0341185533200566e-06
B3/MESS01,20,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:STA05:16,0.5055881602526029,1.031213181512669e-08,2.0396308371430107e-08
B3/MESS01,30,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:STA05:16,0.5055881602526029,1.031213181512669e-08,2.0396308371430107e-08
B3/MESS01,50,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:STA05:16,0.5055881602526029,1.031213181512669e-08,2.0396308371430107e-08
B3/MESS01,100,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:STA05:16,0.5055881602526029,1.031213181512669e-08,2.0396308371430107e-08
B3/MESS01,200,MESS01:MOVE:STA01:STA05:21,294,False,MESS01:MOVE:STA01:STA05:16,0.5055881602526029,1.031213181512669e-08,2.0396308371430107e-08
B3/MESS01,400,MESS01:MOVE:STA01:STA05:21,294,True,MESS01:MOVE:STA01:STA05:21,0.5055881499404711,0.0,0.0
B3/MESS01,800,MESS01:MOVE:STA01:STA05:21,294,True,MESS01:MOVE:STA01:STA05:21,0.5055881499404711,0.0,0.0
B3/MESS01,2208,MESS01:MOVE:STA01:STA05:21,294,True,MESS01:MOVE:STA01:STA05:21,0.5055881499404711,0.0,0.0
B3/MESS02,5,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,10,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,20,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,30,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,50,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,100,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,200,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,400,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,800,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS02,2208,MESS02:MOVE:STA12:STA02:05,1,True,MESS02:MOVE:STA12:STA02:05,0.4933012077241229,0.0,0.0
B3/MESS03,5,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:IDC10:00,0.4891058807131357,8.960333573260204e-05,0.0001832318061336224
B3/MESS03,10,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA12:06,0.4890588680835292,4.2590706126111044e-05,8.709465941404902e-05
B3/MESS03,20,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA09:00,0.4890587110288917,4.243365148859368e-05,8.677349497682486e-05
B3/MESS03,30,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA09:00,0.4890587110288917,4.243365148859368e-05,8.677349497682486e-05
B3/MESS03,50,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA09:00,0.4890587110288917,4.243365148859368e-05,8.677349497682486e-05
B3/MESS03,100,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA09:00,0.4890587110288917,4.243365148859368e-05,8.677349497682486e-05
B3/MESS03,200,MESS03:MOVE:STA08:STA02:06,282,False,MESS03:MOVE:STA08:STA09:00,0.4890587110288917,4.243365148859368e-05,8.677349497682486e-05
B3/MESS03,400,MESS03:MOVE:STA08:STA02:06,282,True,MESS03:MOVE:STA08:STA02:06,0.4890162773774031,0.0,0.0
B3/MESS03,800,MESS03:MOVE:STA08:STA02:06,282,True,MESS03:MOVE:STA08:STA02:06,0.4890162773774031,0.0,0.0
B3/MESS03,2208,MESS03:MOVE:STA08:STA02:06,282,True,MESS03:MOVE:STA08:STA02:06,0.4890162773774031,0.0,0.0
B3/MESS04,5,MESS04:MOVE:STA06:IDC01:01,37,False,MESS04:MOVE:STA06:IDC02:00,0.4890163239907595,3.450644077013232e-05,7.056794247079478e-05
B3/MESS04,10,MESS04:MOVE:STA06:IDC01:01,37,False,MESS04:MOVE:STA06:IDC08:05,0.4890162837651156,3.44662151262054e-05,7.048567838144997e-05
B3/MESS04,20,MESS04:MOVE:STA06:IDC01:01,37,False,MESS04:MOVE:STA06:IDC07:00,0.4890161846198626,3.436706987325344e-05,7.028291981376188e-05
B3/MESS04,30,MESS04:MOVE:STA06:IDC01:01,37,False,MESS04:MOVE:STA06:IDC07:00,0.4890161846198626,3.436706987325344e-05,7.028291981376188e-05
B3/MESS04,50,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
B3/MESS04,100,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
B3/MESS04,200,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
B3/MESS04,400,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
B3/MESS04,800,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
B3/MESS04,2208,MESS04:MOVE:STA06:IDC01:01,37,True,MESS04:MOVE:STA06:IDC01:01,0.4889818175499894,0.0,0.0
