case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds,solve_id,selected_K,cheap_rank_move,fallback_level
B2,MESS01,MESS01:MOVE:STA01:STA11:05,STA01,STA11,5,8,3,1918.2533264160156,2015.7947158813477,48.851958551194286,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927597061542,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5856.96470292035,2802.992484857983,760.0,True,1.1525884000584483,B2/MESS01,800,207.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:12,STA01,STA11,12,15,3,1918.0697021484375,2015.6110916137695,48.85430282243161,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927597299832,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5856.974573536085,2802.992484857983,760.0,True,1.1918185998219997,B2/MESS01,800,208.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:15,STA01,STA11,15,18,3,1914.4071350097656,2011.9485244750977,48.9012204888784,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927601993256,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5857.172121605335,2802.992484857983,760.0,True,1.209761100122705,B2/MESS01,800,209.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:08,STA01,STA11,8,11,3,1911.3717041015625,2008.9130935668945,48.94033098332635,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927605900441,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5857.336797371431,2802.9924848579826,760.0,True,1.236710499972105,B2/MESS01,800,210.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:13,STA01,STA11,13,16,3,1907.8228149414062,2005.3642044067383,48.98631818390285,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.505292761050192,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5827.537275741353,2860.3175517774416,760.0,True,1.276027899933979,B2/MESS01,800,211.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:03,STA01,STA11,3,6,3,1906.8127136230469,2004.354103088379,48.99945790829419,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927611810373,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5857.58575284498,2802.992484857983,760.0,True,1.2924613000359386,B2/MESS01,800,212.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:06,STA01,STA11,6,9,3,1894.3053588867188,1991.8467483520508,49.16409583875559,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927628275823,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5858.278965183765,2802.9924848579826,760.0,True,1.1800198000855744,B2/MESS01,800,213.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:09,STA01,STA11,9,12,3,1892.0613708496094,1989.6027603149414,49.194015682709356,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927631269463,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5858.404943474097,2802.9924848579826,760.0,True,1.2862658000085503,B2/MESS01,800,214.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA11:14,STA01,STA11,14,17,3,1889.2349548339844,1986.7763442993164,49.2318671224548,RL_43_28_01>RL_28_21_01>RL_21_44_01,False,0.5052927635057367,0.5052922710862636,line.l10::A,72,0.9831107890891956,1.05,5858.564317957236,2802.9924848579826,760.0,True,1.3337739000562578,B2/MESS01,800,215.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:20,STA01,STA10,20,24,3,2109.2791748046875,2206.8205642700195,37.9895041146272,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094308390851,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5809.075996819962,2791.567972451756,760.0,True,1.271262900205329,B2/MESS01,800,298.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:18,STA01,STA10,18,21,3,1803.1793823242188,1900.7207717895508,40.53960405343929,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.505309456339974,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5819.813259720223,2791.5679724517568,760.0,True,1.3405373999848962,B2/MESS01,800,259.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:19,STA01,STA10,19,22,3,1782.8186645507812,1880.3600540161133,40.76494553170776,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.505309458593444,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5820.762065944513,2791.5679724517563,760.0,True,1.105879400158301,B2/MESS01,800,273.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:12,STA01,STA10,12,15,3,1777.8471069335938,1875.3884963989258,40.821289112403704,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094591564933,0.5053090508429104,line.l10::A,74,0.95,1.05,5429.068805620451,13873.135754147823,760.0,True,2.2437941001262516,B2/MESS01,800,163.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:16,STA01,STA10,16,19,3,1769.7885131835938,1867.3299026489258,40.91375037828983,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094600813269,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5821.388612666962,2791.5679724517563,760.0,True,1.294652400072664,B2/MESS01,800,164.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:14,STA01,STA10,14,17,3,1759.7399597167969,1857.281349182129,41.031036324355206,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094612540759,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5821.882448229344,2791.5679724517568,760.0,True,1.3994499000255018,B2/MESS01,800,165.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:17,STA01,STA10,17,20,3,1751.0023193359375,1848.5437088012695,41.13485693028001,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094622924477,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5822.31958762271,2791.5679724517563,760.0,True,1.5487212999723852,B2/MESS01,800,166.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:06,STA01,STA10,6,9,3,1748.5166015625,1846.057991027832,41.1647086010655,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094625903571,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5822.445278868124,2791.5679724517568,760.0,True,1.115059900097549,B2/MESS01,800,167.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:11,STA01,STA10,11,14,3,1748.4744262695312,1846.0158157348633,41.16521579445133,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094625957051,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5822.447414419221,2791.5679724517563,760.0,True,1.2566065001301467,B2/MESS01,800,168.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:13,STA01,STA10,13,16,3,1747.6797485351562,1845.2211380004883,41.17479080570643,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094626915656,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5792.555604598399,2848.6556787973022,760.0,True,1.3858498998451978,B2/MESS01,800,169.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:15,STA01,STA10,15,18,3,1747.4577941894531,1844.9991836547852,41.1774670547405,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094627184385,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5822.498998673071,2791.5679724517568,760.0,True,1.534696200164035,B2/MESS01,800,170.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:10,STA01,STA10,10,13,3,1746.9073181152344,1844.4487075805664,41.18411107508982,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094627846026,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5822.526973495595,2791.5679724517568,760.0,True,1.273425699910149,B2/MESS01,800,171.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:01,STA01,STA10,1,4,3,1733.8727416992188,1831.4141311645508,41.343478123789716,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094643777764,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5823.197992648015,2791.5679724517563,760.0,True,1.395257700001821,B2/MESS01,800,172.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
