day,policy,job_uid,requested_GPU,migration_executed,interruption_seconds,interruption_GPUh,WAN_queue_seconds,restart_GPU_queue_seconds,migration_clock_shift_seconds,remaining_GPU_hours_at_H,source
2025-05-02,B3,8667251,1.0,True,5400.0,1.5,3600.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B3/ACTUAL_JOB_REPLAY.json
2025-05-02,B3,8680061,1.0,True,5400.0,1.5,3600.0,0.0,0.0,15.964444444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B3/ACTUAL_JOB_REPLAY.json
2025-05-02,B3,8683270,4.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-02/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8742679,2.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8742699,2.0,True,2700.0,1.5,900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8742769,4.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8745017,4.0,True,2700.0,3.0,0.0,0.0,0.0,170.01888888888888,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8749472,8.0,True,67500.0,150.0,65700.0,0.0,0.0,293.1644444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8750047,4.0,True,1800.0,2.0,0.0,0.0,0.0,172.01888888888888,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B1,8750087,4.0,True,71100.0,79.0,69300.0,0.0,0.0,439.03,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B1/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8742679,2.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8742699,2.0,True,2700.0,1.5,900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8742769,4.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8745017,4.0,True,2700.0,3.0,0.0,0.0,0.0,170.01888888888888,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8749472,8.0,True,67500.0,150.0,65700.0,0.0,0.0,293.1644444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8750047,4.0,True,1800.0,2.0,0.0,0.0,0.0,172.01888888888888,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-03,B3,8750087,4.0,True,71100.0,79.0,69300.0,0.0,0.0,439.03,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-03/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8667250,1.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8749472,8.0,True,55454.99999999999,123.23333333333332,51855.0,0.0,-1245.0,74.39777777777778,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8750042,4.0,True,57254.99999999999,63.61666666666666,55455.0,0.0,-1245.0,55.654444444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8750047,4.0,True,58154.99999999999,64.61666666666666,56355.0,0.0,-1245.0,56.72222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8750049,4.0,True,59054.99999999999,65.61666666666666,57255.0,0.0,-1245.0,57.72222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B1,8750070,4.0,True,59954.99999999999,66.61666666666666,58155.0,0.0,-1245.0,58.78888888888889,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B1/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8667250,1.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8749472,8.0,True,55454.99999999999,123.23333333333332,51855.0,0.0,-1245.0,74.39777777777778,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8750042,4.0,True,57254.99999999999,63.61666666666666,55455.0,0.0,-1245.0,55.654444444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8750047,4.0,True,58154.99999999999,64.61666666666666,56355.0,0.0,-1245.0,56.72222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8750049,4.0,True,59054.99999999999,65.61666666666666,57255.0,0.0,-1245.0,57.72222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-04,B3,8750070,4.0,True,59954.99999999999,66.61666666666666,58155.0,0.0,-1245.0,58.78888888888889,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-04/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8752790,4.0,True,2700.0,3.0,900.0,0.0,0.0,398.1177777777778,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8761593,4.0,True,3600.0,4.0,1800.0,0.0,0.0,0.2911111111111111,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765152,1.0,True,3600.0,1.0,1800.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765167,1.0,True,5400.0,1.5,3600.0,0.0,0.0,0.11972222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765182,1.0,True,6300.0,1.75,4500.0,0.0,0.0,0.23944444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765183,1.0,True,7200.0,2.0,5400.0,0.0,0.0,0.48944444444444446,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765184,1.0,True,8100.0,2.25,6300.0,0.0,0.0,0.7394444444444445,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765185,1.0,True,9000.0,2.5,7200.0,0.0,0.0,0.9894444444444445,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765186,1.0,True,9900.0,2.75,8100.0,0.0,0.0,1.2394444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765187,1.0,True,10800.0,3.0,9000.0,0.0,0.0,1.4894444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8765188,1.0,True,11700.0,3.25,9900.0,0.0,0.0,1.7394444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8766548,1.0,True,1800.0,0.5,0.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8768008,2.0,True,16200.0,9.0,14400.0,0.0,0.0,11.847777777777777,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8768009,2.0,True,17100.0,9.5,15300.0,0.0,0.0,12.449444444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8768010,2.0,True,18000.0,10.0,16200.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8768012,2.0,True,18900.0,10.5,17100.0,0.0,0.0,0.4255555555555556,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8768013,2.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
