role,model,threshold,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C0,0.1,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83,0.08433734939759036,0.14285714285714285,0.03208556149732621,0.12451935444120381,0.035201149425287355,49
DEVELOPMENT,C1,0.0025,1392,0.834051724137931,0.7545164718384697,0.0,157.12787537686302,1.597673479631255,329015.0525,525658.623778735,83,0.6024096385542169,0.08264462809917356,0.4239877769289534,0.14858796848064423,0.43462643678160917,605
DEVELOPMENT,C2,0.01,1392,0.8376436781609196,0.7598299681190224,0.1927710843373494,158.3623135867527,2.069073886153586,329015.0525,680756.4532792012,83,0.3493975903614458,0.11740890688259109,0.16653934300993126,0.14858796848064423,0.17744252873563218,247
CALIBRATION,C0,0.1,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38,0.13157894736842105,0.0847457627118644,0.09215017064846416,0.09430472164908874,0.09455128205128205,59
CALIBRATION,C1,0.0025,624,0.907051282051282,0.8842315369261478,0.02631578947368421,275.84430073743965,1.5412820757151464,248575.1924999999,383124.48866769194,38,0.8947368421052632,0.07906976744186046,0.6757679180887372,0.09623882324917754,0.6891025641025641,430
CALIBRATION,C2,0.01,624,0.9118589743589743,0.8902195608782435,0.42105263157894735,297.13825200689007,2.5128915800992697,248575.1924999999,624642.5082548049,38,0.6052631578947368,0.08778625954198473,0.40784982935153585,0.09623882324917754,0.4198717948717949,262
EXPOSED_EVALUATION,C0,0.1,2112,0.8603219696969697,0.8195718654434251,0.007575757575757576,203.0449639119903,1.2093333630859782,672290.9750000001,813023.9057691013,132,0.1590909090909091,0.1242603550295858,0.07474747474747474,0.09369281399805587,0.08001893939393939,169
EXPOSED_EVALUATION,C1,0.0025,2112,0.900094696969697,0.8709480122324159,0.07575757575757576,201.5463509998057,1.76646004508513,672290.9750000001,1187575.146008826,132,0.8712121212121212,0.0799721835883171,0.6681818181818182,0.08263523813193738,0.6808712121212122,1438
EXPOSED_EVALUATION,C2,0.01,2112,0.8977272727272727,0.8678899082568807,0.25757575757575757,229.13702580265584,2.8669384882416313,672290.9750000001,1927416.8715249926,132,0.4621212121212121,0.07644110275689223,0.37222222222222223,0.08263523813193738,0.3778409090909091,798
MAY_HISTORICAL,C0,0.1,744,0.8763440860215054,0.8560250391236307,0.07246376811594203,307.77869197265886,1.4079281955372558,351588.466388889,495011.3150546196,69,0.36231884057971014,0.14124293785310735,0.22518518518518518,0.15692526887763525,0.23790322580645162,177
MAY_HISTORICAL,C1,0.0025,744,0.918010752688172,0.9045383411580594,0.17391304347826086,307.62339356457176,2.174240350124072,351588.466388889,764437.8302609636,69,1.0,0.0965034965034965,0.957037037037037,0.14487547565754075,0.9610215053763441,715
MAY_HISTORICAL,C2,0.01,744,0.9314516129032258,0.92018779342723,0.463768115942029,328.46114734008114,3.1636304615559236,351588.466388889,1112295.9821996202,69,0.9420289855072463,0.11245674740484429,0.76,0.14487547565754075,0.7768817204301075,578
