role,window_hours,N_issues,mean_mature_fraction,median_mature_fraction,issues_without_observable_workload,issues_with_full_observable_workload
DEVELOPMENT,6,58,0.13793101906776428,0.0,45,0
DEVELOPMENT,12,58,0.1566092073917389,0.0,39,0
DEVELOPMENT,24,58,0.28663796186447144,0.2083333283662796,3,0
DEVELOPMENT,168,58,0.6351600885391235,0.6160714626312256,0,0
CALIBRATION,6,26,0.03846153989434242,0.0,22,0
CALIBRATION,12,26,0.028846153989434242,0.0,20,0
CALIBRATION,24,26,0.1458333432674408,0.125,0,0
CALIBRATION,168,26,0.603708803653717,0.5952380895614624,0,0
EXPOSED_EVALUATION,6,88,0.09848484396934509,0.0,71,0
EXPOSED_EVALUATION,12,88,0.1145833432674408,0.0,61,0
EXPOSED_EVALUATION,24,88,0.24621213972568512,0.1666666716337204,1,0
EXPOSED_EVALUATION,168,88,0.6710633635520935,0.6547619104385376,0,0
MAY_HISTORICAL,6,31,0.016129031777381897,0.0,28,0
MAY_HISTORICAL,12,31,0.016129031777381897,0.0,26,0
MAY_HISTORICAL,24,31,0.13306452333927155,0.125,0,0
MAY_HISTORICAL,168,31,0.542626678943634,0.5476190447807312,0,0
