role,model,overall_preferred,positive,detector_recall,burst_coverage,requirement_ratio,pinball_noninferior_point
EXPOSED_EVALUATION,C0,False,False,False,False,True,True
EXPOSED_EVALUATION,C1,True,True,True,False,True,True
EXPOSED_EVALUATION,C2,True,True,False,False,False,False
MAY_HISTORICAL,C0,False,True,False,False,True,True
MAY_HISTORICAL,C1,True,True,True,False,False,True
MAY_HISTORICAL,C2,False,True,True,False,False,False
