time,interval_index,validation_scope,B0_rho_max,B0_critical_element,B0_critical_phase,B0_critical_terminal,B1_rho_max,B1_critical_element,B1_critical_phase,B1_critical_terminal,B2_rho_max,B2_critical_element,B2_critical_phase,B2_critical_terminal,B3_rho_max,B3_critical_element,B3_critical_phase,B3_critical_terminal
2025-05-01T00:00:00,0,REALIZED_OPERATION_AC,0.6354234491627642,Line.tpx21459660c0,node1,t2,0.6354234491627642,Line.tpx21459660c0,node1,t2,0.6366558465775214,Line.tpx21459660c0,node1,t2,0.6414744455443565,Line.tpx21459660c0,node1,t2
2025-05-01T00:15:00,1,REALIZED_OPERATION_AC,0.6186398638346137,Line.tpx21459660c0,node1,t2,0.6224093352995196,Line.tpx21459660c0,node1,t2,0.6226905871810262,Line.tpx21459660c0,node1,t2,0.6248713936602078,Line.tpx21459660c0,node1,t2
2025-05-01T00:30:00,2,REALIZED_OPERATION_AC,0.6121691106233147,Line.tpx21459660c0,node1,t2,0.6116645728732563,Line.tpx21459660c0,node1,t2,0.6119364354026418,Line.tpx21459660c0,node1,t2,0.6166441170337742,Line.tpx21459660c0,node1,t2
2025-05-01T00:45:00,3,REALIZED_OPERATION_AC,0.6024597256778431,Line.tpx21459660c0,node1,t2,0.6019461444636418,Line.tpx21459660c0,node1,t2,0.6074053864920298,Line.tpx21459660c0,node1,t2,0.605916951995668,Line.tpx21459660c0,node1,t2
2025-05-01T01:00:00,4,REALIZED_OPERATION_AC,0.5955363997082445,Line.tpx21459660c0,node1,t2,0.5950124589988179,Line.tpx21459660c0,node1,t2,0.5960374312753329,Line.tpx21459660c0,node1,t2,0.5960822178265481,Line.tpx21459660c0,node1,t2
2025-05-01T01:15:00,5,REALIZED_OPERATION_AC,0.5840085231586026,Line.tpx21459660c0,node1,t2,0.5834456365371118,Line.tpx21459660c0,node1,t2,0.5845988784542944,Line.tpx21459660c0,node1,t2,0.5865175919699832,Line.tpx21459660c0,node1,t2
2025-05-01T01:30:00,6,REALIZED_OPERATION_AC,0.5705840133007587,Line.tpx21459660c0,node1,t2,0.570147570214202,Line.tpx21459660c0,node1,t2,0.5753265865960039,Line.tpx21459660c0,node1,t2,0.5738940271345656,Line.tpx21459660c0,node1,t2
2025-05-01T01:45:00,7,REALIZED_OPERATION_AC,0.5610583457186776,Line.tpx21459660c0,node1,t2,0.5606376698363578,Line.tpx21459660c0,node1,t2,0.5652149381190138,Line.tpx21459660c0,node1,t2,0.5643701651783573,Line.tpx21459660c0,node1,t2
2025-05-01T02:00:00,8,REALIZED_OPERATION_AC,0.5545941324607078,Line.tpx21459660c0,node1,t2,0.5541820544507327,Line.tpx21459660c0,node1,t2,0.5544607652834279,Line.tpx21459660c0,node1,t2,0.5582103729152851,Line.tpx21459660c0,node1,t2
2025-05-01T02:15:00,9,REALIZED_OPERATION_AC,0.5515483362356025,Line.tpx21459660c0,node1,t2,0.5511433231456432,Line.tpx21459660c0,node1,t2,0.5537380334750802,Line.tpx21459660c0,node1,t2,0.5591772928036236,Line.tpx21459660c0,node1,t2
2025-05-01T02:30:00,10,REALIZED_OPERATION_AC,0.545997533397855,Line.tpx21459660c0,node1,t2,0.5492333671443445,Line.tpx21459660c0,node1,t2,0.5464320353537133,Line.tpx21459660c0,node1,t2,0.5507736193627246,Line.tpx21459660c0,node1,t2
2025-05-01T02:45:00,11,REALIZED_OPERATION_AC,0.5440217758393389,Line.tpx21459660c0,node1,t2,0.5472768657427866,Line.tpx21459660c0,node1,t2,0.5443549432982034,Line.tpx21459660c0,node1,t2,0.5495655854092374,Line.tpx21459660c0,node1,t2
2025-05-01T03:00:00,12,REALIZED_OPERATION_AC,0.5424039738747551,Line.tpx21459660c0,node1,t2,0.545651615159198,Line.tpx21459660c0,node1,t2,0.542885685462288,Line.tpx21459660c0,node1,t2,0.5498769308239231,Line.tpx21459660c0,node1,t2
