policy,runtime_s,runtime_min,time_limit_s,time_limit_min,termination_status,time_limit_reached,feasible_incumbent_available,optimality_proven,mip_gap,best_bound,final_objective,solver_name,threads,source_file,runtime_scope,time_limit_scope,A1_runtime_s,M1_runtime_s,A2_runtime_s,M2_runtime_s,stage_mapping,recorded_component_sum_s
B0,NA,NA,NA,NA,NOT_OPTIMIZED_REFERENCE,NA,false,false,NA,NA,0.8543958835735742,NONE,NA,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/POLICY_FEASIBLE_SEED_AUDIT.json,End-to-end runtime not recorded,Final AIDC search component; not complete policy,NA,NA,NA,NA,NA,NA
B1,14400.259883899998,240.0043313983333,14400,240,SEARCH_PROCESS_TERMINATED_AT_ABSOLUTE_DEADLINE,true,true,false,NA,NA,0.8519624588247912,Gurobi,NA,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/ACCEPTED_AIDC_DEADLINE.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/DEADLINE_ENFORCEMENT.json,Measured search-process duration only,Final AIDC search component; not complete policy,NA,NA,NA,NA,NA,NA
B2,NA,NA,NA,NA,RESTORED_ACCEPTANCE_NO_SINGLE_RUNTIME_RECORD,NA,true,false,NA,NA,0.8362691225333346,Gurobi,NA,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/FINAL_AUTHORITY.json,End-to-end runtime not recorded,Final AIDC search component; not complete policy,NA,NA,NA,NA,NA,NA
B3,NA,NA,14400,240,SEARCH_PROCESS_TERMINATED_AT_ABSOLUTE_DEADLINE,true,true,false,NA,NA,0.831435696166192,Gurobi,NA,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/DEADLINE_ENFORCEMENT.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/DEADLINE_ENFORCEMENT.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3_M1/FINAL_AUTHORITY.json,End-to-end runtime not recorded,Final AIDC search component; not complete policy,14400.259883899998,12731.498449,14400,514.0382802999957,A1=reused B1 search process; A2=final raw A1 search; M2=MF,42045.79661319999
