section,metric,policy,scope,value,unit,source_file,verified
Case,actual_bus_count,ALL,CASE,4912,buses,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/AXES.json,true
Performance,rho_max,B0,PLANNING,0.8543958835735742,pu,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/POLICY_FEASIBLE_SEED_AUDIT.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B0/DA_INDEPENDENT_CLEAN_96/AC_VALIDATION.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,rho_max,B1,PLANNING,0.8519624588247912,pu,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/ACCEPTED_AIDC_DEADLINE.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/DA_INDEPENDENT_CLEAN_96/AC_VALIDATION.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B1/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,rho_max,B2,PLANNING,0.8362691225333346,pu,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/independent_clean_exact/AC_VALIDATION.json;independent_screening/IEEE8500_QSAFE_V2_LEGACY_SHELL_20260913/B2/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,rho_max,B3,PLANNING,0.831435696166192,pu,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/independent_clean_exact/AC_VALIDATION.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,reduction_vs_B0,B1,PLANNING,0.2848123212631916,percent,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/ACCEPTED_AIDC_DEADLINE.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/DA_INDEPENDENT_CLEAN_96/AC_VALIDATION.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B1/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,reduction_vs_B0,B2,PLANNING,2.1215880587372515,percent,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/independent_clean_exact/AC_VALIDATION.json;independent_screening/IEEE8500_QSAFE_V2_LEGACY_SHELL_20260913/B2/FINAL_ACTUAL/AC_SUMMARY.json,true
Performance,reduction_vs_B0,B3,PLANNING,2.6873007991739812,percent,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/independent_clean_exact/AC_VALIDATION.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/AC_SUMMARY.json,true
Runtime,runtime_min,B0,End-to-end runtime not recorded,NA,min,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/POLICY_FEASIBLE_SEED_AUDIT.json,false
Runtime,runtime_min,B1,Measured search-process duration only,240.0043313983333,min,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/ACCEPTED_AIDC_DEADLINE.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/DEADLINE_ENFORCEMENT.json,true
