model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
F1_LGBM,fixed,2,MAY_HISTORICAL,calibrated_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,2,MAY_HISTORICAL,raw_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,2,MAY_HISTORICAL,mean_forecast_requirement,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,2,MAY_HISTORICAL,burst_mean_miss_GPUh,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,2,MAY_HISTORICAL,calibrated_coverage,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,EXPOSED_EVALUATION,raw_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,EXPOSED_EVALUATION,mean_forecast_requirement,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,EXPOSED_EVALUATION,calibrated_coverage,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,MAY_HISTORICAL,calibrated_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,MAY_HISTORICAL,raw_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,MAY_HISTORICAL,mean_forecast_requirement,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,MAY_HISTORICAL,burst_mean_miss_GPUh,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,4,MAY_HISTORICAL,calibrated_coverage,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,EXPOSED_EVALUATION,calibrated_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,EXPOSED_EVALUATION,raw_Q90_pinball,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,EXPOSED_EVALUATION,mean_forecast_requirement,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,EXPOSED_EVALUATION,burst_mean_miss_GPUh,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,EXPOSED_EVALUATION,calibrated_coverage,0.0,0.0,0.0,88,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,MAY_HISTORICAL,calibrated_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,MAY_HISTORICAL,raw_Q90_pinball,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,MAY_HISTORICAL,mean_forecast_requirement,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,MAY_HISTORICAL,burst_mean_miss_GPUh,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F1_LGBM,fixed,8,MAY_HISTORICAL,calibrated_coverage,0.0,0.0,0.0,31,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,17.986893231150002,-15.62561457563877,54.30291759134982,88,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,EXPOSED_EVALUATION,raw_Q90_pinball,-71.1335721881481,-107.09419462532243,-35.682046830632444,88,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,EXPOSED_EVALUATION,mean_forecast_requirement,-497.53842527902674,-792.7757500831211,-179.39079368809405,88,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,432.7333201731503,92.21978329666533,775.92021814768,88,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,EXPOSED_EVALUATION,calibrated_coverage,-0.017115600448933788,-0.030818602693602693,-0.0033646651702207296,88,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,MAY_HISTORICAL,calibrated_Q90_pinball,-15.726769965373173,-69.16423925476018,29.840972852215458,31,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,MAY_HISTORICAL,raw_Q90_pinball,-249.97839323855865,-412.75107488868895,-94.09795734726929,31,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,MAY_HISTORICAL,mean_forecast_requirement,643.8815523092532,72.6047157450876,1098.0805419778492,31,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,MAY_HISTORICAL,burst_mean_miss_GPUh,-363.6074941499903,-732.3408575639345,155.2037662643599,31,7,1000,mean per-seed daily metric before resampling
F2_TFT,fixed,4,MAY_HISTORICAL,calibrated_coverage,0.024558608787999446,-0.006508031328819872,0.06399840700915964,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,-15.011035587537203,-59.33481595629954,26.75490063476069,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,raw_Q90_pinball,-15.714031151810472,-38.28677135801804,6.828638060029267,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,mean_forecast_requirement,-479.255494129231,-856.4720912567241,-89.17931735913531,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,156.76779527093387,-250.12994833176998,458.39833493429177,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,calibrated_coverage,-0.013468013468013467,-0.036295828656939776,0.01590207631874298,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,MAY_HISTORICAL,calibrated_Q90_pinball,79.34993353649594,-45.68234830134529,192.7156370456679,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,MAY_HISTORICAL,raw_Q90_pinball,72.69200080381562,38.6259028770949,110.8392970084443,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,MAY_HISTORICAL,mean_forecast_requirement,-1022.074976956809,-2034.1667966542136,81.36147770228308,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,MAY_HISTORICAL,burst_mean_miss_GPUh,896.3615108824396,561.9966323563673,1351.761376851303,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,expanding,4,MAY_HISTORICAL,calibrated_coverage,-0.051639453073144846,-0.06133346608257001,-0.039957520244258624,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,calibrated_Q90_pinball,9.227259007502843,3.7331509815118307,15.597793699957716,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,raw_Q90_pinball,0.4255340612020124,-3.8063409003920263,4.564152382450069,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,mean_forecast_requirement,21.069176634263798,-59.85576783056574,112.97067359235236,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,burst_mean_miss_GPUh,48.16940390382805,-50.529446805169684,132.09828676203435,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,calibrated_coverage,-0.0160475724991854,-0.028308284457478003,-0.0037003095470837543,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,MAY_HISTORICAL,calibrated_Q90_pinball,19.344448802200763,13.962495560930229,24.484318886041468,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,MAY_HISTORICAL,raw_Q90_pinball,-11.520784832775806,-26.844248535068047,1.6814585354057892,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,MAY_HISTORICAL,mean_forecast_requirement,251.81672440998295,51.89971878127942,488.7031430054228,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,MAY_HISTORICAL,burst_mean_miss_GPUh,-39.86430243607664,-264.8313035737725,176.9943446247246,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,1,MAY_HISTORICAL,calibrated_coverage,0.010290206960342272,-0.011449300497167263,0.033764018961729696,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,calibrated_Q90_pinball,13.90306055805032,-8.70392880980369,36.133955859978904,88,7,1000,mean per-seed daily metric before resampling
