model,seed,training_mode,horizon_hours,role,N_days,N_windows,N_positive,N_zero,Q50_MAE,Q50_WAPE,unrepaired_raw_Q90_pinball,unrepaired_raw_coverage,raw_crossing_fraction,raw_Q90_pinball,calibrated_Q90_pinball,raw_coverage,calibrated_coverage,positive_coverage,zero_coverage,burst_threshold,N_burst,burst_coverage,burst_mean_miss_GPUh,burst_P90_miss_GPUh,mean_underprediction_GPUh,P90_underprediction_GPUh,mean_overprediction_GPUh,P90_overprediction_GPUh,mean_forecast_requirement,mean_raw_requirement,actionable_coverage,cap_activation,physical_cap_activation,historical_cap_activation,physical_oracle_coverage,log_space_Q90_pinball,actual_secured_reserve,calibration_days_min
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,58,4698,3950,748,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508301,0.011068539804171988,561.5167305950656,490.4981324614409,0.7266922094508301,0.8103448275862069,0.7744303797468355,1.0,3005.643902777775,427,0.0702576112412178,3683.903942590377,8815.571454881578,410.5168773665073,976.0529296011155,1210.3294283158434,2957.6945286874375,1804.827014196108,947.7587225807723,0.8060876968922946,0.14772243507875693,0.14772243507875693,0.010004257130693913,0.9114516815666242,0.43542388111543506,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,EXPOSED_EVALUATION,88,7128,6403,725,1121.3828740199285,0.8482353956851473,711.1535529090195,0.7645903479236813,0.010381593714927048,710.5766620265784,628.0456745372352,0.7654320987654321,0.872334455667789,0.8578791191628924,1.0,3005.643902777775,677,0.0620384047267356,5457.740907468156,16397.93430427819,541.9442341735654,749.8377592212853,1402.958637810263,3051.394405119246,2183.032890160891,1161.4659142135845,0.8671436588103255,0.2309203142536476,0.2309203142536476,0.00042087542087542086,0.9076879910213244,0.31830487337894153,NOT_RUN,84
F0_FROZEN,20260907,fixed,4,MAY_HISTORICAL,31,2511,2463,48,1745.413991289246,0.8684152257982591,1285.283028619462,0.599362803663879,0.030266825965750695,1283.5941391756526,1058.865098276229,0.6017522899243329,0.8299482277976902,0.8266341859520909,1.0,3005.643902777775,359,0.12256267409470752,6967.30477671429,17857.851391298027,1028.652333470235,1807.2595136109385,1330.7799815301732,2975.004080518901,2312.011790389245,992.3167587459734,0.8144165671047392,0.20589406610911987,0.20589406610911987,0.0,0.8594185583432895,0.29932180738771896,NOT_RUN,226
F1_LGBM,20260924,fixed,4,DEVELOPMENT,58,4698,3950,748,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508301,0.011068539804171988,561.5167305950656,485.0592334725051,0.7266922094508301,0.8437633035334184,0.8141772151898734,1.0,3005.643902777775,427,0.234192037470726,3094.6070314008425,7855.694596573439,344.157740484164,642.2684631359509,1753.1726703675752,4150.833486560313,2414.0293931301826,947.7587225807723,0.8246062154108131,0.2960834397616007,0.2960834397616007,0.04086845466155811,0.9114516815666242,0.4197898532874945,NOT_RUN,0
F1_LGBM,20260924,fixed,4,EXPOSED_EVALUATION,88,7128,6403,725,1121.3828740199285,0.8482353956851473,711.1535529090195,0.7645903479236813,0.010381593714927048,710.5766620265784,614.0653351170577,0.7654320987654321,0.9151234567901234,0.9055130407621428,1.0,3005.643902777775,677,0.24224519940915806,4274.102495944793,14907.185884236007,413.9632253742455,0.0,2414.9843228023688,4903.2636145411825,3323.0395839523167,1161.4659142135845,0.8937991021324355,0.5258136924803591,0.5258136924803591,0.0028058361391694723,0.9076879910213244,0.3149725602447446,NOT_RUN,84
F1_LGBM,20260924,fixed,4,MAY_HISTORICAL,31,2511,2463,48,1745.413991289246,0.8684152257982591,1285.283028619462,0.599362803663879,0.030266825965750695,1283.5941391756526,1016.1850836199538,0.6017522899243329,0.8757467144563919,0.8733252131546894,1.0,3005.643902777775,359,0.27298050139275765,6110.70156801062,16383.012118890678,890.3926052707894,826.1733585654692,2148.317388762434,4369.040074161276,3267.8089258209516,992.3167587459734,0.8391079251294306,0.5093588211867782,0.5093588211867782,0.0,0.8594185583432895,0.28327113963609585,NOT_RUN,226
F1_LGBM,20260925,fixed,4,DEVELOPMENT,58,4698,3950,748,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508301,0.011068539804171988,561.5167305950656,485.0592334725051,0.7266922094508301,0.8437633035334184,0.8141772151898734,1.0,3005.643902777775,427,0.234192037470726,3094.6070314008425,7855.694596573439,344.157740484164,642.2684631359509,1753.1726703675752,4150.833486560313,2414.0293931301826,947.7587225807723,0.8246062154108131,0.2960834397616007,0.2960834397616007,0.04086845466155811,0.9114516815666242,0.4197898532874945,NOT_RUN,0
F1_LGBM,20260925,fixed,4,EXPOSED_EVALUATION,88,7128,6403,725,1121.3828740199285,0.8482353956851473,711.1535529090195,0.7645903479236813,0.010381593714927048,710.5766620265784,614.0653351170577,0.7654320987654321,0.9151234567901234,0.9055130407621428,1.0,3005.643902777775,677,0.24224519940915806,4274.102495944793,14907.185884236007,413.9632253742455,0.0,2414.9843228023688,4903.2636145411825,3323.0395839523167,1161.4659142135845,0.8937991021324355,0.5258136924803591,0.5258136924803591,0.0028058361391694723,0.9076879910213244,0.3149725602447446,NOT_RUN,84
F1_LGBM,20260925,fixed,4,MAY_HISTORICAL,31,2511,2463,48,1745.413991289246,0.8684152257982591,1285.283028619462,0.599362803663879,0.030266825965750695,1283.5941391756526,1016.1850836199538,0.6017522899243329,0.8757467144563919,0.8733252131546894,1.0,3005.643902777775,359,0.27298050139275765,6110.70156801062,16383.012118890678,890.3926052707894,826.1733585654692,2148.317388762434,4369.040074161276,3267.8089258209516,992.3167587459734,0.8391079251294306,0.5093588211867782,0.5093588211867782,0.0,0.8594185583432895,0.28327113963609585,NOT_RUN,226
F1_LGBM,20260926,fixed,4,DEVELOPMENT,58,4698,3950,748,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508301,0.011068539804171988,561.5167305950656,485.0592334725051,0.7266922094508301,0.8437633035334184,0.8141772151898734,1.0,3005.643902777775,427,0.234192037470726,3094.6070314008425,7855.694596573439,344.157740484164,642.2684631359509,1753.1726703675752,4150.833486560313,2414.0293931301826,947.7587225807723,0.8246062154108131,0.2960834397616007,0.2960834397616007,0.04086845466155811,0.9114516815666242,0.4197898532874945,NOT_RUN,0
