model,trial,lr,epoch,train_loss,development_primary
NHITS,trial_1,0.0003,22,0.09630740975791757,0.6958852187728917
NHITS,trial_1,0.0003,23,0.10105169158090245,0.7132195065146162
NHITS,trial_1,0.0003,24,0.09715444154360077,0.7223404327900456
NHITS,trial_1,0.0003,25,0.09143641997467387,0.7310131531531194
NHITS,trial_1,0.0003,26,0.09282166375355287,0.7062257867133123
NHITS,trial_1,0.0003,27,0.09114230288700624,0.7079809046105439
NHITS,trial_1,0.0003,28,0.09297572414983403,0.7488471676436252
NHITS,trial_1,0.0003,29,0.09255856986750256,0.7071370571888338
NHITS,trial_1,0.0003,30,0.09092820571227507,0.7283139066548334
CMABF,trial_0,0.001,1,0.9129909439520403,0.6758784875271716
CMABF,trial_0,0.001,2,0.9042221957987006,0.6764698769043771
CMABF,trial_0,0.001,3,0.8600060072812167,0.6845528263499148
CMABF,trial_0,0.001,4,0.8010096495801752,0.7020372646551815
CMABF,trial_0,0.001,5,0.7567911744117737,0.7349553324137988
CMABF,trial_0,0.001,6,0.7612090706825256,0.7360293408746393
CMABF,trial_0,0.001,7,0.7593732584606517,0.7165671426596222
CMABF,trial_0,0.001,8,0.747232670133764,0.7084269644589628
CMABF,trial_0,0.001,9,0.728554519740018,0.7185316306329372
CMABF,trial_1,0.0003,1,0.9179654609073292,0.6740816704128032
CMABF,trial_1,0.0003,2,0.9198208234526895,0.6750468841216299
CMABF,trial_1,0.0003,3,0.9108553420413624,0.6758256641005197
CMABF,trial_1,0.0003,4,0.9069633483886719,0.6761535313689175
CMABF,trial_1,0.0003,5,0.8926132809032093,0.6766389327967781
CMABF,trial_1,0.0003,6,0.8771354285153475,0.6784863461458689
CMABF,trial_1,0.0003,7,0.8433745828541842,0.6849740993352464
CMABF,trial_1,0.0003,8,0.8115938414226879,0.6949731499385465
CMABF,trial_1,0.0003,9,0.7828913276845758,0.7092136188997664
