model,trial,lr,epoch,train_loss,development_primary
TFT,trial_0,0.001,1,0.13247655873948877,0.6938762708734035
TFT,trial_0,0.001,2,0.107566929676316,0.7358291011453331
TFT,trial_0,0.001,3,0.10466645658016205,0.7291905598538393
TFT,trial_0,0.001,4,0.10343087092041969,0.7433205393600651
TFT,trial_0,0.001,5,0.10172394730828026,0.737418164905028
TFT,trial_0,0.001,6,0.1041304198178378,0.737069774191679
TFT,trial_0,0.001,7,0.10252305187962273,0.7315730028084023
TFT,trial_0,0.001,8,0.10301023281433365,0.7151487169850989
TFT,trial_0,0.001,9,0.10162195292386142,0.7541770760696662
TFT,trial_1,0.0003,1,0.15611795674670825,0.6536479804245935
TFT,trial_1,0.0003,2,0.12073336406187578,0.6772523814551767
TFT,trial_1,0.0003,3,0.1119504367763346,0.6964064443545696
TFT,trial_1,0.0003,4,0.10883453014222058,0.7106195417898383
TFT,trial_1,0.0003,5,0.10550785606557672,0.7171770464065436
TFT,trial_1,0.0003,6,0.10713043876669624,0.7211670271724342
TFT,trial_1,0.0003,7,0.10530006750063463,0.7254959987843934
TFT,trial_1,0.0003,8,0.10553389652208849,0.7266646159142022
TFT,trial_1,0.0003,9,0.10378389263694937,0.7247982138994614
DEEPAR,trial_0,0.001,1,1.2789364890618757,0.6435339049987688
DEEPAR,trial_0,0.001,2,1.2757658145644448,0.6433544070726462
DEEPAR,trial_0,0.001,3,1.2519848617640408,0.6452246955748364
DEEPAR,trial_0,0.001,4,1.1847372976216404,0.6462378427580209
DEEPAR,trial_0,0.001,5,1.082000266421925,0.6583004908705302
DEEPAR,trial_0,0.001,6,1.079799153588035,0.660673653172333
DEEPAR,trial_0,0.001,7,0.9711959253657948,0.6645906841591939
DEEPAR,trial_0,0.001,8,0.9546444388953123,0.6630011631739021
DEEPAR,trial_0,0.001,9,0.8684218065305189,0.6680914615775281
DEEPAR,trial_0,0.001,10,1.41433723135428,0.6655905171079122
DEEPAR,trial_1,0.0003,1,1.2824697277762673,0.6431538048673212
DEEPAR,trial_1,0.0003,2,1.2945854663848877,0.6433001720396386
DEEPAR,trial_1,0.0003,3,1.2866766181859104,0.6436943916123697
DEEPAR,trial_1,0.0003,4,1.3057435209100896,0.6436784541941902
DEEPAR,trial_1,0.0003,5,1.2662970206954263,0.643800893290245
DEEPAR,trial_1,0.0003,6,1.2937523451718418,0.6438081593017566
DEEPAR,trial_1,0.0003,7,1.247796356678009,0.6442294360540173
DEEPAR,trial_1,0.0003,8,1.2427773963321338,0.6442726974692408
DEEPAR,trial_1,0.0003,9,1.207326596433466,0.645878731235139
NHITS,trial_0,0.001,1,0.12223071232438087,0.7782480404552501
NHITS,trial_0,0.001,2,0.10742001370950179,0.7400010503714114
NHITS,trial_0,0.001,3,0.10644602165980772,0.7886387848021377
NHITS,trial_0,0.001,4,0.10511817038059235,0.7615431876280282
NHITS,trial_0,0.001,5,0.10221494802019813,0.7195046869522865
NHITS,trial_0,0.001,6,0.10468783771449869,0.7294292904963144
NHITS,trial_0,0.001,7,0.10020376267758282,0.7168551558590689
NHITS,trial_0,0.001,8,0.1004050567068837,0.7087129066835404
NHITS,trial_0,0.001,9,0.09860564768314362,0.7472580987363564
NHITS,trial_0,0.001,10,0.10507550090551376,0.7134720466777272
NHITS,trial_0,0.001,11,0.09778438474644315,0.701656896935929
NHITS,trial_0,0.001,12,0.09572715109044855,0.707050005466843
NHITS,trial_0,0.001,13,0.09448391029780562,0.711530688477094
NHITS,trial_0,0.001,14,0.09353128651326353,0.724386273498111
NHITS,trial_0,0.001,15,0.09317795288833705,0.7251498546040784
NHITS,trial_0,0.001,16,0.09589876911856911,0.7234667387176132
NHITS,trial_0,0.001,17,0.09326259487054565,0.715066819016529
NHITS,trial_0,0.001,18,0.09313712607730519,0.7368378466474345
NHITS,trial_0,0.001,19,0.09459641067819162,0.7343099646834884
NHITS,trial_1,0.0003,1,0.14485525475306946,0.7757652114698145
NHITS,trial_1,0.0003,2,0.10503673350269144,0.7495343110714898
NHITS,trial_1,0.0003,3,0.10436372899196365,0.7549537250095968
NHITS,trial_1,0.0003,4,0.10300121456384659,0.7274196710170495
NHITS,trial_1,0.0003,5,0.1007632694461129,0.7183777305735902
NHITS,trial_1,0.0003,6,0.10367569733749736,0.738315757480813
NHITS,trial_1,0.0003,7,0.10087952728975903,0.7145427489497405
NHITS,trial_1,0.0003,8,0.10118243673985655,0.713114121589256
NHITS,trial_1,0.0003,9,0.09977265853773463,0.7202610921449946
NHITS,trial_1,0.0003,10,0.10637757588516582,0.7253233013475666
NHITS,trial_1,0.0003,11,0.098771910098466,0.7096865517891783
NHITS,trial_1,0.0003,12,0.0976189063353972,0.7213733187576654
NHITS,trial_1,0.0003,13,0.0968046174807982,0.7156450705066827
NHITS,trial_1,0.0003,14,0.0964617512442849,0.7184053280954354
NHITS,trial_1,0.0003,15,0.09603598273613236,0.7158253660952926
NHITS,trial_1,0.0003,16,0.09855123406106775,0.7160322034212723
NHITS,trial_1,0.0003,17,0.09666399589993736,0.7148894214532557
NHITS,trial_1,0.0003,18,0.09771289473230188,0.7148449663531797
NHITS,trial_1,0.0003,19,0.0997522503814914,0.7080359354870411
NHITS,trial_1,0.0003,20,0.09663822840560567,0.7363836472783578
NHITS,trial_1,0.0003,21,0.09444827112284573,0.7174410791582333
